COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ts ə˞ ²¹									
93-1	k ɯ ²¹									
216-1	ʂ w a ⁴⁴									
236-1	ts ə̃ ³³									
267-1	tɕʰ j ə̃ n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts o ⁴⁴									
400-1	ɕʰ u ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k a ⁴⁴									
512-1	k u ⁴²									
534-1	ts ou ⁴⁴									
556-1	k u ³³									
568-1	ɕʰ ɯ ⁴⁴									
588-1	ʂ w a ⁴⁴									
599-1	k ɯ ⁵⁵									
656-1	k u ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m ə̃ ⁴²									
775-1	tɕʰ j ə̃ n ⁴²									
786-1	k i ³⁵									
820-1	ts ə̃ ⁴²									
839-1	t ɯ ²¹									
863-1	k u ³³									
896-1	k ə̃ ⁵⁵									
929-1	ʈʂʰ ɯ ³¹									
1015-1	ʂ o ³⁵									
1035-1	ts o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m ə̃ ²¹									
1252-1	ʂ ə̃ ²¹									
1294-1	k ə̃ ŋ ³⁵									
1326-1	ts u ³³									
1348-1	tɕ i ³¹									
1401-1	ɕʰ ə̃ n ⁴²									
1451-1	ʂ i ³³									
1473-1	k w ə̃ n ³³									
1507-1	ts i ⁵⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	sʰ j ə̃ n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k u ⁴⁴									
1671-1	ʂ i ⁴⁴									
1731-1	sʰ ə̃ ŋ ⁵⁵									
1762-1	sʰ w ə̃ ŋ ³¹									
1773-1	k ɯ ⁴⁴									
1794-1	k ə̃ ŋ ³⁵									
1805-1	s ɯ ³¹									
1816-1	ɕʰ ə̃ ³³									
1862-1	ts i ³⁵									
1885-1	k ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	sʰ j ə̃ n ³⁵									
2018-1	ts ə̃ ŋ ²¹									
2029-1	k ə̃ ŋ ³⁵									
2051-1	ts ə̃ ²¹									
2074-1	k ə̃ ⁴⁴									
2085-1	m ə̃ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	ʈʂʰ u ⁴²									
2269-1	m ə̃ ³³									
2280-1	ɕʰ u ³¹									
2291-1	sʰ ə̃ n ⁴²									
2316-1	tɕ i ⁴⁴									
2364-1	ts i ³³									
2395-1	tɕ ə̃ ⁵⁵									
2406-1	tɕʰ j ə̃ ⁵⁵									
2417-1	k o ⁴²									
2428-1	k ə̃ ³⁵									
2450-1	ʈʂʰ ə̃ ŋ ²¹									
2484-1	ʂ i ⁴⁴									
2495-1	k u ²¹									
2565-1	tɕ i ³⁵									
2611-1	j ou ⁴⁴									
2632-1	w ə̃ ⁴⁴									
2644-1	w ə̃ ³¹									
2674-1	m ə̃ ³³									
2698-1	ʂ o ³³									
2709-1	m i ²¹									
2720-1	tɕ ə̃ ⁴²									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕʰ j ə̃ ⁵⁵									
2837-1	tɕʰ ə̃ ³⁵									
2859-1	sʰ j ə̃ n ³⁵									
2889-1	tɕ j ɯ ³³									
2900-1	k u ³³									
2928-1	ts ə̃ ⁵⁵									
2941-1	k i ⁵⁵									
2998-1	ts i ³³									
3031-1	k ə̃ u ³³									
3052-1	t ɯ ⁴²									
3064-1	k a ²¹									
3084-1	k a ⁴⁴									
3117-1	ts ə˞ ⁴²									
3128-1	k ə˞ ⁴²									
3150-1	k e ⁴²									
3161-1	ʈʂʰ ɯ ³³									
3172-1	tɕʰ ə̃ ³³									
3263-1	j a ⁴⁴									
3274-1	k ə˞ ⁴²									
3308-1	k ə̃ ŋ ⁵⁵									
3340-1	ʈʂʰ ou ⁴⁴									
3362-1	tɕʰ ə̃ ³⁵									
3409-1	m e ³³									
3454-1	k ə̃ ŋ ³⁵									
3493-1	ɕʰ u ⁴⁴									
3536-1	ʂ u ⁵⁵									
3548-1	f o ⁴²									
3645-1	ʂ u ³⁵									
3678-1	ts i ⁴⁴									
3757-1	j u ²¹									
3779-1	k o ⁴²									
3813-1	ɕʰ ə̃ n ⁵⁵									
3835-1	s j ə̃ n ⁵⁵									
3855-1	p ə̃ ²¹									
3885-1	ɕʰ w i ⁴⁴									
3907-1	k ə˞ ⁵⁵									
3942-1	ts i ³³									
3953-1	tɕ ə̃ ⁵⁵									
4023-1	sʰ j ə̃ ⁵⁵									
4034-1	ʈʂ ə̃ ³⁵									
4143-1	tɕ ə̃ ⁴²									
4185-1	m ə̃ ⁴⁴									
4227-1	tɕʰ ə̃ ⁵⁵									
4238-1	ʈʂʰ u ²¹									
4249-1	k ə̃ ŋ ³⁵									
4271-1	ts ə˞ ⁴²									
4304-1	tɕ o ⁴²									
4315-1	k ə̃ ŋ ³³									
4336-1	ʈʂ ə̃ ⁴²									
4400-1	ɕʰ ə̃ ŋ ⁵⁵									
4411-1	ɕʰ ə̃ n ⁵⁵									
4441-1	j u ²¹									
4557-1	k u ⁵⁵									
4591-1	j ə̃ ŋ ³³									
4602-1	ɣ ɯ ³¹									
4687-1	ɕʰ ə̃ n ⁵⁵									
4720-1	k ə̃ ⁵⁵									
4731-1	ʈʂʰ e ⁴²									
4763-1	ʈʂʰ ɯ ³¹									
4918-1	ts ɯ ³¹									
4976-1	t ɯ ³³									
4998-1	ʂ w i ³³									
5037-1	t ə̃ ⁴²									
5048-1	ʈʂ ə̃ ⁵⁵									
5100-1	m u ²¹									
