COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	k ɔ ⁵⁵								
495-1	k ə ŋ ³¹								
838-1	k l ə ŋ ⁵⁵								
438-1	ə ɔ ʔ ⁵⁵								
334-1	l ə ʔ ⁵⁵								
360-1	l ə ŋ ³¹								
394-1	k ʐ a ŋ ³¹								
221-1	l a p ⁵⁵								
202-1	k ə ŋ ³¹								
935-1	k a ³¹								
93-1	k ə ŋ ³¹								
7-1	k ə ŋ ³¹								
664-1	k ə ŋ ⁵⁵								
246-1	k ʐ ɔ ŋ ⁵⁵								
547-1	k ə ə ŋ ⁵⁵								
555-1	l ə ŋ ⁵⁵								
464-1	l ə ŋ ³¹								
119-1	k l ə ŋ ⁵⁵								
835-1	ə ɔ a ŋ ⁵⁵								
79-1	k ə a ŋ ³¹								
693-1	k ə ŋ ⁵⁵								
477-1	k k a ŋ ⁵⁵								
891-1	k ə ŋ ŋ ⁵⁵								
528-1	k a ɔ ⁵⁵								
797-1	k ʐ ə ŋ ⁵⁵								
493-1	k ə ŋ ⁵⁵								
217-1	k ə a ŋ ⁵⁵								
896-1	k ə ŋ ⁵⁵								
452-1	l ə ə ʔ ⁵⁵								
580-1	k a ə ŋ ⁵⁵								
833-1	k ə ŋ ⁵⁵								
390-1	l k ə ŋ ³¹								
696-1	l k a ŋ ⁵⁵								
86-1	k ə ŋ ⁵⁵								
384-1	l ə ŋ ³⁵								
61-1	k ə ŋ ⁵⁵								
536-1	k k ɔ ʔ ⁵⁵								
731-1	ʂ ə ŋ ⁵⁵								
779-1	k a ⁵⁵								
589-1	k ə ŋ ⁵⁵								
658-1	k a ŋ ⁵⁵								
456-1	l ə ŋ ³¹								
183-1	k ə ə ³¹								
785-1	k ɔ ³¹								
714-1	k ə ŋ ⁵⁵								
331-1	l ɔ ³¹								
930-1	k a ʔ ⁵⁵								
161-1	k k ə ŋ ⁵⁵								
814-1	k ʐ a ŋ ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	k k ɔ ʔ ⁵⁵								
727-1	ʂ ə ŋ ⁵⁵								
260-1	k ə a ŋ ⁵⁵								
144-1	k ə a ŋ ⁵⁵								
53-1	k ə ŋ ⁵⁵								
59-1	k ɔ ʔ ⁵⁵								
506-1	k ə ŋ ⁵⁵								
29-1	p ə ʔ ⁵⁵								
316-1	k k ɔ ʔ ⁵⁵								
389-1	k ʐ w ə ŋ ⁵⁵								
118-1	k ə ŋ ⁵⁵								
312-1	k k a ³¹								
490-1	l k ə ŋ ŋ ⁵⁵								
436-1	ə a ŋ ³¹								
927-1	k ə ŋ ⁵⁵								
383-1	k ɔ ʔ ⁵⁵								
211-1	l a m ⁵⁵								
873-1	l ə ŋ ⁵⁵								
877-1	ʂ a ⁵⁵								
344-1	l ə ŋ ⁵⁵								
666-1	k ɔ ³¹								
595-1	k k ə ŋ ⁵⁵								
660-1	k a ʔ ⁵⁵								
642-1	k ə ŋ ³⁵								
257-1	k l a m ⁵⁵								
167-1	k ə a ³¹								
880-1	k ə ŋ ⁵⁵								
484-1	l k a ŋ ⁵⁵								
574-1	k l a ŋ ³¹								
718-1	k ʂ ə ŋ ⁵⁵								
811-1	k ə ³¹								
458-1	k ə ŋ ³¹								
884-1	k ə ŋ ³¹								
205-1	k ə ʔ ⁵⁵								
499-1	k a ⁵⁵								
706-1	k ʂ a ⁵⁵								
920-1	l ə ŋ ³⁵								
36-1	p l ə ŋ ⁵⁵								
12-1	k ə a ŋ ⁵⁵								
350-1	l w a ŋ ⁵⁵ ³⁵								
4-1	k ɔ ŋ ⁵⁵								
342-1	l ɔ ʔ ⁵⁵								
280-1	k ʐ ə ŋ ⁵⁵								
612-1	k k ə ŋ ³¹								
459-1	k l ə ŋ ⁵⁵								
569-1	l ɔ ŋ ⁵⁵								
283-1	k ə ui ³⁵								
148-1	k ə ŋ ³¹								
652-1	k i ⁵⁵								
220-1	l ɔ ŋ ⁵⁵								
562-1	k l ə ŋ ⁵⁵								
31-1	p l ɔ ŋ ⁵⁵								
386-1	ʂ a ʔ ⁵⁵								
804-1	k l ə ŋ ³¹								
369-1	l ə ʔ ⁵⁵								
125-1	k ʐ ə ŋ ³¹								
314-1	k ʐ w a ŋ ⁵⁵								
823-1	l ɔ ʔ ⁵⁵								
471-1	k ə ŋ ⁵⁵								
40-1	p l ə ŋ ³⁵								
393-1	k ə ŋ ³⁵								
272-1	k l ə ŋ ³⁵								
463-1	k ə a ⁵⁵								
1-1	k ɔ ⁵⁵								
214-1	l ɔ m ⁵⁵								
123-1	k ə ʔ ⁵⁵								
512-1	k l ə ŋ ⁵⁵								
518-1	k ə o ⁵⁵								
878-1	k ɔ ³¹								
849-1	k ə ŋ ⁵⁵								
524-1	k ɔ ʔ ⁵⁵								
90-1	k ə ŋ ⁵⁵								
541-1	l ə ŋ ⁵⁵								
933-1	l k ŋ ⁵⁵								
467-1	k ɔ ³¹								
49-1	k k ɔ ³¹ ⁵⁵								
822-1	l ɔ ʔ ⁵⁵								
52-1	k ɔ ⁵⁵ ⁵⁵								
377-1	l ə ŋ ³¹								
127-1	ʈʂ a m ⁵⁵								
67-1	k ə ŋ ⁵⁵								
864-1	k ʐ a ⁵⁵								
126-1	ʈʂ w ɔ ʔ ⁵⁵								
656-1	ʂ ɔ m ⁵⁵								
635-1	k ə ʔ ⁵⁵								
473-1	l ɔ ŋ ⁵⁵								
98-1	ʂ k ɔ ⁵⁵								
445-1	l ȵ ə ŋ ⁵⁵								
379-1	l ə ŋ ⁵⁵								
323-1	k l a ŋ ⁵⁵								
485-1	l k ə ŋ ³¹								
357-1	k ə ⁵⁵								
432-1	l ɔ ʔ ⁵⁵								
80-1	s i ³¹								
10-1	k ə ŋ ³¹								
335-1	s ɔ ʔ ⁵⁵								
649-1	s ɔ ³¹								
115-1	k ə ŋ ³¹								
137-1	k ɔ ʔ ⁵⁵								
844-1	l ɔ ⁵⁵								
723-1	k ə ŋ ⁵⁵								
494-1	k ə ŋ ³¹								
196-1	k ə ə ŋ ⁵⁵								
376-1	l ə ŋ ⁵⁵								
466-1	s ɔ ⁵⁵								
75-1	ʈʂ i ŋ ³⁵								
552-1	l ɔ ŋ ⁵⁵								
208-1	l ɔ ŋ ⁵⁵								
180-1	l a m ³¹								
253-1	k o t ⁵⁵								
45-1	p ʐ w a ⁵⁵								
665-2		l o ⁵¹							
495-2		l i ²¹							
838-2		k l i ŋ ²¹							
438-2		k l o ʔ ²¹							
334-2		l o ŋ ²¹							
360-2		l i ŋ ²¹							
394-2		k j e ²¹							
221-2		j i ²¹							
202-2		k j ²¹							
935-2		l e ²¹							
93-2		l l ŋ ²¹							
7-2		l i ŋ ²¹							
664-2		l i ŋ ⁵¹							
246-2		k j i ²¹ ²¹							
547-2		k l e ²¹							
555-2		l i ⁵¹							
464-2		l a ŋ ²¹							
119-2		k l i ŋ ²¹							
835-2		k l i ŋ ²¹							
79-2		k l i ŋ ²¹							
693-2		l i ²¹							
477-2		l ⁵¹ i ²¹							
891-2		l l ŋ ²¹ ²¹							
528-2		k l ²¹							
797-2		k j i ²¹							
493-2		l i ŋ ²¹							
217-2		k j i ⁵⁵							
896-2		l l ²¹							
452-2		k j i ²¹							
580-2		k k o ²¹ ²¹							
833-2		l i ŋ ²¹							
390-2		l l i ŋ ²¹							
696-2		l l i ŋ ²¹							
86-2		l i ŋ ²¹							
384-2		l a ŋ ²¹							
61-2		l a ŋ ²¹							
536-2		k k o ʔ ²¹							
731-2		l i ²¹							
779-2		l o ²¹							
589-2		l l ŋ ²¹							
680-2		k i ²¹							
658-2		l i ŋ ²¹							
456-2		k l e ŋ ⁵¹							
183-2		k j i ²¹							
785-2		l o ²¹							
714-2		l i ²¹							
331-2		l o ²¹							
206-2		j ²¹							
930-2		l o ²¹							
353-2		l i ⁵¹							
161-2		k l a ŋ ⁵¹							
814-2		k s i ²¹ ²¹							
179-2		k j k i ŋ ²¹							
194-2		k k o ʔ ²¹							
727-2		l l ŋ ⁵¹							
260-2		k j o ²¹ ⁵⁵							
144-2		k l a ŋ ⁵¹							
53-2		l l ²¹							
59-2		k o ʔ ²¹							
506-2		l o ²¹							
29-2		k i ²¹							
316-2		k k o ʔ ²¹							
389-2		l l l i ŋ ²¹							
118-2		l i ²¹							
312-2		k s e ²¹							
490-2		l l i ²¹ ²¹							
436-2		k l e ŋ ⁵¹							
927-2		l a ŋ ⁵¹							
383-2		k o ŋ ²¹							
211-2		l a ⁵¹							
873-2		l i ŋ ⁵¹							
371-2		l e ŋ ⁵¹							
877-2		l e ²¹							
344-2		l ŏ̱ ŋ ⁵¹							
666-2		l e ²¹							
595-2		k l l ²¹ ²¹							
660-2		l o ²¹							
642-2		l l ŋ ²¹							
257-2		k j a ²¹ ⁵¹							
167-2		k j e ²¹							
880-2		l o ²¹							
337-2		k s ²¹							
484-2		k l i ŋ ⁵¹							
574-2		k l i ŋ ⁵¹							
718-2		k l e ŋ ⁵¹							
811-2		l ŋ ²¹							
458-2		l l ²¹							
884-2		k o ²¹							
205-2		k o ²¹							
499-2		l e ²¹							
706-2		k l o ²¹							
920-2		l l ŋ ²¹							
36-2		k j o ⁵¹							
12-2		k j o ²¹							
350-2		l l i ŋ ⁵¹ ²¹							
4-2		l o ŋ ²¹							
342-2		k o ²¹							
280-2		k j ui ²¹ ²¹							
638-2		k k a ²¹							
