COGID	Albanian	English	French	German	Latin
560-1	d p u r				
438-1	e r u r				
1222-1	e e u r				
353-1	s e u r r r				
201-1	ɟ e r u				
20-1	m e r r				
503-1	d e u r				
957-1	p e r				
728-1	e e e				
244-1	p e m e r				
289-1	d p e r r				
911-1	r u r r e r				
724-1	d e s e				
145-1	d e u				
992-1	e e				
1181-1	ʃ e a r				
741-1	d e u r r				
1150-1	d s e r s r r				
585-1	t e				
814-1	m e r u a r				
916-1	o e				
1079-1	p e p o				
630-1	m p				
343-1	a e a r r				
8-1	s e r s e r				
385-1	r r				
683-1	p ə r t o				
650-1	ɟ p a r e				
612-1	p e r				
871-1	ə a r a r t				
667-1	e e r				
527-1	r r r r r				
499-1	o e				
1029-1	o e				
560-2		t r			
438-2		ɛ r			
1222-2		ɛ r			
353-2		f r i			
201-2		r au			
20-2		h r			
503-2		p r			
957-2		r r			
728-2		r au n d			
244-2		h r r			
289-2		n r d			
911-2		r i			
724-2		t r i			
145-2		t r i			
992-2		p			
706-2		ɛ			
106-2		p d r			
741-2		t r			
421-2		b l ɛ d t			
227-2		f r			
920-2		h ɛ r			
1083-2		h ɛ			
1066-2		ɛ f			
1125-2		h			
1197-2		m r			
473-2		h ɛ			
284-2		h ɛ s			
661-2		h au d			
701-2		r ɛ n			
315-2		r ɛ t			
1169-2		s ɛ d			
1150-2		r r i i			
982-2		g s d			
987-2		g n r			
1055-2		h ɛ			
1130-2		s ɛ			
433-2		s			
625-2		h au θ			
1186-2		p au d			
416-2		h r d			
1233-2		h au d			
884-2		h ɛ i			
1016-2		h			
952-2		d			
78-2		b l ɛ s			
514-2		b g r i n			
116-2		ɛ			
188-2		f h ɛ			
745-2		h r			
1100-2		g r r au t			
47-2		h h			
111-2		h			
1061-2		k au n t			
24-2		h ɛ d			
232-2		h d			
671-2		g r θ au t			
385-2		s i			
945-2		h ɛ			
644-2		h			
1041-2		h t ɛ			
492-2		h ɛ d			
1209-2		h ɛ			
527-2		w ai r i			
14-2		g o l n			
1-2		o l			
915-2		o d			
271-2		ɑ s i			
560-3			ɛ ɛ r s		
438-3			ɛ r ɛ		
1222-3			a v ɛ r		
353-3			p r ɛ s s		
201-3			p ɑ̃ s		
20-3			r r		
503-3			p l u s		
957-3			p ɛ		
728-3			v u		
244-3			p r s		
289-3			r k r		
911-3			r ɛ		
724-3			ɛ r ɛ		
145-3			d e		
992-3					
1181-3			ɛ p a s		
706-3			u		
106-3			p u e r		
741-3			p p r		
421-3			g l ɛ w r		
227-3			k n s		
920-3			k u t t e		
1083-3			k œ r		
1066-3			ɛ n e		
1125-3			k ɛ̃ n		
1197-3			m u t ɛ r		
473-3			u v ɛ e		
284-3			p ɛ s e		
661-3			k u e		
701-3			r r e		
315-3			r t t		
1169-3			m ɛ e		
1150-3			r p ɛ r p ɑ̃		
982-3			ɛ r		
987-3			p u e		
1055-3			s p t p ɛ s ɛ e		
1130-3			s		
433-3			k ɛ t e		
585-3			s		
625-3			v e		
1186-3			t u e		
814-3			s ɛ r p		
416-3			k n u e		
1233-3			v ɛ̃ t e		
884-3			v ɛ r ɛ		
916-3					
1016-3			ɛ̃ e e		
952-3					
514-3			p r r e s t		
1079-3			p ɛ		
1100-3			g r k s t e		
47-3			p l r v		
111-3			l		
1061-3			k ɛ̃ t e e		
1155-3			k ɔ r		
343-3			ɛ ɛ r s ɛ r		
671-3			g r k s t e		
460-3			p t r t		
8-3			p ɛ r p ɑ̃		
644-3			s ɛ e		
683-3			p a		
650-3			ʒ r a r		
612-3			s ɛ		
871-3			ɛ r p a		
1209-3			v ɛ r e r		
667-3			l a z		
499-3					
14-3			p s e e		
1029-3			s		
272-3			ʃ ə r		
560-4				k t i n t	
438-4				eː r t	
1222-4				h t aː t	
353-4				f t eː r t	
201-4				m eː t t	
20-4				f eː t ə	
503-4				ʃ k l	
957-4				m i t	
728-4				l eː t t	
244-4				n eː ə n	
289-4				n d s t	
911-4				r eː r t t	
724-4				h i t	
145-4				t t i	
992-4				h	
1181-4				ʃ t au t t	
706-4				eː h ə l	
106-4				h eː d ə	
421-4				f l au ə	
227-4				h l l t	
920-4				h au r t ə ə	
1083-4				h au r n ə	
1066-4				h l	
1125-4				n eː n	
1197-4				h eː n ə	
473-4				n eː ə n	
284-4				n eː ə	
661-4				v eː n d	
701-4				h eː l t	
315-4				h eː z ə n t	
1169-4				z au l t	
1150-4				ʃ t a ʃ t ə s	
982-4				h n eː t	
987-4				ʃ n aː	
1055-4				h t t n ə ə ə	
1130-4				h eː n	
433-4				z eː n d	
585-4				t t	
625-4				t eː n k	
1186-4				n eː n d	
814-4				m eː ʃ t t	
416-4				h v ai t	
1233-4				h eː n t	
884-4				v eː r ə	
78-4				b l au t	
514-4				b eː r t n ə	
116-4				eː t	
188-4				f h eː b ə l	
745-4				h eː l ə	
1100-4				f r g r ə t	
630-4				n ʃ t b t t	
1155-4				h au ə	
24-4				n eː t	
232-4				n au ə	
671-4				g r b ə ə t	
460-4				h au t t	
8-4				m i ʃ t oː t	
385-4				z t	
945-4				z eː t n t	
1041-4				ʃ t a n t	
492-4				n eː n k	
527-4				v ʃ t aː r	
14-4				j a l t ə	
1-4				a l	
915-4				a n d	
271-4				a s g	
560-5					a a n a
438-5					a r aː
1222-5					a p a a
353-5					p p u t i a
201-5					k a n t e
20-5					k a d e t a
503-5					p l aː t a
957-5					k a a
728-5					k a n a t
244-5					n a b u n
289-5					n a a u t
911-5					k a u t u a
724-5					k e a a
145-5					d a a a
992-5					k a
1181-5					a l a n i a
706-5					k a i t u
106-5					k e t a a
741-5					p a a m o
421-5					k l a t a
227-5					a a a a
920-5					k u r a u i
1083-5					k a r t eː
1066-5					k t a
1125-5					k e n a
1197-5					k a n u a
473-5					k a b u l
284-5					k a b u
661-5					k a n a
701-5					k a u t i
315-5					k a d i u t a
1169-5					k a l a
982-5					a k a t i
987-5					k n a t
1055-5					k u t g a l i t
1130-5					k a t a
433-5					k a l aː
585-5					t e
625-5					k a n i u
1186-5					k a n a
814-5					f u r i aː a
416-5					k a a a
1233-5					k a n t i
884-5					k a l t a
916-5					aː a
1016-5					a k iː t a l
952-5					a a
78-5					k k a t
1079-5					p iː d o
116-5					k t a
188-5					k k t p u t t
745-5					k a p u t
47-5					k a a l a n
111-5					k a k u
1061-5					k a n t a n
630-5					u n p u e
1155-5					k u l a i
24-5					k k u t
232-5					k a t t
343-5					a e m e
460-5					p u u r iː t eː
945-5					k a p u t
644-5					k a d t
683-5					s eː n i
650-5					s a i aː l a
612-5					p e m a
1041-5					k k t t t
871-5					d r r u i t e
492-5					k k p t t
1209-5					k a l a t
667-5					l a m o
499-5					n o
1029-5					aː e
272-5					s e d o r
