COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	g u n															
2181-1	n e m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m o															
2017-1	h e															
1004-1	l a															
614-1	b ou̯ h															
686-1	b l e															
88-1	g a ʔ															
872-1	n ɨ ŋ															
1891-1	d a															
68-1	s ɨi̯ m															
631-1	b ə n															
594-1	g a															
1759-1	h a n															
805-1	g ɨ n															
756-1	h ɨ															
1201-1	m ɔ ʔ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	r a ŋ															
17-1	v a ʔ															
4-1	p ə m															
788-1	t ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	ŋ a m															
1652-1	c ɨ n															
576-1	ŋ ɔ															
1738-1	t o g															
442-1	h o m															
368-1	t j a ŋ															
1778-1	p u ʔ															
957-1	n a ʔ															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	c ɔ ŋ															
720-1	t a h															
287-1	g a															
321-1	g e h															
206-1	t ou̯ ʔ															
1950-1	ʔ o															
665-1	p a n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	g ă ʔ															
269-1	g a ʔ															
855-1	c ou̯ n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ɛ															
1859-2		ŋ a														
175-2		k a														
241-2		ʔ u ʔ														
2163-2		k a n														
2181-2		n a m														
2060-2		ʔ a m														
410-2		d aːi̯														
1841-2		m a														
2017-2		h a														
1004-2		l a														
614-2		b o h														
686-2		b l a														
88-2		k a ʔ														
872-2		n a ŋ														
1891-2		d a														
68-2		s a m														
631-2		b a n														
594-2		k a														
1759-2		h a n														
805-2		k a n														
756-2		h a ʔ														
1201-2		m a ʔ														
2042-2		ʔ a														
1968-2		d a ʔ														
2000-2		f a ŋ														
17-2		d a ʔ														
4-2		b a m														
788-2		d a														
1219-2		h a m														
141-2		ʔ a ŋ														
541-2		b ə a ŋ														
1687-2		h u n														
123-2		n a m														
1652-2		dʑ a n														
576-2		ŋ a														
1738-2		d a k														
442-2		h oː m														
368-2		d a ŋ														
1778-2		b a ʔ														
957-2		n a h														
1704-2		ʔ a ʔ														
304-2		d a m														
1796-2		dʑ a ŋ														
720-2		d ɔ h														
287-2		k a h														
321-2		l o h														
206-2		d o ʔ														
1950-2		ʔ a														
665-2		b a n														
703-2		n o ʔ														
1290-2		m aːi̯														
1391-2		k a ʔ														
269-2		k a ʔ														
855-2		dʑ a n														
2078-2		s a														
2213-2		m a														
1859-3			ŋ a													
175-3			k a													
241-3			ʔ a ʔ													
2163-3			k a													
2181-3			ŋ a m													
2060-3			ʔ a m													
410-3			d a													
1841-3			m a													
2017-3			h a													
1004-3			l a													
614-3			b o h													
686-3			b l a													
88-3			k a ʔ													
872-3			ŋ a ŋ													
1891-3			d a													
68-3			s a m													
631-3			b a													
594-3			k a													
1759-3			h a ŋ													
805-3			k a ŋ													
756-3			h a ʔ													
1201-3			m a ʔ													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			r a ŋ													
17-3			ʔ a ʔ													
4-3			b a m													
788-3			d a													
1219-3			h a m													
141-3			ʔ a ŋ													
541-3			b r j a ŋ													
1687-3			h a													
123-3			ŋ a m													
1652-3			dʑ a ŋ													
576-3			ŋ a													
1738-3			d a ʔ													
442-3			h a m													
368-3			d a ŋ													
1778-3			b a ʔ													
957-3			ŋ a h													
1704-3			ʔ a ʔ													
304-3			j a m													
1796-3			dʑ a ŋ													
720-3			d a h													
287-3			k a b													
321-3			k a h													
206-3			d o ʔ													
1950-3			ʔ a													
665-3			b a ŋ													
703-3			ŋ o ʔ													
1290-3			m a													
1391-3			k a h													
269-3			k a ʔ													
855-3			dʑ a ŋ													
2078-3			s a													
2213-3			m a													
1858-3			s a													
1151-3			k j a													
737-3			b a													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				k ɔː												
2181-4				n a m												
2060-4				ʔ ɔː m												
410-4				t aːi̯												
1841-4				m au̯												
2017-4				h au̯												
1004-4				l au̯												
614-4				p o h												
686-4				p l aːi̯												
88-4				k a k												
872-4				n ɔː ŋ												
1891-4				t a												
68-4				s iː m												
631-4				p ɔː												
594-4				k a												
1759-4				h a n												
805-4				k ɔː n												
756-4				h iː k												
1201-4				m o ʔ												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				f ɔː ŋ												
17-4				v a t												
4-4				p ɔː m												
788-4				t ai̯												
1219-4				ʔ iː m												
141-4				ʔ ɔː ŋ												
541-4				p j o ŋ												
1687-4				h ɔː												
123-4				ŋ ɔː m												
1652-4				dʑ ɔː n												
576-4				ŋ ai̯												
1738-4				t a k												
442-4				h o m												
368-4				t o ŋ												
1778-4				p a t												
957-4				n o ʔ												
1704-4				ʔ iː ʔ												
304-4				j ɔː m												
1796-4				dʑ ɔː ŋ												
720-4				t a h												
287-4				k a												
321-4				k o h												
206-4				t o k												
1950-4				ʔ au̯												
665-4				p o n												
703-4				n o k												
1290-4				m aːi̯												
1391-4				k a ʔ												
269-4				k a ʔ												
855-4				dʑ ɔː n												
2078-4				s ai̯												
2213-4				m au̯												
1858-4				s a												
1151-4				k j a												
737-4				p a												
1859-5					ŋ aːi̯											
175-5					k a											
241-5					ʔ a ʔ											
2163-5					k a											
2181-5					n a m											
2060-5					ʔ a m											
410-5					ɗ a											
1841-5					m əː											
2017-5					h ei̯											
1004-5					l a											
614-5					b ɔ h											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n əː ŋ											
1891-5					ɗ a											
68-5					s a m											
631-5					b a r											
594-5					k a											
1759-5					h a ŋ											
805-5					k əː ŋ											
756-5					h a ʔ											
1201-5					m a ʔ											
2042-5					ʔ a											
1968-5					ɗ a ʔ											
2000-5					r a ŋ											
17-5					s a ʔ											
4-5					b əː m											
788-5					ɗ ei̯											
1219-5					h i m											
141-5					ʔ əː ŋ											
541-5					b r j a ŋ											
1687-5					h a r											
123-5					ŋ a m											
1652-5					dʑ əː ŋ											
576-5					ŋ a											
1738-5					ɗ a ʔ											
442-5					h a m											
368-5					ɗ j a ŋ											
1778-5					b a ʔ											
957-5					n a h											
1704-5					ʔ i ʔ											
304-5					j a m											
1796-5					dʑ a ŋ											
720-5					ɗ ɔ h											
287-5					k a n											
321-5					k əː h											
