COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	θ a r i									
35-1	θ u r i									
36-1	ʔ u θ a i									
48-1	n a g a s a r i									
60-1	θ u r r i									
63-1	s a r a r i									
64-1	k a									
67-1	ʔ a a									
68-1	n ɨ i									
71-1	ʔ i									
76-1	h u n i									
83-1	ts ɨ n u									
87-1	h a ɴ r i									
95-1	m i r i									
98-1	h a ɴ a									
99-1	x u r i									
-102-1	s ɨ r r a									
103-1	ts ɨ n i									
110-1	θ a									
116-1	m u u n i									
120-1	n u θ u r i									
132-1	k i r u r i									
139-1	ʔ u x u r u r u r									
140-1	ʔ u sː u r i									
156-1	θ a θ u r i									
168-1	ts ɨ b r i									
169-1	h u s i									
170-1	m i r i									
173-1	ʔ i s i									
180-1	x u r u									
185-1	h a r i									
186-1	m u u r i									
187-1	m i r i									
190-1	ʔ a r a s a r i									
193-1	k i r u r i									
194-1	s i r u s a r i									
195-1	x u r u s a r i									
216-1	m a r u s a r r i									
221-1	n a									
239-1	ʔ i i									
252-1	m i s i									
253-1	m u s i									
254-1	ʔ i ts ɨ s i									
266-1	k a i i									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m ɨ r a									
276-1	ʔ a r a r u r i									
281-1	m u s r i									
304-1	ts ɨ r a									
305-1	ʔ tɕ i									
308-1	h a n a									
309-1	x u s a									
310-1	θ u									
311-1	n a a i									
342-1	m u r i									
346-1	k u r a s a r i									
347-1	k i r u r i									
348-1	h i r u s a r i									
351-1	θ u s a r i									
361-1	ʔ u u s a r i									
379-1	x u r a r u a									
394-1	h i a r i									
395-1	n i ɴ i r i									
400-1	h i r a r u r i									
412-1	s a x ɨ r u r i									
413-1	ʔ i ɨ r u r u r u r i									
414-1	u r u r i									
422-1	ʔ u g r ɨ r u r i									
423-1	x a ɴ a r u r i									
430-1	h a r u r i									
435-1	m u θ u r i									
446-1	s i θ a r i a a									
447-1	ʔ u a i									
458-1	θ u s i									
56-1	ʔ i θ u									
62-1	ʔ ɨ n i									
70-1	θ a ɴ i									
96-1	m a									
101-1	h a									
114-1	x u r i									
119-1	k i r u									
134-1	s ɨ θ u r i									
138-1	s ɨ n u r i									
146-1	ʔ a r u r i									
161-1	ʔ u r i i									
182-1	x ɨ b u s i									
188-1	a a									
196-1	m u r u									
262-1	h i r u a									
300-1	ʔ u s u									
313-1	ʔ u θ e									
350-1	s ɨ b a s a r i									
352-1	ʔ i r a s a r i									
396-1	n u r u s a r i									
401-1	ʔ u s u r i									
420-1	ʔ u θ ɨ r u r i									
424-1	ʔ u θ a r u r i									
442-1	s i r ɨ r u r u r u r i									
455-1	ʔ i r i r u r i									
15-1	ʔ a r i									
49-1	ʔ ɨ a r a									
130-1	k i r i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o u								
36-2		h u t a u								
48-2		n a g a kʲ i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a a								
68-2		n e								
71-2		i								
76-2		h o e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u i								
-102-2		s i a a								
103-2		tɕ u m e								
110-2		t e								
116-2		m u e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o o u								
156-2		t a t o r u								
168-2		tɕ u k i								
169-2		h o s i								
170-2		m i u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i i								
190-2		a k u a i								
193-2		k i r o i								
194-2		s i r o a								
195-2		k u r o a								
216-2		m a r u a								
221-2		n a								
239-2		i u								
252-2		m i u								
253-2		h o u								
254-2		i ts u u								
266-2		k a e								
267-2		n a k a r e r u								
268-2		u m i								
272-2		a m e a								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b a a								
305-2		tɕ i i								
308-2		h a a								
309-2		k u s a								
310-2		t o								
311-2		n a i								
342-2		u k i								
346-2		k u r a i								
347-2		k i r u								
348-2		h i r o a								
351-2		t o a								
361-2		o o a i								
379-2		k u s a a a								
394-2		h i a r i								
395-2		m i g i								
400-2		h i k a r u								
412-2		s a k e r u								
413-2		s u k i s a s u								
414-2		h o r u								
422-2		h u k u u r e r u								
423-2		k a g a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a a								
447-2		u e								
458-2		t o s i								
56-2		h i t o								
65-2		k a a								
70-2		t a e								
75-2		k a a								
114-2		k u i								
119-2		k i m o								
161-2		u								
171-2		k a a								
188-2		h a m a								
196-2		h o r u								
262-2		h i r u a								
300-2		h e s o								
313-2		e								
350-2		s e m a a								
352-2		tɕ i k a a								
396-2		h u r u a u								
401-2		o s u								
420-2		o u i r u								
424-2		u t a u								
442-2		s i m e u k r u								
455-2		i k i o r u								
22-2		n a i								
24-2		m i n a								
49-2		o n a o								
78-2		a b u r a i								
89-2		k e								
14-3			k o							
18-3			t a							
35-3			h i t o							
36-3			h u t a							
48-3			n a g a i							
60-3			t o							
63-3			s i r a							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			i							
76-3			h o n							
83-3			ts u n o							
87-3			h a n e							
95-3			m i i							
98-3			h a i n a							
99-3			k u i							
-102-3			s i a							
103-3			ts u e							
110-3			t e							
116-3			m e							
120-3			n o i							
132-3			k i k							
139-3			i k o o							
140-3			o o							
156-3			t a o							
168-3			t u k i							
169-3			h o							
170-3			m i							
173-3			i ɕ i							
180-3			k u o							
185-3			h a							
186-3			m o							
187-3			m i i							
190-3			a k a							
193-3			k i o							
194-3			s i r o i							
195-3			k u o i							
216-3			m a r i							
221-3			n a							
239-3			i							
252-3			m i							
253-3			h o							
254-3			i i							
266-3			k a e							
267-3			n a g a u							
268-3			u i							
272-3			a m e							
276-3			a r a u							
281-3			m u ɕ i							
304-3			ts u a							
305-3			i							
308-3			h a n a							
309-3			k u a							
310-3			t o							
311-3			n							
342-3			u k i							
346-3			k u a							
347-3			k i r u							
348-3			h i r o i							
351-3			t o i							
361-3			o o							
379-3			k u s a a							
394-3			h i a i							
395-3			m i g i							
400-3			h i a							
412-3			s a k u							
413-3			k i a u							
414-3			h o u							
422-3			h u k u r							
423-3			k a i g a							
430-3			h a k							
435-3			h u k							
446-3			s i t a a							
447-3			i							
458-3			t o ɕ							
56-3			h i o							
62-3			i							
65-3			k a w a							
70-3			t a							
75-3			k a w a							
96-3			m e							
101-3			h a							
114-3			k u i							
119-3			k i o							
134-3			s i o							
138-3			s i n u							
146-3			a i k							
161-3										
171-3			k a w a							
182-3			k e u							
188-3			h a m a							
262-3			h i r a							
300-3			h e o							
313-3			e							
350-3			s e a i							
352-3			t i k i							
396-3			h u r i							
401-3			o u							
420-3			o i							
424-3			u t a i							
442-3			s i m e u							
455-3			i k i o o							
15-3			a							
22-3			n a							
49-3			o a							
78-3			a s u a							
89-3			k e							
130-3			m i							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t a t u						
48-4				n a n a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o o u						
156-4				t a t o r u						
168-4				t u k i						
169-4				h o s i						
170-4				m i s u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r u						
187-4				m i t i						
190-4				a k a i						
193-4				k i r o i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r u						
221-4				n a						
239-4				i t u						
252-4				m i t u						
253-4				h o t u						
254-4				i t u t u						
266-4				k a s e						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e a						
276-4				a r a u						
281-4				m u s i						
304-4				t u a						
305-4				i t i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t o i						
361-4				o m o i						
379-4				k u s a a						
394-4				h i t a r i						
395-4				m i n i						
400-4				h i b a r u						
412-4				s a k e r u						
413-4				t u k i s a s u						
414-4				h o r u						
422-4				h u k u r e r u						
423-4				k a n g a e r u						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a a						
447-4				u						
458-4				t o s i						
56-4				h i t o						
62-4				i n u						
65-4				k a w a						
70-4				t a n e						
75-4				k a w a						
96-4				m e						
101-4				h a						
114-4				k u b i						
119-4				k i m o						
134-4				s i t r u						
138-4				s i n u						
146-4				a r u k u						
161-4				u						
171-4				k a w a						
182-4				k e m u r i						
188-4				t a m a						
196-4				h o r u						
262-4				h i r u m a						
300-4				h e s o						
313-4				d e						
350-4				s e m a i						
352-4				t i k a i						
396-4				h u r						
424-4				u t a u						
442-4				s i m e u k e r u						
455-4				i k i t r u						
15-4				a r e						
22-4				n a i						
24-4				m i n n a						
49-4				o n a o						
78-4				a b u r a i						
89-4				k e						
130-4				m i r u						
14-5					k o r e					
18-5					d a r e					
35-5					h i t o ts u					
36-5					h u t a t u					
48-5					n a k a i					
60-5					t o r i					
63-5					s i r a m i					
64-5					k i					
67-5					h a a					
68-5					n e					
71-5					i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r o s u					
140-5					o ts o ŋ u					
156-5					t a t o r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i s u					
173-5					i s i					
180-5					k u m o					
185-5					h a i					
186-5					m o e r u					
187-5					m i tɕ i					
190-5					a k a i					
193-5					k i r o i					
194-5					s i r o i					
195-5					k u r o i					
216-5					m a r u					
221-5					n a					
239-5					i ts u					
252-5					m i t u					
