COGID	Albanian	English	French	German	Latin
560-1	d r				
438-1	d r				
1222-1	e r				
353-1	p ə r t				
201-1	ɟ u				
20-1	d r				
503-1	p r r				
957-1	r				
728-1	d ə r				
244-1	d e r				
289-1	d r				
911-1	r r r				
724-1	d r r				
145-1	d r				
992-1					
1181-1	r ə				
741-1	p r r				
1150-1	d ɟ r r r r				
585-1					
814-1	ɟ a r				
916-1					
1079-1	p t				
630-1	r				
343-1	r t				
8-1	ɟ a r				
385-1	r				
683-1	ɟ ə r t				
650-1	a				
612-1	p e r				
871-1	r r				
667-1	l r				
527-1	d r r r				
499-1					
1029-1					
336-1	ɟ r r r				
198-1					
164-1	p r r				
560-2		g r			
438-2		g r i			
1222-2		s r i			
353-2		f r ɪ			
201-2		f a n			
20-2		f ɪ r			
503-2		f r l			
957-2		m ɪ n			
728-2		l a			
244-2		n ɪ n			
289-2		n r a d			
911-2		w a r l			
724-2		ð r i			
145-2		s w i d			
992-2		w i			
706-2		s			
106-2		f ai d ə r			
741-2		t r			
421-2		g l			
227-2		f l o			
920-2		h ɪ r n			
1083-2		h ɪ r n			
1066-2		ɪ ɪ r			
1125-2		g a n			
1197-2		m ɪ d ə r			
473-2		n ɪ			
284-2		n ɪ s			
661-2		m a n			
701-2		r u			
315-2		r e n θ			
1169-2		s a l d			
1150-2		f r i r			
982-2		s s ɪ			
987-2		s n i			
1055-2		s p d r n			
1130-2		s e			
433-2		s a n			
625-2		m ɪ			
1186-2		m a n d			
416-2		s w			
1233-2		w ɪ n			
884-2		w ɪ r			
1016-2		h r			
952-2		h			
78-2		g l a s			
514-2		j r r n k			
116-2		ai s r			
188-2		f p r n			
745-2		f ɪ θ ə r			
1100-2		f r r d			
47-2		h r			
111-2		h ɛ			
1061-2		h r			
24-2		n ɪ d			
232-2		m a n			
671-2		g r r d			
385-2		s i			
945-2		s e n			
644-2		p r ʃ			
1041-2		s t			
492-2		ð ɪ n d			
1209-2		h r			
527-2		w ai t ə r			
14-2		g ɪ l			
1-2		o l			
915-2		o n d			
271-2		o s			
711-2		w ai t			
1112-2		s l i d			
205-2		g r a s d			
301-2		g l i			
72-2		g o l d			
162-2		g r			
238-2		d ɪ			
560-3			v ɛ		
438-3			ɛ r		
1222-3			s ɛ		
353-3			p		
201-3			s i		
20-3			m		
503-3			p l		
957-3			v		
728-3			l ɔ		
244-3			s ɛ		
289-3			s		
911-3			r ɛ		
724-3			t r		
145-3			d ɛ		
992-3					
1181-3			p		
706-3			p		
106-3			p		
741-3			p		
421-3			f l		
227-3			p		
920-3			m ɔ r e		
1083-3			m ɔ r		
1066-3			ɛ		
1125-3			m ɛ		
1197-3			m t		
473-3			m ɔ		
284-3			m ɛ		
661-3			l ɛ		
701-3			r		
