COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	w a ŋ							
46-1	w a ŋ							
98-1	kʰ a ŋ d i l a							
125-1	b i l a ŋ i a							
162-1	l e i i							
171-1	kʰ o m a							
219-1	tʃ a ŋ p u							
247-1	d̪ a ŋ l u ŋ							
282-1	l u m p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a i							
363-1	n i m b u							
397-1	kʰ a m d i							
406-1	kʰ a m u ŋ							
426-1	j u k p a							
473-1	b i n k a ŋ							
499-1	z a m i n							
526-1	g a ɾ a							
544-1	kʰ u							
553-1	g o t a ŋ							
599-1	g o ŋ d a m							
608-1	b a n d o							
617-1	j e n							
645-1	a w a							
663-1	s o ŋ tʰ u r							
672-1	tʃ o ŋ p a							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	a r i ŋ b u							
717-1	tʃ o k p u							
726-1	s i							
744-1	a p a							
782-1	w i							
791-1	w a							
800-1	w a							
809-1	m o m n a ŋ							
836-1	p a s i							
881-1	w a m							
890-1	ɾ a w a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a r a ŋ							
980-1	w a r o ŋ							
998-1	pʰ a i							
1022-1	kʰ a tʰ u r							
1031-1	b i n a ŋ u l a							
1069-1	tʃ o n a ŋ a							
1079-1	ʃ o ŋ a w a							
1098-1	j a ŋ b u a							
1117-1	tʰ u n							
1141-1	ɾ i ŋ b u							
1189-1	w a n							
1198-1	n u a							
1208-1	z a l a m a							
1217-1	l a ɲ i t u u							
1253-1	a m a							
1271-1	n u ɲ a ŋ							
1289-1	m i ŋ							
1316-1	w a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	b u i n a ŋ							
1361-1	j a n a ŋ							
1370-1	n a ɲ u ŋ							
1388-1	j a n m a							
1397-1	tʰ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p k a r							
1433-1	z u g u							
1442-1	w a m							
1451-1	b a t a m							
1468-1	pʰ a k p a							
1477-1	w a							
1502-1	ŋ a m o u							
1511-1	m u r a ŋ m a							
1529-1	kʰ a l u							
1538-1	z u l u							
1557-1	tʃ o i d u ŋ							
1618-1	i ŋ tʃ a							
1663-1	z u m							
1689-1	w u i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m tʃ a							
1742-1	j u u							
1751-1	b u i l a							
1778-1	s a							
1787-1	tʰ u r p u							
1823-1	l e m							
1832-1	g a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m tʃ a							
1869-1	ʃ u p tʃ a ŋ							
1888-1	z a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ o l a							
1950-1	w u							
1968-1	d o ŋ tʃ a							
1978-1	g u t p a							
1987-1	s a m							
2015-1	ŋ a m l a a							
2118-1	m u ŋ o l a							
2238-1	ŋ a r l o							
2507-1	tʰ i n u ŋ							
2526-1	l e							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ a i tʰ u r							
2578-1	ɲ i tʃ i ŋ							
2596-1	tʰ u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i							
2719-1	ɾ i d i							
2728-1	kʰ u tʰ u ŋ							
2747-1	ɲ i ŋ tʃ u							
2756-1	s e r b u							
10-2		dʒ a ŋ						
37-2		n a						
46-2		n a						
98-2		kʰ a ŋ tʃ i l a						
125-2		b e w a ŋ r a						
162-2		l e i z i						
171-2		g o m z a						
219-2		d a ŋ p u						
247-2		d̪ a ŋ l u						
282-2		l u p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		l u m p a i						
363-2		n i m b u						
397-2		g a m d i						
406-2		kʰ a u						
426-2		l i g p a						
473-2		b i n tʃ a ŋ						
499-2		z a l i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		g o tʰ a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʃ o						
617-2		l e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		d o ŋ p a						
681-2		ɲ i r i						
690-2		s i ŋ						
708-2		dʒ a i i ŋ b u						
717-2		d o k p u						
726-2		s i						
744-2		i b a						
782-2		s i						
791-2		ŋ a						
800-2		ŋ a						
809-2		l o e n a ŋ						
836-2		p z i						
881-2		l u m						
890-2		r a w i						
899-2		s e r						
926-2		tʃʰ a m						
944-2		g a ɾ a ŋ						
953-2		s b a r a ŋ						
980-2		ɲ a r u ŋ						
998-2		b a i						
1022-2		g a tʰ u r						
1031-2		b i n a ŋ kʰ u a						
1069-2		tʃ e w a ŋ a						
1079-2		ʃ a l a						
1098-2		l a ŋ b u						
1117-2		tʃ u n						
1141-2		ɲ i ŋ b u						
1189-2		s a						
1198-2		n u						
1208-2		z a l a						
1217-2		l a ɲ i						
1253-2		u l a						
1271-2		n o w a ŋ						
1289-2		s i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		s i ŋ b a						
1343-2		b i n a ŋ						
1361-2		ɲ e n a ŋ						
1370-2		n a ʃ u						
1388-2		s a n b a						
1397-2		tʰ u r						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ b a t a r						
1433-2		z u g u						
1442-2		l u m						
1451-2		b a d a m						
1468-2		b a g p a						
1477-2		ŋ a						
1502-2		ŋ a m z u						
1511-2		ɲ u b l a ŋ b a						
1529-2		tʃʰ a l u						
1538-2		s u l u						
1557-2		tʃ o i tʰ u ŋ						
1618-2		i n tʃ a						
1663-2		z u m						
1689-2		ŋ o i						
1698-2		kʰ u ŋ						
1707-2		s o ŋ n a ŋ						
1716-2		ŋ a m						
1742-2		b u g i						
1751-2		b u z i l a						
1778-2		z a						
1787-2		tʃʰ u r p u						
1823-2		l e m						
1832-2		g a r a						
1842-2		l u ŋ						
1860-2		ŋ a m						
1869-2		s u tʃ a ŋ						
1888-2		z a m b i						
1897-2		s e						
1932-2		ɾ i n a ŋ e z a						
1950-2		z u						
1968-2		b o ŋ tʃ a						
1978-2		g u p a						
1987-2		s a m						
2015-2		ŋ a m ʃ u						
2118-2		l o ŋ z e t a ŋ a						
2238-2		ŋ a r ʃ u						
2507-2		tʃʰ i n u ŋ						
2526-2		l e						
2535-2		ʃ a						
2544-2		s i ŋ						
2560-2		s o ŋ i i tʃ i ŋ						
2569-2		kʰ e i tʰ u r						
2578-2		n i tʃ i ŋ						
2596-2		d u ŋ						
2615-2		r i						
2663-2		g i dʒ i						
2690-2		s i						
2719-2		s i d i						
2728-2		g o tʃ u ŋ						
2747-2		ɲ i ŋ						
2756-2		s e r b u						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ tʃ i l a					
125-3			b i u ŋ u a					
162-3			l e i z i					
171-3			d̪ o m ʃ a					
219-3			d̪ a ŋ p u					
247-3			d̪ a ŋ l u					
282-3			l u m p u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			z u m b a i					
363-3			n a m b u					
397-3			g a m tʃ i					
406-3			kʰ a u					
426-3			l u k p a					
473-3			b i n tʃ a ŋ					
499-3			z a m i					
526-3			g a p a					
544-3			kʰ u					
553-3			g o tʰ a ŋ					
599-3			g o i tʰ a m					
608-3			b a n tʃ o					
617-3			l e n					
645-3			a n a					
663-3			s o ŋ tʃ u r					
672-3			d o ŋ p a					
681-3			n i ɾ i					
690-3			l i ŋ					
708-3			tʰ a ŋ ɾ i ŋ b u					
717-3			d̪ o k p u					
726-3			s i					
744-3			a p a					
782-3			l i					
791-3			l a					
800-3			l a					
809-3			l o m n a ŋ					
836-3			p i l i					
881-3			l a m					
890-3			r a w a					
899-3			s e					
926-3			dʒ a m					
944-3			g a ɾ a ŋ					
953-3			ʃ j a ɾ a ŋ					
980-3			a a ɾ u ŋ					
998-3			pʰ a i					
1022-3			g j a tʰ u r					
1031-3			b i n a ŋ b u l a					
1069-3			tʃ o a ŋ b a					
1079-3			s i b a a					
1098-3			j a ŋ b o l a					
1117-3			d̪ u n					
1141-3			ɾ i ŋ b u					
1189-3			l a n					
1198-3			n u					
1208-3			z a l a					
1217-3			l a ŋ i					
1253-3			a m a					
1271-3			n o a ŋ					
1289-3			l i					
1316-3			l a					
1325-3			kʰ a m					
1334-3			s i ŋ b a					
1343-3			b o i n a					
1361-3			l a n a ŋ					
1370-3			n a u					
1388-3			l a ŋ b a					
1397-3			tʰ u					
1406-3			dʒ o ŋ					
1424-3			g a ɾ a ŋ b a r					
1433-3			z u g u					
1442-3			l a m					
1451-3			b a d a m					
1468-3			pʰ a k p a					
1477-3			ŋ a					
1502-3			ŋ a m z u					
1511-3			ɾ u t ŋ a a ŋ b a					
1529-3			kʰ a l u					
1538-3			s o l u					
1557-3			tʃ o i d u					
1618-3			i ŋ tʃ a					
1663-3			z u m					
1689-3			ŋ o i					
1698-3			kʰ u ŋ					
1707-3			l o ŋ n a ŋ					
1716-3			ŋ a m					
1742-3			b u g i					
1751-3			b u l i l a					
1778-3			s a					
1787-3			d̪ u r b u					
1823-3			l e m					
1832-3			kʰ a r l a					
1842-3			l u ŋ					
1860-3			ŋ a m					
1869-3			s u p tʃ a ŋ					
1888-3			z a m b i					
1897-3			s j e					
1932-3			ɾ i n a ŋ u o a					
1950-3			z u					
1968-3			dʒ o ŋ t a u					
1978-3			g u p a					
1987-3			s a m					
2015-3			n a m ʃ u					
2118-3			l u ŋ a o					
2238-3			ŋ a r l u					
2507-3			d̪ i n u					
2526-3			l e					
2535-3			ʃ j a					
2544-3			s i ŋ					
2560-3			s o ŋ n i tʃ i ŋ					
2569-3			kʰ a tʰ u					
2578-3			n i tʃ i ŋ					
2596-3			d u ŋ					
2615-3			ɾ i					
2663-3			g i t i					
2690-3			s i l i					
2719-3			ɾ i d i					
2728-3			kʰ o tʃ u ŋ					
2747-3			n i ŋ tʃ					
2756-3			s e r b u					
10-4				kʰ a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a ŋ t i l a				
125-4				b ă z a ŋ a a				
162-4				l e i i				
171-4				g o m a a				
219-4				tʃʰ a ŋ p u				
247-4				d̪ a ŋ l u				
282-4				l u p u				
292-4				kʰ a ŋ				
301-4				l i				
354-4				z u m b a tʃ i				
363-4				n a m u				
397-4				g a m tʃ i				
406-4				kʰ a m u ŋ				
426-4				l u k p a				
473-4				b i n tʃʰ a ŋ				
499-4				z a m i n				
526-4				g a r a				
544-4				kʰ u				
553-4				k o t a ŋ				
599-4				g o i tʃʰ a r				
608-4				b a n t u				
617-4				j e n				
645-4				a n a				
663-4				s o tʰ u r				
672-4				d o ŋ p a				
681-4				ɲ ĭ r i				
690-4				j ĭ ŋ				
708-4				tʰ a z i ŋ u				
717-4				d o k p u				
726-4				s i				
744-4				a p a				
782-4				j i				
791-4				n a				
800-4				n a				
809-4				l o i n a ŋ				
836-4				p i				
881-4				l a				
890-4				j a j a				
899-4				s e r				
926-4				tʃ a r				
944-4				g ă r a ŋ				
953-4				ɕ a ă r a ŋ				
980-4				u ă r u ŋ				
998-4				pʰ a tʃ i				
1022-4				g a tʰ u r				
1031-4				b ă z a ŋ u a				
1069-4				ă z a a a				
1079-4				z a a a				
1098-4				z a ŋ p u				
1117-4				tʃ u n				
1141-4				z i ŋ u				
1189-4				n a n				
1198-4				n u				
1208-4				z a l a				
1217-4				l a n i				
1253-4				a n a				
1271-4				n o n a ŋ				
1289-4				j ĭ ŋ				
1316-4				n a ŋ				
1325-4				kʰ a m				
1334-4				z i ŋ a				
1343-4				b u i n a ŋ				
1361-4				j e n a ŋ				
1370-4				n a u ŋ				
1388-4				z a n a				
1397-4				tʰ u r				
1406-4				tʃ o ŋ				
1424-4				g ă z a ŋ p ă r				
1433-4				z u g u				
1442-4				l a				
1451-4				b ă t a m				
1468-4				g a k p a				
1477-4				n a				
1502-4				n a m a u				
1511-4				l u l a ŋ a				
1529-4				g a l u				
1538-4				s u l u				
1557-4				d o i tʰ u ŋ				
1618-4				i n tʃ a				
1663-4				z u				
1689-4				n o i				
1698-4				kʰ u ŋ				
1707-4				z o ŋ n a				
1716-4				n a m				
1742-4				l u u				
1751-4				b u z i l a				
1778-4				s a				
1787-4				tʰ u r p u				
1823-4				l e m				
1832-4				kʰ a r a a				
1842-4				l u ŋ				
1860-4				n a m				
1869-4				z u p tʃʰ a ŋ				
1888-4				z a m i				
1897-4				ɕ e				
1932-4				z ă n a ŋ i a a				
1950-4				j u				
1968-4				d o ŋ tʃʰ a u r				
1978-4				g u t p a				
1987-4				n a u				
2015-4				n a m tʃʰ a				
2118-4				z o n i d̪ o ŋ l a				
2238-4				n ă r tʃʰ a m				
2507-4				tʰ i ɲ u ŋ				
2526-4				l e				
2535-4				ɕ a				
2544-4				s i ŋ				
2560-4				s o ŋ a i tʃ i ŋ				
2569-4				kʰ a tʰ u r				
2578-4				n ĭ tʃ i ŋ				
2596-4				tʃ u ŋ				
2615-4				j i				
2663-4				g i t i ŋ				
2690-4				s i				
2719-4				l a tʃ i				
2728-4				g o tʃ u ŋ				
2747-4				ɲ a ŋ tʰ u				
2756-4				z e r b u				
10-5					tʰ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ tʃ i l a			
125-5					b e a ŋ ɾ a			
162-5					l e i l i			
171-5					kʰ o m a			
219-5					t a ŋ p u			
247-5					tʰ a ŋ l u			
282-5					l u s p u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					l u m b a t i			
363-5					n a m b u			
397-5					g a m d i			
406-5					kʰ a u			
426-5					m u k p a			
473-5					b i n tʃ a ŋ			
499-5					z a m a n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					g o t a ŋ			
599-5					g o i d a m			
608-5					b a ŋ d o			
617-5					j e n			
645-5					a n a			
663-5					s o ŋ tʰ u r			
672-5					t o ŋ p a			
681-5					n i ɾ i			
690-5					m i ŋ			
708-5					tʰ a ŋ ɾ i ŋ p u			
717-5					d o k p u			
726-5					s i			
744-5					a a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					l o m n a ŋ			
836-5					p ʃ i			
881-5					l a m			
890-5					w a w a			
899-5					s e r			
926-5					kʰ a m			
944-5					g a ɾ a ŋ			
953-5					ʃ w a ɾ a ŋ			
980-5					w a ɾ u ŋ			
998-5					e i			
1022-5					g ɾ a tʰ u r			
1031-5					b i r a ŋ kʰ u e			
1069-5					tʃ o r a ŋ			
1079-5					s a l a			
1098-5					j a ŋ p u			
1117-5					tʰ u n			
1141-5					ɾ i ŋ b u			
1189-5					w a n			
1198-5					n u			
1208-5					z a l a			
1217-5					l a ɲ i			
1253-5					a m a			
1271-5					n o w a ŋ			
1289-5					m i ŋ			
1316-5					ŋ a ŋ			
1325-5					kʰ a m			
1334-5					s i ŋ b a			
1343-5					b ɾ i n a ŋ			
1361-5					j e n a ŋ			
1370-5					n a l u ŋ			
1388-5					w a n b a			
1397-5					tʰ u r			
1406-5					tʃ o ŋ			
1424-5					g a ɾ a ŋ p a r			
1433-5					s u g u			
1442-5					l a m			
1451-5					b a d a m			
1468-5					pʰ a k p a			
1477-5					ŋ a s			
1502-5					ŋ a m l u			
1511-5					m u j a ŋ a			
1529-5					tʃ a l u			
1538-5					s u l u			
1557-5					tʃ o i d u ŋ			
1618-5					i n tʃ a			
1663-5					z u m			
1689-5					ŋ o i			
1698-5					kʰ u ŋ			
1707-5					m o ŋ n a ŋ			
1716-5					ŋ a m			
1742-5					m u g i			
1751-5					b u z i l a			
1778-5					s a			
1787-5					d u r p u			
1823-5					l e m			
1832-5					kʰ a r a			
1842-5					l u ŋ			
1860-5					ŋ a m			
1869-5					s u p tʃ a ŋ			
1888-5					z a m p i			
1897-5					s e			
1932-5					ɾ i n a ŋ l o p a			
1950-5					s u			
1968-5					t o ŋ t a			
1978-5					g u t p a			
1987-5					s a m			
2015-5					ŋ a m kʰ e			
2118-5					ɾ o ŋ a u o ŋ e			
2238-5					ŋ a e kʰ e n			
2507-5					tʰ i n u ŋ			
2526-5					l e			
2535-5					ʃ a			
2544-5					s i ŋ			
2560-5					s o ŋ ɾ i tʃ i ŋ			
2569-5					kʰ e tʰ u r			
2578-5					n i tʃ i ŋ			
2596-5					tʰ u ŋ			
2615-5					ɾ i			
2663-5					g i t i			
2690-5					s i			
2719-5					ɾ i d i			
2728-5					k o tʃ u ŋ			
2747-5					ɲ i ŋ			
2756-5					s e r b u			
10-6						dʒ a ŋ		
37-6						w a n		
46-6						w a n		
98-6						kʰ a ŋ tʃ i l a		
125-6						b e a ŋ ɾ a		
162-6						l e i		
171-6						dʒ o m l a		
219-6						t a ŋ p u		
247-6						tʰ a ŋ l u ŋ		
282-6						l u m p u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						j u m p a i		
363-6						n a m b u		
397-6						g a m tʃ i		
406-6						kʰ a ɲ u		
426-6						j u k p a		
473-6						pʰ i n tʰ a ŋ		
499-6						z a m i n		
526-6						g a a		
544-6						kʰ u		
553-6						k o t a ŋ		
599-6						g o tʰ a m		
608-6						b a n tʃ o		
617-6						w e n		
645-6						a w a		
663-6						s o ŋ tʰ u r		
672-6						t o ŋ p a		
681-6						ŋ i ɾ i		
690-6						s i ŋ		
708-6						tʰ a ɾ i ŋ b u		
717-6						tʃ o k p u		
726-6						s i		
744-6						a w a		
782-6						w i		
791-6						ŋ a		
800-6						ŋ a		
809-6						o m n a ŋ		
836-6						p s i		
881-6						l a m		
890-6						ɾ a m a		
899-6						s e r		
926-6						dʒ a m		
944-6						g a ɾ a ŋ		
953-6						s w a ɾ a ŋ		
980-6						w a ɾ o ŋ		
998-6						b e i		
1022-6						k j a tʰ u r		
1031-6						b i n a ŋ u		
1069-6						tʃ o n a ŋ		
1079-6						ʃ i a l a		
1098-6						j a ŋ b u		
1117-6						d u n		
1141-6						ɾ i ŋ b u		
1189-6						w a n		
1198-6						n u		
1208-6						z a l a		
1217-6						l a ŋ i		
1253-6						a w a		
1271-6						n o a ŋ		
1289-6						s i ŋ		
1316-6						ŋ a ŋ		
1325-6						kʰ a m		
1334-6						s i ŋ b a		
1343-6						b u i n a ŋ		
1361-6						j e n a ŋ		
1370-6						n a j u		
1388-6						j a n b a		
