COGID	1	10	2	3	4	5	6	7	8	9
2689-1	i a m a									
893-1	a t n a									
1285-1	i w a									
1303-1	ŋ d ɔ m a									
2197-1	z z a l a									
2828-1	z i v a									
3572-1	s ɔ a i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a a i a ŋ g a									
3207-1	β u l a									
3519-1	t u m a									
3686-1	i i m t a									
4249-1	z w m i									
4451-1	β i s i									
448-1	a i a a a i									
630-1	β ɛ ɛ l ɛ									
814-1	n ɔ ɛ m b ɛ									
1216-1	g a β a									
1228-1	z w a i									
1418-1	a i m a á a a									
1475-1	w a									
2026-1	t w ɛ									
2775-1	n u á m a									
3397-1	β ɔ l a									
3826-1	s ɔ k a									
4003-1	i á a									
4040-1	i ɛ n i									
4373-1	l i m i									
4384-1	i ɛ ɔ									
84-1	ʃ a g u l u									
116-1	f i k a									
181-1	w ɔ á ŋ k ɔ									
419-1	i g a									
587-1	ɔ a ŋ a ɔ									
660-1	a ɛ a a									
848-1	d a l a									
1083-1	a i l a									
1122-1	β i u a									
2689-2		ɲ a m a								
893-2		iː i d g a								
1303-2		o k o m a								
2197-2		i dʒ a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		g a a a a ŋ g a								
3207-2		v u l a								
3519-2		l u m a								
3686-2		l i m b a								
4249-2		k u m i								
4451-2		v i n i								
448-2		m u g a l i								
630-2		s e e l e								
814-2		ɲ oː o m b e								
1216-2		g a l i l a								
1228-2		a a								
1418-2		s i m a l a								
1475-2		w a								
2026-2		t w e								
3826-2		l o k a								
4003-2		t i v a								
4373-2		l i m e								
4384-2		i o								
84-2		p a dʒ u l u								
116-2		v i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		w a l a								
848-2		k a l a								
1122-2		w i m a								
2689-3			n a m a							
893-3			a a n a							
1285-3			n w a							
1303-3			e x o m a							
2197-3			a a l a							
2828-3			s i n a							
3572-3			l o n i							
1095-3			l i m a							
1755-3			tʰ i i							
1789-3			x a a a a ŋ g a							
3207-3			β a l a							
3519-3			tʰ u m a							
3686-3			tʰ a m b a							
4249-3			x u m i							
4451-3			β i l i							
448-3			l o a n i							
630-3			β e e l e							
1216-3			a a							
1228-3			β w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			r i k a							
4040-3			k e n a							
4373-3			l i l i							
4384-3			i n o							
181-3			k o a ŋ g o							
419-3			l o k a							
587-3			ìì u n g o							
660-3			l e l a							
1083-3			l i l a							
2689-4				n á m a						
893-4				á n e e a						
1285-4				á á á e						
3572-4				o m a						
1755-4				i á á						
1789-4				t o n o u g a						
3686-4				t o u g u						
4451-4				b u m u						
1216-4				k á n e e á						
4003-4				k á á n a						
419-4				ts u g u						
1122-4				p e e e						
2689-5					w a m a					
893-5					a n n d a					
1285-5					i w a					
1303-5					k o m					
2197-5					k a a					
2828-5					ʃ i m					
3572-5					s o m i					
1095-5					l i m a					
3207-5					f u l a					
3519-5					f u m					
3686-5					l i m b a					
4249-5					k á m i					
448-5					a o k d a					
630-5					β e e l e					
814-5					o i g e					
1228-5					β w a					
1418-5					ʃ i a a					
2026-5					t w e					
2775-5					u m a					
3397-5					β o l					
3826-5					s o k					
4040-5					s á w i					
4373-5					l i l i					
4384-5					i o					
84-5					u u					
116-5					f i k					
587-5					o i k o					
848-5					k u m a					
1303-6						m k a l				
1755-6						a a a				
448-6						ɲ a ɲ ɔ l a				
1475-6						k l				
3397-6						l ɔ l ɔ				
2689-7							a m a			
893-7							a t a			
1285-7							a a			
1303-7							g o m a			
2197-7							z á a			
2828-7							i ɲ a			
3572-7							o ɲ i			
1095-7							i m a			
1755-7							ɲ e			
1789-7							a a ŋ g a			
3519-7							u m a			
3686-7							i m b a			
4249-7							k u m i			
4451-7							v i ɲ i			
814-7							o m b e			
1216-7							k á v á n a			
1475-7							g a a			
2026-7							t á e			
2775-7							u m b a			
3826-7							z o k a			
4003-7							h i a a			
4040-7							e ɲ i			
84-7							ʃ h u u			
116-7							i k a			
181-7							ɣ o ŋ g o			
419-7							o k o			
587-7							o ŋ g o			
660-7							e ɲ a			
