COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	n a							
4-1	tʰ eˀ							
6-1	n a ŋ							
15-1	p i							
55-1	l ɛi							
56-1	u							
60-1	ɕ i							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ u							
86-1	pʰ a							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d ɛi							
107-1	pʰ l a							
112-1	pʰ ɔ							
115-1	ɕ a							
114-1	tʰ ɔ m							
120-1	t a							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	l i							
136-1	m u							
134-1	kʰ a							
137-1	u							
138-1	d ɔ k							
140-1	h j a							
143-1	tɕʰ a k							
145-1	tɕʰ a							
147-1	h u							
149-1	m ɔ							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	kʰ i							
163-1	l i							
164-1	n u							
167-1	pʰ a							
171-1	n u ŋ							
172-1	b u k							
173-1	tʰ ɔ ŋ							
183-1	l ɛi							
185-1	m a							
188-1	kʰ u ŋ							
189-1	ts u							
193-1	h ɛi							
196-1	m a							
199-1	ɕ u							
200-1	kʰ a							
201-1	kʰ i							
202-1	kʰ ɔ							
203-1	d ɔ ŋ							
204-1	b u							
206-1	w a m							
117-1	b u							
146-1	kʰ i t							
219-1	h w a							
218-1	tɕʰ i							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	w a t							
255-1	n a s							
260-1	b e							
263-1	l a							
269-1	dʑ j a ŋ							
271-1	tʰ a k							
209-1	kʰ i t							
277-1	m ɛ							
278-1	b ɔ ŋ							
135-1	d ɛi							
284-1	m u							
797-1	u							
290-1	l a							
289-1	dʑ i							
296-1	n i							
310-1	ɕ a							
319-1	i							
325-1	l i							
327-1	t ɛi							
331-1	k u							
337-1	b ɹ ɛ ŋ							
338-1	dʑ i ŋ							
339-1	ɔ							
350-1	kʰ u							
349-1	d u ŋ							
357-1	tɕʰ a							
355-1	u							
363-1	dʑ ɛ ŋ							
361-1	tʰ u							
365-1	s a u							
364-1	g a t							
375-1	l ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ ɛi							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	s u m							
409-1	l j ɛ k							
410-1	tɕʰ ɔ k							
415-1	p e							
416-1	b e							
101-1	n a							
37-1	kʰ a							
424-1	b ɛi							
434-1	dʑ ɛ ɹ							
445-1	p							
446-1	ɕ i							
451-1	t a							
457-1	n a m							
456-1	b a							
464-1	p j i ŋ							
473-1	tɕ i							
474-1	ɔ							
479-1	s a ɹ							
489-1	j ɛi							
490-1	j a ŋ							
494-1	ɕ a							
503-1	h ɛi							
502-1	dʑ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	s							
544-1	w a m							
850-1	a							
554-1	dʑ u							
553-1	d u							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p ɛi							
564-1	j a							
567-1	m ɛi							
570-1	pʰ u							
575-1	u							
582-1	l a							
585-1	ɔ t							
589-1	kʰ u m							
593-1	d ɛ ŋ							
594-1	l a ŋ							
595-1	t ɔ ŋ							
596-1	l a k							
598-1	ʑ a p							
599-1	tʰ ɛ m							
602-1	ʑ a							
603-1	l a p							
606-1	ɕ ɔ m							
605-1	p a							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɛi							
646-1	l a ŋ							
168-1	h j ɛ k							
658-1	dʑ ɔ							
665-1	p a							
668-1	h a							
677-1	t a ŋ							
75-1	d ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ ŋ							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	tɕ u m							
704-1	m a							
176-1	l a							
709-1	ɕ a							
710-1	t u p							
714-1	m ɛ t							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	ts i							
726-1	dʑ i ŋ							
729-1	b u							
730-1	d i							
739-1	pʰ ɔ e							
740-1	b a							
741-1	kʰ ɔ							
744-1	u							
743-1	dʑ a n							
746-1	pʰ ɔ ŋ							
748-1	tʰ i							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t a							
762-1	m ɛ n							
764-1	dʑ a n							
765-1	p i							
788-1	h u m							
615-1	l a k							
803-1	ɕ a							
802-1	l a k							
808-1	b e							
809-1	tɕ i							
819-1	d u k							
821-1	ɕ a							
820-1	p ɛi							
828-1	s a k							
827-1	p u							
835-1	n u							
308-1	d u							
844-1	ʑ i							
848-1	m ɛi							
705-1	l a							
613-1	u							
649-1	h j ɛ k							
876-1	tɕ u							
878-1	j ɔ m							
889-1	h a m							
898-1	n u k							
902-1	h ɔ ŋ							
910-1	u a							
916-1	l i							
919-1	l i							
922-1	z i							
930-1	tɕ u							
933-1	k i							
939-1	l j a k							
947-1	j ɛ ŋ							
948-1	n a							
963-1	ʑ a							
967-1	tɕʰ u p							
969-1	ɕ a							
970-1	kʰ ɔ							
972-1	n a							
731-1	m u							
973-1	dʑ i ŋ							
974-1	h a s							
979-1	dʑ ɛ n							
182-1	kʰ u							
993-1	n a m							
994-1	j u							
1001-1	ɕ a							
