COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	a a															
175-1	a															
241-1	a															
2163-1	a a a															
2181-1	a a a															
2060-1	a a a															
410-1	a															
1841-1	a a															
2017-1	a a															
1004-1	a a															
614-1	a n															
686-1	a a															
88-1	a a															
872-1	a a a															
1891-1	a															
68-1	a a a															
631-1	a a a															
594-1	a															
1759-1	a a a															
805-1	a a a															
756-1	a a															
1201-1	a a															
2042-1	a a															
1968-1	a															
2000-1	a a a															
17-1	a a															
4-1	a a															
788-1	a															
1219-1	a a a															
141-1	a a a															
541-1	a a a a a															
1687-1	a a a															
123-1	a a a															
1652-1	a a a															
576-1	a a															
1738-1	a															
442-1	a a a															
368-1	a a a a															
1778-1	a															
957-1	a a															
1704-1	a a															
304-1	a a a															
1796-1	a a a															
720-1	a n															
287-1	a a															
321-1	a a a															
206-1	a															
1950-1	a a															
665-1	a a a															
703-1	a a															
1290-1	a a															
1391-1	a															
269-1	a a															
855-1	a a n															
2078-1	a a															
2213-1	a a															
1858-1	a a															
1151-1	a a a															
737-1	a a															
340-1	a a															
1111-1	a ə															
485-1	a ə															
1356-1	a ə n															
1093-1	a a a															
1063-1	a a															
648-1	a a a															
223-1	ə n															
1248-1	a a															
1509-1	ə n															
504-1	a a a															
2130-1	a a															
1-1	a															
386-1	a a															
1411-1	a															
1027-1	ə															
1459-1	ə ə															
1323-1	a a															
1538-1	a a a a															
975-1	a ə n															
940-1	a ə a															
1476-1	ə n															
1923-1	a ə															
105-1	a ə n															
1431-1	a															
1814-1	a a a															
1183-1	a ə n															
1430-1	a															
1721-1	j ə n															
1617-1	ə n															
1564-1	a															
2111-1	ə ə															
1563-1	a a															
1597-1	a a a															
1859-2		a a														
175-2		d ɔ														
241-2		ʔ ɔ ʔ														
2163-2		kʰ ɔ n														
2181-2		a ɔ a														
2060-2		b a a														
410-2		d a														
1841-2		a a														
2017-2		a a														
1004-2		a a														
614-2		d ɔ a														
686-2		b a ɔːi̯														
88-2		b ʔ ɔ ʔ														
872-2		a ɔ a														
1891-2		d a														
68-2		a ɔ a														
631-2		b n ɔ a														
594-2		ʔ a														
1759-2		a a a														
805-2		b əː a														
756-2		a ɔ ʔ														
1201-2		a ʔ ɔ h														
2042-2		ʔ a ʔ														
1968-2		d ɔ ʔ														
2000-2		a ɔ a														
17-2		a ɔ ʔ														
4-2		b əː a														
788-2		d ɔ ʔ														
1219-2		l a a														
141-2		b a a														
541-2		b a a ɔ a														
1687-2		a a a														
123-2		a ɔ a														
1652-2		b əː a														
576-2		a ɔ n														
1738-2		d ɔ ʔ														
442-2		a ɔ a														
368-2		b a ɔ a														
1778-2		b ɔ ʔ														
957-2		a ɔ ʔ														
1704-2		ʔ ɔ ʔ														
304-2		a ɔ a														
1796-2		d ɔ a														
720-2		d ɔ a														
287-2		b n ɔ														
321-2		ɣ ɔ n														
206-2		d ɔ ʔ														
1950-2		ʔ o a														
665-2		b l ɔ a														
703-2		a ɔ ʔ														
1290-2		a a														
1391-2		d ɔ ʔ														
269-2		b d ɔ ʔ														
855-2		d əː a														
2078-2		a ɔ ʔ														
2213-2		a a														
1111-2		a əː														
485-2		a əː														
1356-2		a əː a														
1093-2		d əː a														
1063-2		d ɔ a														
648-2		d ɔ a														
223-2		b j əː n														
1248-2		m a														
1509-2		b əː a														
504-2		d ɔ n														
2130-2		a a														
1-2		ʔ a														
386-2		a əː ʔ m														
1411-2		ʔ ɔ														
1027-2		d əː m														
2077-2		b ə a ɔ h														
1459-2		a a														
1323-2		a a														
975-2		ə d a a														
940-2		a a n														
1476-2		ʔ a a														
1923-2		a a														
105-2		ɣ a n														
1431-2		ʔ ɨ														
37-2		d ɔ o														
1152-2		ʔ eː o eː														
1814-2		m a n														
1183-2		a əː n														
1430-2		d a														
1721-2		a a n														
1617-2		ʔ əː n														
1564-2		kʰ a														
2111-2		a a														
1563-2		m a														
1859-3			a a													
175-3			h a ʔ													
241-3			h a h													
2163-3			h a a													
2181-3			a a a													
2060-3			h a a													
410-3			h a													
1841-3			a a													
2017-3			h a													
1004-3			a a													
614-3			h a a													
686-3			h a a													
88-3			h h a ʔ													
872-3			a a a													
1891-3			h a													
68-3			a a a													
631-3			h a a a													
594-3			h a													
1759-3			a a a													
805-3			h a a													
756-3			h a h													
1201-3			a a a ʔ													
2042-3			h a a													
1968-3			h a h													
2000-3			a a a													
17-3			a a h													
4-3			h a a													
788-3			h a													
1219-3			a a a													
141-3			h a a													
541-3			h a a a a													
1687-3			a a a													
123-3			a a a													
1652-3			h a a													
576-3			a a a													
1738-3			h a h													
442-3			a a a													
368-3			h a a a													
1778-3			h a h													
957-3			a a h													
1704-3			h a h													
304-3			a a a													
1796-3			h a a													
720-3			h a a													
287-3			h a a													
321-3			h a a													
206-3			h a h													
1950-3			h a a													
665-3			h a a a													
703-3			a a ʔ													
