COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	ŋ u m															
1089-1	a a															
1319-1	a a															
1398-1	a u ŋ u a u															
1557-1	ŋ i r a															
1626-1	a a w a															
1840-1	ŋ a r a															
2247-1	g a															
4677-1	k u r a a															
5162-1	a u a a															
5406-1	ŋ u e iː															
359-1	k a a a															
1577-1	ŋ a r a															
2196-1	a a a a															
2230-1	j a a															
2533-1	ŋ a a b a															
3605-1	k a a d a															
3866-1	ŋ a s u															
4553-1	k a r iː															
4822-1	k u e b a															
5254-1	d u r a															
503-1	ŋ i r a j															
1356-1	a a j a															
1881-1	a iː a iː j															
3218-1	ŋ u ŋ a															
3372-1	ɔ a a a															
3718-1	ŋ a iː iː															
4135-1	b a r a j															
4694-1	g u s s a															
807-1	g ɔ m b a															
2320-1	k a j a															
2476-1	k a m															
3719-1	a															
4081-1	d a a b iː															
4313-1	j e e j e															
4460-1	a u j a															
5810-1	b a a ɔ															
93-1	a															
260-1	b e e															
385-1	z e i b ɛ															
890-1	ŋ u u b iː r iː															
1336-1	d a m a															
1703-1	b a m															
1769-1	d ɛ m b a															
2162-1	b a r u															
2635-1	s a															
3031-1	z e ɛ															
4591-1	d a j a															
5301-1	b a r u															
5605-1	d i a a j															
463-1	d u m b a															
1432-1	z a r u															
1474-1	t u b															
1788-1	j a r̃															
2044-1	t i m b a															
2713-1	ŋ i m b i n d i j a															
3219-1	d a s a															
3425-1	j a															
4184-1	j a j															
4629-1	i u j a															
4759-1	n iː iː iː															
4904-1	a d u ɔ ɔ															
4960-1	d i r a iː															
4980-1	t ɔ															
5059-1	k e r a															
5339-1	b a m a															
5549-1	z a a a															
5905-1	t i r a															
5922-1	p i r a															
5938-1	ŋ a ŋ u a a															
1-1	b a															
483-1	g a s u															
629-1	z a															
667-1	ɛ r ɛ															
1254-1	z u d uː r u															
1415-1	e a															
1542-1	e iː															
1683-1	r e r e															
1898-1	b u r ɛ															
2901-1	s u d a															
2957-1	a a n iː															
3048-1	b i iː a															
3251-1	z a r a															
3885-1	z e r a															
4402-1	j a															
5622-1	b a r i j e a															
6006-1	ŋ u r a															
135-1	b e e d a															
158-1	n̩ k ɔ s u															
194-1	b a j															
221-1	ɛ s a															
650-1	b e s e															
1152-1	k i j a															
1374-1	k e r ɔ															
1452-1	k a r a															
1862-1	i s a															
2083-1	k a m u															
2108-1	n a a															
2636-1	j															
2924-1	g ɔ u															
2941-1	b a j i															
3405-1	k iː iː iː j															
3751-1	z e															
4066-1	g ɔ j ɔ															
4535-1	a u w a															
4888-1	a a m a a															
5583-1	k a e e															
5751-1	d i a a															
5981-1	a e a															
114-1	d a r a															
851-1	ŋ a r															
1941-1	p e r e															
2179-1	n iː															
2351-1	z a r̃ a															
2496-1	n a															
3482-1	ŋ̍ a a a i e r r e															
3497-1	ŋ uː a															
3588-1	k a r̃ u															
4202-1	g a a a															
4293-1	z uː r uː															
4921-1	n u m b j iː															
408-1	a e e b a															
545-1	e e e															
978-1	t e m															
1052-1	n a m b u															
1070-1	ɛ u w o															
1942-1	j a															
2456-1	k a r u															
2514-1	d e s i															
2666-1	n a j a															
2817-1	a e g a															
3132-1	d i a															
3300-1	e r u															
3976-1	z o															
4152-1	d i u a															
4361-1	t u															
4570-1	t a r a															
4648-1	j a															
715-2		d u r														
1089-2		n i r														
1319-2		n i j̃														
1398-2		s u u ɛ e														
1557-2		p e r ɛ														
1626-2		o a r e														
1840-2		e r e														
2247-2		g e														
4677-2		k u r o e														
5162-2		j i ɛ ɛ														
5406-2		i r i														
359-2		k o r u														
1577-2		k e r ɛ														
2196-2		n a r iː														
2230-2		j e r e														
2533-2		a r i														
3605-2		k e r dʒ e														
3866-2		e s u														
4553-2		dʒ i u														
4822-2		k u r o														
5254-2		dʒ u r i														
503-2		i w̃ i j̃														
1356-2		j u w̃														
1881-2		n i o iː														
2084-2		u u ɛ														
2420-2		g o r i														
3218-2		b u u														
3372-2		j a w̃ e														
3718-2		p a r e														
4135-2		b a r ɔ j̃														
4694-2		k u s u														
807-2		g o r dʒ u														
2320-2		k a r e														
2476-2		k u r i														
