COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	a a ⁵⁵								
495-1	n e ³¹								
838-1	x ʐ e ʔ ⁵⁵								
438-1	ʐ e ʔ ⁵⁵								
334-1	a o ʔ ⁵⁵								
360-1	l̥ a ³¹								
394-1	a ʐ a ³¹								
221-1	tɕ a ⁵⁵								
202-1	k a ³¹								
935-1	pʰ e ³¹								
93-1	n a ³¹								
7-1	ʂ a a ³¹								
664-1	a o ŋ ⁵⁵								
246-1	x w o ʔ ⁵⁵								
547-1	ʐ a ʔ ⁵⁵								
555-1	a a m ⁵⁵								
464-1	a au ³¹								
119-1	ʂ ʐ a ŋ ⁵⁵								
835-1	a a p ⁵⁵								
79-1	t w o ŋ ³¹								
693-1	a a ⁵⁵								
477-1	a w a p ⁵⁵								
891-1	t a a ŋ ³¹								
528-1	k a o ⁵⁵								
797-1	x ʐ o ʔ ⁵⁵								
493-1	n a ʔ ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ o t ⁵⁵								
452-1	a ʐ o ʔ ⁵⁵								
580-1	ʐ o t ⁵⁵								
833-1	a a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	a w a ŋ ⁵⁵								
86-1	t o ŋ ⁵⁵								
384-1	tɕ e a ³⁵								
61-1	ʂ a m ⁵⁵								
536-1	tɕ a ʔ ⁵⁵								
731-1	n e ³¹								
779-1	pʰ e ⁵⁵								
589-1	ʂ e m ⁵⁵								
658-1	a e m ⁵⁵								
456-1	a a a ŋ ³¹								
183-1	k a a ⁵⁵								
785-1	pʰ a ³¹								
714-1	tsʰ e ⁵⁵								
331-1	a e ³¹								
930-1	l e p ⁵⁵								
161-1	ʂ w a a ⁵⁵								
814-1	x ʐ a ŋ ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	k ʐ a ʔ ⁵⁵								
727-1	tɕ a m ⁵⁵								
260-1	a a p ⁵⁵								
144-1	ʂ w a m ⁵⁵								
53-1	ʂ a m ⁵⁵								
59-1	ʂ a ʔ ⁵⁵								
506-1	ʂ a ʔ ⁵⁵								
29-1	l o ʔ ⁵⁵								
316-1	ʂ ʂ e ʔ ⁵⁵								
389-1	a ʐ w a ŋ ⁵⁵								
118-1	a e ʔ ³¹								
312-1	ʂ w o ³¹								
490-1	n ʐ a ŋ ŋ ³¹								
436-1	ʐ a ³¹								
927-1	tɕ e a ⁵⁵								
383-1	l o ʔ ⁵⁵								
211-1	a a m ⁵⁵								
873-1	l o ŋ ⁵⁵								
877-1	ə e ³⁵								
344-1	l̥ a m ⁵⁵								
666-1	a a ³¹								
595-1	ʂ w e ŋ ³⁵								
660-1	a a m ⁵⁵								
642-1	ʂ a ŋ ³⁵								
257-1	tɕ a m ⁵⁵								
167-1	a a ⁵⁵								
880-1	ʂ a m ⁵⁵								
484-1	l w a ŋ ⁵⁵								
574-1	x ʐ a m ³¹								
718-1	ʂ tɕ e a ³¹								
811-1	pʰ e ³¹								
458-1	ʂ e ŋ ³¹								
884-1	ʂ a ³¹								
205-1	k ə ʔ ⁵⁵								
499-1	a e ⁵⁵								
706-1	ʂ a a ⁵⁵								
920-1	tɕ e a ³¹								
36-1	p tɕ a ŋ ⁵⁵								
12-1	ʂ ʐ a ⁵⁵								
350-1	l w a a ³⁵								
4-1	ʂ a a ⁵⁵								
342-1	l o ʔ ⁵⁵								
280-1	x tɕ e ⁵⁵								
612-1	ʂ k e ŋ ³¹								
459-1	m ʐ e a ⁵⁵								
569-1	l a ³¹								
283-1	a e ³⁵								
148-1	k e ŋ ³¹								
652-1	a ə ⁵⁵								
220-1	a o ŋ ³¹								
562-1	k ʐ e ŋ ³¹								
31-1	ə a ʔ ⁵⁵								
386-1	m a t ³¹								
804-1	x a e a ³¹								
369-1	l o ʔ ⁵⁵								
125-1	k ʐ e ŋ ³¹								
314-1	k ʐ w a ŋ ⁵⁵								
823-1	l o p ⁵⁵								
471-1	n e m ³¹								
40-1	ʂ ʐ e ŋ ³⁵								
393-1	n e ŋ ³⁵								
272-1	tɕ o ŋ ³⁵								
463-1	a a ⁵⁵								
1-1	pʰ o ⁵⁵								
214-1	a a m ³¹								
123-1	tsʰ o ʔ ⁵⁵								
512-1	ʂ a a ³¹								
518-1	ʂ a e ⁵⁵								
878-1	pʰ a ³¹								
849-1	ʂ a t ⁵⁵								
524-1	ʂ o ʔ ⁵⁵								
90-1	ʂ a ʔ ³⁵								
541-1	l a ŋ ⁵⁵								
933-1	a pʰ e ³¹								
467-1	ə a ³¹								
49-1	ʂ w ɔ ³¹								
822-1	l ɔ ⁵⁵								
52-1	ʂ a ⁵⁵								
377-1	j a ŋ ³¹								
127-1	ʂ a m ⁵⁵								
67-1	ʂ e t ⁵⁵								
864-1	ʂ ə ə ³¹								
126-1	ʈʂ w a ʔ ⁵⁵								
656-1	o m ³⁵								
635-1	ʂ e ʔ ⁵⁵								
473-1	tɕ a m ⁵⁵								
98-1	l pʰ a ³¹								
445-1	ʐ u ⁵⁵								
379-1	ɕ a m ⁵⁵								
665-2		n i̱ ⁵¹							
495-2		n u ⁵¹							
838-2		p i u ŋ ⁵¹							
438-2		n i u ʔ ⁵⁵							
334-2		n u ʔ ⁵⁵							
360-2		n u ŋ ⁵¹							
394-2		n j u ⁵¹							
221-2		j u ⁵⁵							
202-2		k u ⁵¹							
935-2		tsʰ i̱ ⁵¹							
93-2		n u ŋ ⁵¹							
7-2		p u ŋ ²¹							
664-2		l u ŋ ⁵¹							
246-2		k j u ʔ ⁵⁵							
547-2		k u k ²¹							
555-2		j u o ⁵¹							
464-2		n u k ⁵¹							
119-2		j u ŋ ⁵¹							
835-2		p n u ʔ ⁵⁵							
79-2		k u ⁵¹							
693-2		n u ⁵¹							
477-2		n j u ⁵⁵							
891-2		tʃ u i ⁵⁵							
528-2		p i i̱ ⁵¹							
797-2		kʰ j u ʔ ⁵⁵							
493-2		n u k ⁵¹							
217-2		p i̱ u ⁵⁵							
896-2		u t ⁵⁵							
452-2		i i u ⁵⁵							
580-2		p n u ʔ ⁵⁵							
833-2		n u ŋ ⁵¹							
390-2		n u ŋ ⁵¹							
696-2		n u ŋ ⁵¹							
86-2		p u o ⁵¹							
384-2		n a ŋ ⁵⁵							
61-2		a ŋ ²¹							
536-2		p j a ʔ ⁵⁵							
731-2		n u ²¹							
779-2		tsʰ o ⁵¹							
589-2		a ŋ ⁵¹							
680-2		ŋ i̱ ⁵⁵							
658-2		i u ŋ ⁵¹							
456-2		n a a ŋ ²¹							
183-2		k j u ⁵¹							
785-2		kʰ o ⁵¹							
714-2		u t ²¹							
331-2		a o ⁵¹							
206-2		a̱ i̱ ⁵¹							
930-2		n o p ⁵⁵							
353-2		i i̱ ŋ ⁵¹							
161-2		k a ŋ ⁵¹							
814-2		kʰ j u ŋ ²¹							
179-2		k i u ŋ ²¹							
194-2		p j a ʔ ⁵⁵							
727-2		l a ŋ ⁵¹							
260-2		k j a m ⁵⁵							
144-2		k a m ⁵¹							
53-2		p a o ⁵¹							
59-2		k o ʔ ⁵⁵							
506-2		p a ⁵⁵							
29-2		p i̱ k ⁵⁵							
316-2		p j a ʔ ⁵⁵							
389-2		n i u ŋ ²¹							
118-2		n u k ⁵⁵							
312-2		k tsʰ a ²¹							
490-2		n j u ŋ ⁵⁵							
436-2		s i e ŋ ⁵¹							
927-2		n a ŋ ⁵¹							
383-2		n i̱ k ⁵⁵							
211-2		a a m ⁵¹							
873-2		n i̱ ŋ ⁵¹							
371-2		l i̱ ŋ ⁵¹							
877-2		n o ⁵⁵							
344-2		l a̱ m ⁵¹							
666-2		n i̱ ⁵¹							
595-2		k a ŋ ²¹							
660-2		a ⁵⁵							
642-2		tʃ a ŋ ⁵⁵							
257-2		k j a m ⁵¹							
167-2		k j o ²¹							
880-2		tʃ a p ⁵⁵							
337-2		p i i̱ ⁵¹							
484-2		n i̱ ŋ ⁵¹							
574-2		k j u ui ²¹							
718-2		p a o ²¹							
811-2		kʰ u ⁵¹							
458-2		tʃ a o ²¹							
884-2		tʃ a ²¹							
205-2		k i ²¹							
499-2		n o ⁵¹							
706-2		p l o ⁵¹							
920-2		p a o ²¹							
36-2		p j a ⁵¹							
12-2		p a ²¹							
350-2		i̱ i̱ i ⁵⁵							
4-2		p a ŋ ⁵¹							
342-2		l a k ²¹							
280-2		kʰ j a ²¹							
638-2		p tʃ a̱ m ⁵⁵							
729-2		p j i ²¹							
72-2		a̱ ŋ ⁵¹							
612-2		p a ŋ ²¹							
459-2		n j a ŋ ²¹							
569-2		n i̱ k ⁵⁵							
283-2		k j u ²¹							
501-2		ts u ŋ ⁵⁵							
652-2		e i ⁵¹							
220-2		k j a ŋ ⁵¹							
233-2		a̱ a̱ ⁵⁵							
562-2		k a ŋ ²¹							
31-2		p j o m ⁵⁵							
386-2		m a k ²¹							
684-2		n j a̱ ʔ ⁵⁵							
804-2		k j u ŋ ⁵⁵							
618-2		tʃ a̱ ²¹							
565-2		ts u ⁵⁵							
468-2		n i̱ ŋ ⁵⁵							
369-2		l a k ²¹							
314-2		kʰ j a t ²¹							
776-2		p j a̱ ʔ ⁵⁵							
170-2		k j u ⁵⁵							
