COGID	Albanian	English	French	German	Latin
560-1	i				
438-1	r				
1222-1	t				
353-1	i t				
201-1	t				
20-1	u r				
503-1	i				
957-1	t				
728-1	u t				
244-1					
289-1	i t t				
911-1	u t i r				
724-1	r i				
145-1					
992-1					
1181-1	i t				
741-1	e t				
560-2		r ə			
438-2		ə r i			
1222-2		ə			
353-2		f r ɑ			
201-2		w ə n			
20-2		w ɔ r			
503-2		f r ə l			
957-2		t ə n			
728-2		l ə ŋ			
244-2		n u m ə			
289-2		ə t			
911-2		w ə ə l			
724-2		t r ai			
145-2		t w ɑ			
992-2		w i			
706-2		ə			
106-2		f ə ð ə r			
741-2		t t ə			
421-2		b l ə			
227-2		f ə t			
560-3			v j œ̃ l		
438-3			œ r ɛ		
1222-3			a v ɛ l		
353-3			w u		
201-3			ɑ̃		
20-3			u u		
503-3			l y n		
957-3			b œ̃		
728-3			l ɑ̃ g		
244-3			n y m		
289-3			a w a t		
911-3			a ɛ		
724-3			d a w a		
145-3			d w u		
992-3			u		
1181-3			s ɑ̃		
706-3			u k ø l u		
106-3			u r		
741-3			a		
421-3			f l y r		
227-3			w a		
560-4				i i	
438-4				e aː i	
1222-4				i aː	
353-4				f aː	
201-4				aː n	
20-4				oː	
503-4				f aː l	
957-4				m i n	
728-4				v i ŋ ə	
244-4				n aː i ə	
289-4				v i x t	
911-4				oː ts	
724-4				d i	
145-4				ʃ aː	
992-4				aː	
1181-4					
706-4				e	
106-4				f u t ə r	
421-4				f l au r	
227-4				f	
560-5					w e n o
438-5					oː oː
1222-5					kʷ oː
353-5					p r e e o
201-5					oː n o
20-5					oː e t
503-5					p aː a
957-5					oː
728-5					l oː t o
244-5					n oː m e n
289-5					n r oː
911-5					r oː n e
724-5					oː uː
145-5					d e t
992-5					oː
1181-5					ae n i o
706-5					r d d
106-5					p e nː r
741-5					a aː m o
421-5					f l uː
227-5					p e
