COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l i ³						
18-1	n j ɛ ŋ ³						
19-1	n ɛ ³						
44-1	d l u k ³²						
50-1	ʃ u ŋ ³						
62-1	s ai k ⁵⁴						
70-1	d z a n ³¹						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ³²						
127-1	kʰ w i ⁴						
132-1	d j u ʔ ³¹						
133-1	n au ³						
135-1	n au ³¹						
142-1	d z ɛ i ⁴²						
143-1	ŋ ɔ ʔ ³¹						
149-1	ʔ u ⁵						
152-1	ŋ a ³¹						
157-1	b u ⁵						
183-1	ʔ u ³						
184-1	n ɔ̰ ə̰ ʔ ⁵⁴						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ⁴³						
192-1	n ɔ̰ ³						
195-1	n u ³						
200-1	d au n ³						
216-1	s a ŋ ³						
218-1	l ɔ ʔ ³²						
225-1	s ai ŋ ⁵						
235-1	kʰ j ei ³						
244-1	s i ³						
253-1	m i ³						
270-1	m ei ³¹						
278-1	n j ɛ ŋ ³						
279-1	a u ³⁴						
285-1	d j au n ³						
308-1	d i ⁵						
322-1	m i ³						
325-1	kʰ au ⁵						
337-1	n j a̰ ŋ ³						
341-1	d z ɔ ³						
347-1	ʃ u ʔ ⁵³						
362-1	j i ³						
391-1	j u p ³¹						
394-1	m ɔ ʔ ³²						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ̰ t ⁵³						
460-1	s a t ⁵³						
463-1	i ³						
464-1	ʔ u ŋ ³						
473-1	s a m ⁵						
476-1	kʰ j u k ³²						
481-1	tsʰ ɨu ³						
494-1	g i ³						
496-1	j ɛ ŋ ³						
516-1	w i ³						
1-2		m ɛ ⁵²					
4-2		l ẽ ⁵²					
18-2		m w ṵ̃ ²³					
19-2		n i ³					
44-2		l a ⁵²					
50-2		s o ŋ ³					
62-2		ʃ a ⁵²					
70-2		ts a n ²³					
75-2		m j a ʔ ⁵²					
97-2		ts a ŋ ⁵²					
112-2		s a ⁵²					
122-2		m j a ʔ ⁵²					
127-2		kʰ j ɛ ⁵²					
132-2		j a ʔ ⁵²					
133-2		n a ⁵²					
135-2		n au ²³					
142-2		ts w i ³					
143-2		n a ʔ ⁵²					
149-2		w u ⁵²					
152-2		n a ⁵²					
157-2		ts a ⁵²					
183-2		w u ³					
184-2		n au ⁵²					
185-2		ts ẽ m ³					
189-2		m j a ʔ ²³					
192-2		n a ŋ ⁵²					
195-2		n a ⁵²					
200-2		a ⁵²					
216-2		s w a̰ ŋ ²³					
218-2		l a ʔ ⁵²					
225-2		ʃ au ŋ ²³					
235-2		kʰ j ɛ ³					
244-2		s j ɛ ⁵²					
253-2		m j u ⁵²					
270-2		m i ³					
278-2		m ṵ̃ ŋ ³					
279-2		au a ⁵²					
285-2		j a m ³					
308-2		j u ³					
322-2		m i ⁵²					
325-2		kʰ au ⁵²					
337-2		m j ṵ̃ ŋ ³					
341-2		ts a ⁵²					
347-2		s au ⁵²					
362-2		j ɛ ŋ ³					
391-2		j a ⁵²					
394-2		m a ʔ ⁵²					
397-2		tʃʰ au ⁵²					
443-2		n j ɛ ʔ ⁵²					
460-2		ʃ a ʔ ⁵²					
463-2		j u ŋ ³					
464-2		ts a ŋ ⁵²					
473-2		ʃ a m ⁵²					
476-2		kʰ j a ⁵²					
481-2		ts a ³					
494-2		k ḭ					
496-2		s a ŋ ³					
516-2		j a ³					
1-3			m au ³				
4-3			l u ⁴				
18-3			m j e ŋ ⁵²				
