COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	m a b e			
222-1	a b o b o n e			
208-1	a b u ɾ b u d e			
962-1	a g o ɾ e e			
203-1	a g u d e l e			
138-1	m s i l e			
504-1	ɗ o s e l e			
662-1	b u d e e			
478-1	m g o l e			
409-1	a l e			
410-1	k u n d e			
256-1	b ʔ o l e			
622-1	n d e			
546-1	n d e			
547-1	s o l a e			
847-1	n a n d e g e			
95-1	b a ɗ e			
105-1	b a ŋ e n e			
510-1	b o ʃ e			
951-1	m b o m a ɾ e			
1116-1	m b o m e			
149-1	b ʔ u e ʔ e			
376-1	b ʔ a l e			
815-1	k o ɾ e l e			
453-1	ɗ n e			
67-1	ɗ a ʃ e			
47-1	ɗ o k e ʔ o l e			
869-1	ɗ o l e			
57-1	k g e			
303-1	k ʔ a e ʔ i e			
443-1	k o l e			
884-1	k u n d e			
166-1	k u n d e			
918-1	a b a ɾ e			
831-1	m o ɲ ʃ e			
616-1	b a e			
84-1	h o s e l e			
346-1	m o h o l e			
601-1	m i g e			
177-1	k ʔ a l a e			
341-1	k ʔ o l e			
1066-1	m a n tʃ ʔ e n e			
318-1	m ʔ o ʃ e			
241-1	m a ɲ e ʃ o			
556-1	m a n d u n e			
191-1	b ʔ a m b ʔ o l			
458-1	a ŋ ʔ i ʃ ʔ e			
1-1	m a n d o ɾ e			
751-1	m o			
864-1	a ŋ o n e e			
154-1	a ŋ m a n ʃ e			
278-1	a m i l e ʔ e			
766-1	s o l e			
251-1	a g u ɾ e			
582-1	o ʔ o n e			
6-1	a l e			
1106-1	n g o			
473-1	n i n e			
1111-1	m a l e			
957-1	m a l e			
41-1	b i e			
24-1	m a			
25-1	m r e			
879-1	a b a ɾ a b e e			
837-1	m i l e			
233-1	b ʔ eː b e o			
938-1	b ʔ u l e ʔ a			
369-1	a b e			
946-1	b ɪ ŋ g o			
889-1	b ʔ eː l e			
820-1	i d o l e e			
438-1	n d o n e			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d a		
962-2		a g o r a		
203-2		a g u d i ʔ a		
138-2		a ʃ i l e		
504-2		ɗ o ʃ e n a		
662-2		b a d e n a		
478-2		tʃ g o ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		b aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a a		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ n e n i		
510-2		b o ʃ a		
951-2		m b ɛ m a r e		
1116-2		m b u m a		
149-2		b ʔ u s ʔ i		
376-2		b ɛ l i		
815-2		g o r a f a		
453-2		ɗ a ŋ a		
67-2		ɗ a ʃ i		
47-2		d o k o l o n a		
869-2		ɗ oː l a		
57-2		k aː g a		
303-2		g ʔ a s ʔ i a		
443-2		g ɛ r a		
884-2		g a n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h a n ʃ i		
616-2		b i e		
84-2		h o ʃ a l a		
346-2		h o o l u		
601-2		s i g i		
177-2		k ʔ a f a a		
341-2		k o l a		
1066-2		f ɛ n s ʔ i n i		
318-2		e f e ʃ a		
241-2		m a n e ʃ o		
556-2		h a n d u ŋ a		
191-2		b i m b i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n d i r a		
751-2		r o		
864-2		a ŋ o n e n a		
154-2		a ɛ m a n s i		
278-2		a m i l e ʔ i		
766-2		ʃ o r a		
251-2		a g u r a		
582-2		o ʔ u n e		
6-2		a l i		
1106-2		n g o		
473-2		m i n e		
1111-2		h a l a		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		m a r e		
879-2		a b a r e b e d e		
566-2		a m f a ŋ f o r a s ʔ		
742-2		a g o a		
1044-2		ʃ i m b i l a		
13-2		a l h a m i s		
720-2		a s ɛ l a a		
837-2		m a ʃ i		
233-2		b i b i o		
938-2		b u l e a n a		
369-2		a r e		
946-2		b a ŋ g o		
889-2		b o l a		
820-2		a ʃ o r e n		
405-2		b a d a		
134-2		ɓ ʔ a ɗ i ʔ i		
1078-2		m i h i		
429-2		b o n k o ʃ		
187-2		b i s k k ʔ e		
438-2		n d i n e		
468-3			m a b a	
222-3			a b ɔ b ɔ n a	
208-3			a b u r b u d u	
962-3			a g ɔ r ʔ a	
203-3			a g u d i ʔ a	
138-3			a ʃ i l a	
504-3			d ɔ ʃ ɛ f a	
662-3			b u d ʔ a	
478-3			a g ɔ d a	
409-3			a r a	
410-3			g u n d i	
256-3			b ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			m ɛ n d a k i	
95-3			b ɛ d i	
105-3			b i a n i	
510-3			b ɔ ʃ a	
951-3			m b a m a r a	
1116-3			m b a m a	
149-3			b ʔ u s ʔ i	
376-3			b ʔ a l i	
815-3			k ɔ r a f a	
453-3			d u n a	
67-3			d a ʃ a	
47-3			d ɔ k ʔ ʔ ɔ l a	
869-3			d u l a	
57-3			k a g u	
303-3			k ʔ a s ʔ i a	
443-3			g ɛ r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a r a	
831-3			h a r ʃ a	
616-3			b i a	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h ɔ l u	
601-3			s i g i	
177-3			k ʔ a f a a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s ʔ i ŋ a	
318-3			a f ɛ s i	
241-3			m a ʃ a ʃ ɔ	
556-3			h a n d u ŋ u	
191-3			b ʔ a m b ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n d i r a	
751-3			r ɔ	
864-3			a ŋ ɔ n ʔ i	
154-3			a a m a n s i	
278-3			a m i l u ʔ a	
766-3			ʃ ɔ r a	
251-3			a g u r u	
582-3			ɔ ʔ ɔ ŋ a	
6-3			a l i	
1106-3			n g ɔ	
473-3			m i n a	
1111-3			h a l u	
957-3			m a r a	
24-3			s i	
25-3			m a r a	
879-3			a b a r a b a d a	
566-3			a n f a n f ɔ r ɔ s ʔ	
742-3			a g ɔ a	
1044-3			ʃ i m b i l a	
13-3			a l h a m i s	
720-3			a s ɛ l a a	
233-3			b ʔ i b i u a	
938-3			b ʔ u l a ʔ a	
369-3			a r a	
889-3			b ʔ a l a	
405-3			b ɛ d a	
134-3			a ʔ ɛ d i ʔ i	
1078-3			m a h i	
429-3			b ɔ n ʔ ɔ ʃ	
187-3			b u s ʔ i k a	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ o ʃ l a
662-4				ɓ u d l a
478-4				o g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ ʔ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b i m a n i
510-4				b o ʃ a
951-4				m b ɛ m a r e
1116-4				m b ɛ m a
149-4				ɓ ʔ u s ʔ i
376-4				ɓ ʔ a l i
815-4				g o r l a
453-4				ɗ u n e
67-4				ɗ a ʃ e
47-4				ɗ o k o ʔ o θ a
869-4				ɗ o l a
57-4				g o g u
303-4				g ʔ a s ʔ i a
443-4				g o r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h o ʃ e
616-4				ɓ i e
84-4				h o ʃ ɛ l e
346-4				h o h u l u
601-4				s i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f ɛ n s ʔ i l a
318-4				f e ʃ i
241-4				m a n ʃ o
556-4				h a n d u n u
191-4				ɓ ʔ ɛ m b ʔ e l
458-4				a s ʔ i s ʔ i
1-4				h a n d i r e
751-4				r o
864-4				a n o n l i
154-4				a m a n z i
278-4				a m i l u ʔ a
766-4				ʃ o r a
251-4				a g u r u
582-4				o ʔ o n e
6-4				a l i
1106-4				n g o
473-4				m i n e
1111-4				h a l u
957-4				m a r e
41-4				b e e
566-4				a n f a n f o r o s ʔ
742-4				a g o
1044-4				ʃ i m b i l a
13-4				a l h a m i s
720-4				a s ɛ l a a
837-4				m o ʃ i
946-4				m o n g o
820-4				o g o r e e
405-4				b ɛ d a
134-4				ɓ ʔ a ɗ i ʔ i
1078-4				m e h i
429-4				b o n ʔ o ʃ
187-4				m u s ʔ i ʔ e
438-4				n d ɛ n e
