COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o r̪ ɜ d o ŋ						
514-1	m i k						
464-1	k n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b k ɜ ŋ						
237-1	l̪ t̪ k ɑ						
205-1	p k ɜ k m ɜ						
1089-1	l ɜ k k i l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɑ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	r̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	k ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	k ɜ x m ɜ						
1106-1	b u						
693-1	k ɜ k o r̪ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l s̪ o t̪						
1273-1	ɣ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɜ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	p s̪ i l						
820-1	l̪ o k						
1636-1	ɣ l̪ u ŋ						
1331-1	ʊ ɾ d̪ k ɑ						
1097-1	l ɜ m						
1223-1	k ɜ ŋ ɜ						
592-1	m e						
1290-1	t̪ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ q s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m i n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	tθʰ i l						
610-1	k ɑ						
350-1	k ɜ ŋ o						
871-1	o ŋ m ɑ						
734-1	ɾ ʈ ɑ						
431-1	kʰ i						
1298-1	o r̪ b u l						
929-1	ts̪ ɜ ŋ k i						
1315-1	t̪ ɜ x s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɜ						
1048-1	k ɜ k ɑ						
1692-1	pʰ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o o					
522-2		õ ɣ d o ŋ					
514-2		m i k					
464-2		s̪ ŋ ɑ					
1020-2		s̪ ŋ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ ɛ					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ m ɑ					
205-2		p r̪ ɜ q p ɜ					
1089-2		l ɜ q p i l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ ŋ i ŋ					
269-2		kʰ r̪ ɜ q					
1512-2		l̪ tɕ i n̪					
555-2		l̪ ɜ ɜ k p ɜ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		pʰ ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ ɜ o õ ɑ					
221-2		s̪ t̪ ɜ r̪ ɛ					
1199-2		t̪ʰ ɑ q b ɑ					
1424-2		s̪ k u t̪ p ɑ					
904-2		l z̪ o t̪					
1273-2		s̪ ŋ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɜ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɜ m tθ ɜ					
383-2		ɜ s̪ i l					
820-2		l̪ o k					
1636-2		l̪ u ŋ					
1331-2		ɾ d̪ õ ɑ					
1097-2		l ɜ m					
1223-2		pʰ ɜ ŋ ɑ					
592-2		m ɛ					
1290-2		t̪ u t̪ p ɑ					
669-2		s̪ ɛ ɾ					
1472-2		s̪ t̪ ɑ ɣ p i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m i n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b r̪ ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ ȵ ɛ r̪ m ɜ					
1480-2		j u ŋ					
653-2		z̪ g o k p ɑ					
1081-2		ts̪ o ŋ					
1448-2		p ɑ ɣ ɜ n̪					
1029-2		m ɑ ɾ					
863-2		ɕ ɑ					
539-2		tθʰ i l					
610-2		ŋ ɑ					
350-2		pʰ ɜ ŋ o					
871-2		õ ŋ ɑ					
734-2		ɾ ɜ ɑ					
431-2		kʰ i					
1298-2		õ ɣ b ʊ l					
929-2		ts̪ ɜ ŋ k i					
1315-2		t̪ ɑ x s̪ k ɜ n̪					
964-2		m i n̪ t̪ ɜ x					
836-2		m i					
1644-2		b u s̪ t̪ i ŋ					
547-2		ɜ t̪ ɑ					
1048-2		k ɜ k ɑ					
1692-2		ŋ ɛ n̪ o					
1306-2		b u					
405-2		b o ŋ o					
709-3			g o o				
522-3			b ɣ d o ŋ				
514-3			m ɪ k				
464-3			b n̪ ɑ				
1020-3			x n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b r̪ ɜ ŋ				
237-3			l̪ t̪ ɑ				
205-3			p l ɜ q p ɜ				
1089-3			l ɜ q ɪ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ k s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
