COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r i									
18-1	θ a r									
35-1	i θ i s i									
36-1	u θ a r i									
48-1	n a g a s a r i									
60-1	θ u									
63-1	s a r u r i									
64-1	x i									
67-1	h									
68-1	n ɨ									
71-1	ʔ i									
76-1	h u r i									
83-1	u r									
87-1	h a r a i									
95-1	m i m i									
98-1	h a ɴ a									
99-1	k u θ i									
-102-1	s i a									
103-1	m i m i									
110-1	θ a									
116-1	m u i									
120-1	n u θ u r i									
132-1	k ɨ r u r i									
139-1	ʔ u r u r u r u r									
140-1	ʔ u r u r i									
156-1	θ a r u r i									
168-1	ʔ ɨ r u i									
169-1	h u s i									
170-1	m i i									
173-1	ʔ i s i									
180-1	x u m u									
185-1	h a									
186-1	m u r u r i									
187-1	m i r i									
190-1	ʔ a x a s a r i									
193-1	k i r u r i									
194-1	s i r u s a r i									
195-1	k u r u s a r i									
216-1	m a r u s a r i									
221-1	n a									
239-1	ʔ i i									
252-1	m i r i									
253-1	m u r i									
254-1	ʔ i g i r i									
266-1	k a i									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m i r									
276-1	ʔ a r a r u r i									
281-1	m u s u i									
304-1	s ɨ i									
305-1	ʔ i									
308-1	h a ɴ a									
309-1	x u s a									
310-1	θ u									
311-1	n a a									
342-1	u r i									
346-1	k u r a s a r i									
347-1	k ɨ r u r i									
348-1	h i r u s a r i									
351-1	θ u s a r i									
361-1	ʔ u j u s a r i									
379-1	k u θ a r u a									
394-1	h i sː a r i									
395-1	n i g i r i									
400-1	h i r u r u									
412-1	s a g ɨ r u r i									
413-1	ʔ i i r u r ɨ r u r i									
414-1	h u r u r i									
422-1	h u g u r ɨ r u r i									
423-1	k a g a r u r i									
430-1	h a θ u r i									
435-1	h u θ u r i									
446-1	s i r a r u a i									
447-1	ʔ u r u a i									
458-1	θ u s i									
56-1	ʔ i θ u									
