COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n ə			
2054-1	d ɪ n d ə r			
1375-1	l ɪ t			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m oː d ə r			
1351-1	x r ɛɪ n s + v aː d ə r			
1353-1	x r ɛɪ n + m aː d ə r			
412-1	s w ɪ ɣ ə r + aː d ə r ə n l t			
406-1	s w ɪ ɣ ə r + m uː d ə r ə n l t			
1005-1	s t ɛ p + aː d ə r			
1012-1	s t ɛ p + m aː d ə r			
1016-1	w ɪ d w ə r			
1069-1	x ɪ k			
509-1	v ɑ l ə			
693-1	m x ɑ l ə + + d r			
2179-1	n ɛ s t			
1753-1	v x ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r n			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k ɑ n ə			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z aː k ə			
1650-1	n x ɑ s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z eː w ə			
1385-1	z aː d ə			
792-1	r ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɪ n d ə r t			
1970-1	v ɔ l t			
1230-1	d r + ɪ d ə			
2017-1	n x ɔ			
968-1	w ɛ ə l t			
1674-1	l ɑ n t			
1671-1	h aː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɛɪ j			
-1816-1	oː t eː ə			
-335-1	l ɑ k ə n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r eː ɣ ə n + b oː ɣ ə			
1368-1	s x ɑ d ə			
1365-1	d x ɑu t			
754-1	r eː ɣ ə			
768-1	w eː d ə r			
1211-1	v l r			
106-1	m ɑ n			
-98-1	b eː v			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɛ v t			
409-1	s w ɪ ɣ ə r + z ɑ n ə l			
402-1	s w ɪ ɣ ə r + d ɔ t ə r n t			
1014-1	s t ɛ p + d ɔ t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r ə			
2194-1	oː k s			
2199-1	k ɑ l t			
2197-1	s x ɑ p			
1523-1	z aː j			
1521-1	b oː k			
512-1	m ɛ r			
2141-1	h uː n			
2147-1	x ɑ n s			
814-1	k r aː j			
810-1	d oː v			
1755-1	v h ɔ n t			
1758-1	m ɑ s			
1760-1	r ɔ t			
1620-1	v ɪ n			
1282-1	w aː l ə ə			
1136-1	v ɔ k s			
1309-1	l ɑ s			
1307-1	n ɪ t			
1305-1	v l ə			
711-1	w ɛ s p			
1442-1	v l iː ɣ			
62-1	m ʉ k			
-73-1	m ɔ s k ɪ t			
1810-1	h oː t			
1805-1	v l ɑ s			
1813-1	h aː r			
1811-1	b l ɑ t			
690-1	r ɪ p			
2177-1	h ɛ p t			
246-1	v + ɣ ə n + b r ə			
249-1	aː ɣ ə n + l t			
1506-1	n aː s + r ə n ə + l k			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	n ɑ k ə			
2174-1	s x ɛ l d ə r			
575-1	aː k t ə l + h ɑu l			
603-1	eː l ə n + b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ k ə r			
901-1	k l ɔ ə			
608-1	v uː t			
596-1	t eː			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l eː v ə r			
1606-1	h ɛ p t			
472-1	s n iː z ə			
1535-1	z w ɛ t ə			
1546-1	s p ɪ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k ə			
1961-1	d r ʉ m ə			
323-1	v l eː v ə			
1885-1	x r ɑ s			
2156-1	v ə r + k ɛ l d + ɪ			
1903-1	w ɪ n d			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m ə			
274-1	d ɑ t			
278-1	b l ɪ n t			
258-1	b d r ɑ ŋ k ə			
256-1	n ɑ k t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k aː p			
1976-1	t ɑ ŋ t			
1243-1	m aː l t d ə			
1265-1	p iː l ə			
1261-1	z eː v ə			
655-1	b r ɔ t			
650-1	d ɛɪ k			
1532-1	k n eː d ə			
-36-1	z uː p			
34-1	b oː n			
-1647-1	v ɛɪ k			
1469-2		s ɪ n d		
2047-2		s ɔ n		
2054-2		d ɔ n d r		
1375-2		l ɪ d		
760-2		w ɪ n d		
756-2		s n		
726-2		m æ d ə r		
1351-2		ɡ r f d ə r		
1353-2		ɡ r m d ə r		
412-2		s n f d r		
406-2		s n m d r		
1005-2		s d f d ə r		
1012-2		s d f m d ə r		
1016-2		w d n		
1069-2		ɪ k		
509-2		f ɔ l		
693-2		m l d r		
2179-2		n ɛ s d		
1753-2		f f ɪ		
1131-2		w ɔ l		
1198-2		b ɛ r		
2032-2		h ɔː r		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k ɪ n		
945-2		h ɔː r		
1534-2		l ɪ k		
384-2		s ɔ		
1650-2		n r ɔ		
1663-2		s əʊ l		
2279-2		l ɪ n		
471-2		s eɪ		
1385-2		s eɪ d		
792-2		r ɪ k		
1111-2		m ɛ s d		
197-2		s iː d		
2020-2		l æ		
867-2		h n d r		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n ɪ		
968-2		w r l d		
1674-2		l æ n d		
1671-2		h æ l		
829-2		k l ɪ		
1025-2		w æ t ə r		
1027-2		s		
1832-2		r ɪ		
-1816-2		s		
-335-2		l eɪ n		
1043-2		s d r m		
423-2		s d n		
2049-2		m ɪ n		
2062-2		s d r m		
2065-2		r b		
1368-2		s d		
1365-2		d		
754-2		r aɪ		
768-2		w ɛ d ə r		
