COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a a a									
1285-1	n ŋ a									
1303-1	g ɔ m a a									
2197-1	s a l a a									
2828-1	n i a a									
3572-1	s ɔ a i a									
1095-1	l i m a									
1755-1	a ɛ									
1789-1	k a l a a g a a									
3207-1	β u l a a									
3519-1	t ʊ m a									
3686-1	i i m a a									
4249-1	k u m i a									
4451-1	β i s i a									
448-1	j u n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ m m ɛ a									
1216-1	g a β a									
1228-1	a ŋ a a									
1418-1	s i m a									
1475-1	g ŋ a a									
2026-1	t ŋ ɛ a									
2775-1	β ʊ m m a									
3397-1	β ɔ l a									
3826-1	z ɔ k a									
4003-1	i f β a									
4040-1	g ɛ n i									
4373-1	l i m i a									
4384-1	i n ɔ a									
84-1	n l g ʊ									
116-1	á i k a									
181-1	g ɔ ɔ g ɔ a									
419-1	l ɔ g a									
587-1	ɔ ɔ g ɔ ɔ									
660-1	l ɛ l a a									
848-1	k a l a									
1083-1	l i l a									
1122-1	f i a a a									
1159-1	ɲ a									
1350-1	l j a									
1374-1	a a a n a									
1396-1	s ɔ f u a									
1430-1	i s n a									
1666-1	t a a ɔ a									
1767-1	l ɔ l ɔ a									
1906-1	i ŋ i i l a									
2177-1	ŋ g a a									
2286-1	l a a									
2317-1	β u β a a									
2419-1	s ɛ k a									
2750-1	ɛ s i i									
3018-1	z i l a									
3275-1	k a a a a									
3441-1	s a ŋ g a a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ m ɛ l									
3885-1	t u m ɔ a									
3981-1	i m a a									
4192-1	β i m m a									
4260-1	s ŋ a a									
4350-1	l ɛ ɛ l ɔ									
43-1	n i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i a									
374-1	a l l a									
459-1	l ʊ m a									
508-1	f ɔ f u a									
528-1	β i l i a									
575-1	t a a									
871-1	t a m a									
1137-1	s i k ʊ a									
1339-1	t k i i									
1585-1	a l a a									
1712-1	f u l ɔ									
1872-1	p a									
2088-1	β i s a									
2166-1	u u m a a									
2334-1	b i g ɔ									
2393-1	m a n a									
2537-1	ɔ ɔ á ɔ									
2665-1	i ŋ g i i									
2738-1	β ɛ ɛ l ɛ									
2872-1	k ɔ s i a									
2893-1	s i k ʊ a									
2997-1	g a n s a									
3075-1	g ʊ l ʊ β ɛ									
3675-1	l k ɛ l l ɛ									
4028-1	m s ɛ									
4137-1	m i l a									
4238-1	s n ɔ s i									
4316-1	t a t ʊ									
4429-1	a s s a									
4440-1	β i l i									
4485-1	s ʊ a									
4574-1	β z a l a a									
4688-1	a ɛ i									
143-1	β ʊ									
240-1	ɔ ɔ a a									
388-1	p a a ʊ m									
401-1	t a									
599-1	t a a m b i									
649-1	l ɛ ɛ t a									
755-1	g u l a									
836-1	s u m m i									
969-1	n s a									
994-1	t ɛ l ɛ k a									
1006-1	u u ŋ k ʊ									
1032-1	k ɔ l ɔ l a									
1043-1	β a l a									
1110-1	t ɛ m a									
1263-1	t a p a									
1273-1	l ɔ ɔ t a									
1329-1	i k a l a									
1362-1	g i									
1606-1	ɔ t n a									
1617-1	n i k ɔ a									
1629-1	k k i									
1744-1	i β a a									
1895-1	i a									
1917-1	f u m a									
1969-1	m a m a									
1989-1	s a g a									
2037-1	k g á t a									
2128-1	ʊ ɛ m i ɛ									
2186-1	g a a a									
2483-1	g l l a									
2592-1	l ɔ l a									
2615-1	n a a									
2700-1	a a g g a									
2784-1	k u l u a									
2797-1	ɔ ɔ m ʊ									
2884-1	p j j a									
2904-1	k ɛ ɛ n a a									
2972-1	s ɛ a									
3030-1	l i p a									
3148-1	i t a									
3160-1	l ʊ á a a									
3261-1	t ɛ t ɛ a									
3364-1	s ɔ t a									
2689-2		n a m a								
893-2		a n a								
1303-2		ŋ o m a								
2197-2		n a l a								
2828-2		s i a a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a ŋ a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		i i m a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n o n i								
630-2		v e e l e								
814-2		ŋ o m m e								
1216-2		g a v a								
1228-2		a i a								
1418-2		s i m a								
1475-2		g i a								
2026-2		t i e								
3826-2		s o k a								
4003-2		i v v								
4373-2		l i m i								
4384-2		i n o								
84-2		u u u u								
116-2		w i k a								
419-2		l o g a								
587-2		o o g o o								
660-2		l e l a								
848-2		k á l								
1122-2		v i n a								
1159-2		ɲ a								
1350-2		l j a								
1374-2		n a a n e								
1906-2		i ŋ g i l								
2419-2		s e k a								
2750-2		e s i								
3441-2		s e e ŋ a								
3464-2		v o n a								
3639-2		t e t e m a								
3981-2		i m a								
4192-2		v i m m b								
4350-2		l e e l o								
278-2		v a								
3971-2		k a m a								
55-2		n a m a								
43-2		d i m u								
93-2		k o n o								
459-2		l u m a								
1137-2		s i k u								
1585-2		a l l								
1872-2		p								
2166-2		u u m m b								
2872-2		k o s i								
2997-2		k a n n a								
3075-2		k u l u v e								
3675-2		l i e l l e								
4137-2		m i l a								
4238-2		s n s n i								
4316-2		t á t u								
4574-2		v a a l a								
