COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t o ʔ									
56-1	o m o									
96-1	a t a tʃ									
99-1	a r i t o n									
114-1	t o k i tʃ i ʔ									
115-1	o w t tʃ tʃ ʔ									
133-1	t i p a t tʃ tʃ ʔ									
144-1	w t a w tʃ i ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	w w m									
65-1	i w									
74-1	p a n a									
106-1	t o n i tʃ i									
128-1	p o k tʃ tʃ i									
147-1	t i m i tʃ i ʔ									
231-1	p a n a w o ʔ									
232-1	p z p m ʔ									
239-1	n a m a k a n									
266-1	i t i m									
51-1	o w i ʔ									
97-1	m a p o m									
109-1	o p w t i tʃ i									
121-1	k a p i j p k tʃ tʃ ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	o p i n									
167-1	p a ʔ									
207-1	m i ʔ									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n a p a t									
139-1	m o n o tʃ i ʔ									
142-1	p p t a m a tʃ tʃ									
145-1	k a r a t i tʃ i ʔ									
148-1	t r a w w tʃ tʃ tʃ									
162-1	i j i n									
166-1	i m i									
179-1	t a									
201-1	p i ʔ									
21-1	k a w tʃ n									
24-1	p o t o m a o									
52-2		t t e								
56-2		o m e								
96-2		a e a s i								
99-2		a r e t e i								
114-2		t o k i s i								
115-2		o r e s s n								
133-2		t i h r e s s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p e k e k								
241-2		a w i k n								
249-2		i s e								
74-2		h a k a								
93-2		t o h r r i s i								
95-2		w w k i s l								
106-2		t e k r s l								
119-2		j j t t s s i								
128-2		h o k i s i								
147-2		t i k o s l								
231-2		h a h a w n								
232-2		w i a u j n								
239-2		k a m a k a								
266-2		i t i k n								
51-2		e w e								
55-2		r h a m								
97-2		k a h o k n								
121-2		k a h i j k k s s								
163-2		e h e e								
167-2		p a								
259-2		t o w g								
66-2		k a r a k a w								
112-2		t r r e e t s i								
116-2		t o t a k a s i								
125-2		k a t i m a s i								
135-2		t i k i e								
139-2		k e k e e i i								
142-2		o a t r b m s s i								
148-2		t r w a w i s e s								
162-2		e j i								
166-2		i m i								
179-2		t a								
52-3			tʃ t s							
56-3			u m s							
96-3			a t t s							
99-3			a p v d o tʃ							
114-3			t u k u s i							
115-3			u i t a s j							
133-3			t v p p p a s tʃ m							
144-3			w t a w t s v							
150-3			k a w							
234-3			k o m j							
236-3			p v k u n							
241-3			a w v n							
249-3			v s s							
1-3			w a tʃ a m							
2-3			w u m m							
65-3			v w tʃ							
93-3			t u p a p v s i							
95-3			w i k i a							
106-3			tʃ u n u s i							
119-3			p p t tʃ s s							
128-3			w o k tʃ s							
147-3			t u m u s i							
231-3			p a n a w u							
232-3			p i p u a a							
239-3			n a m a k a n							
266-3			v t u m j a							
3-3			w a i k e u							
4-3			w a p v m o							
55-3			i h a m j							
109-3			u p w p i s v							
121-3			k a p i j a k s tʃ							
149-3			t u k tʃ							
160-3			k i i i k							
207-3			m v							
112-3			t i e t a t s tʃ m							
125-3			k a tʃ v m a s v							
134-3			n i p a tʃ j							
135-3			t i m u a a tʃ a							
139-3			m u n u a i tʃ							
52-4				t t t						
56-4				u m i						
96-4				a p a tʃ						
99-4				a r i m o n						
114-4				t u k i tʃ i						
115-4				w u i tʃ tʃ						
133-4				t i p p a tʃ tʃ						
144-4				w w a w t tʃ i						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ u						
1-4				w a ʒ̟ a						
2-4				w w m						
65-4				i w						
74-4				p a n a						
93-4				t u p a r i tʃ i						
95-4				w w k i						
106-4				t u n i tʃ i						
119-4				m a t ʒ̟ tʃ tʃ						
128-4				p o k tʃ i						
147-4				t i m i tʃ i						
231-4				p a n a w o						
232-4				p i i a						
239-4				n a m a k a n						
266-4				i t i m						
3-4				w a r k k o						
4-4				w a p i						
51-4				u w i						
97-4				m a p u k						
109-4				u p i t i tʃ i						
121-4				k a p i a a k tʃ tʃ						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t u w a						
66-4				k a r a k w w						
116-4				t u p a k a tʃ i						
134-4				n i p a t						
135-4				ts i m u t a						
139-4				m u n u tʃ n						
142-4				p p t a m a tʃ tʃ						
145-4				k a p a t i tʃ i						
148-4				t a w w w i tʃ tʃ tʃ						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				k a w k						
24-4				w u w u r a n						
52-5					t t e					
56-5					y m e					
96-5					a t a s i					
99-5					a r e t o n					
114-5					t o k i s i					
115-5					y r i s s i					
