COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u t u			
962-1	a g o ɾ l			
203-1	a g u t i			
138-1	ʃ ɪ l i			
504-1	ɗ oː ʃ a a			
662-1	u ɔː t a			
478-1	e o e ɗ			
409-1	a ɾ e			
410-1	g u n t i			
256-1	u a l e			
622-1	n t u			
546-1	n t u			
547-1	ʃ ɛ l a			
847-1	n e n d i g			
95-1	b ɛ ɗ i			
105-1	b ɪ n e			
510-1	b o ʃ a			
951-1	m b i m a ɾ			
1116-1	m b a m			
149-1	u o a ʔ i			
376-1	u a l i			
815-1	k o ɾ a a			
453-1	ɗ a n e			
67-1	ɗ ɗ ʃ e			
47-1	ɗ o k o l a			
869-1	ɗ ɔː l a			
57-1	k b g u			
303-1	g a b ʔ i a			
443-1	g e ɾ e			
884-1	g u n t i			
166-1	g u n t i			
918-1	a b ɛ ɾ e			
831-1	h a ʃ e			
616-1	b e e			
84-1	h o ʃ e l e			
346-1	h o h u l			
601-1	ʃ i g i			
177-1	k ʔ a l a			
341-1	k ʔ o l a			
1066-1	l e n a e o			
318-1	l e ʃ i			
241-1	m a ʃ ʃ			
556-1	h a n t u n u			
191-1	u e m b u l			
458-1	a b ʔ i b ʔ i			
1-1	h a a i ɾ			
751-1	ɾ o			
864-1	a n o n i			
154-1	a m a n ʃ i			
278-1	a m i l u			
766-1	ʃ oː ɾ a			
251-1	a g oː ɾ u			
582-1	u ʔ o n			
6-1	a l i			
1106-1	n g o			
473-1	o n e			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b e			
24-1	lː e			
25-1	l b ɾ e			
879-1	a b a ɾ a b e t			
837-1	m a ʃ i			
233-1	b i a u o			
938-1	u o o l			
369-1	a ɾ e			
946-1	u a n g o			
889-1	u eː l o			
820-1	a ʃ o ɾ e			
438-1	n t e n e			
283-1	m n n b ɾ e			
52-1	o ʃ			
842-1	ɗ o n o ʃ a			
110-1	ʃ t e ɾ			
165-1	m a			
1007-1	o n g o l e			
1088-1	h o ʃ e l e			
1087-1	o n g o l e			
702-1	e l a			
536-1	k eː d e			
694-1	n t i			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r l a		
203-2		a g u d i		
138-2		ʃ i l a		
504-2		ɗ oː ʃ ɛ f		
662-2		u oː d a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		u aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b r m a r		
1116-2		m b a m		
149-2		u u s ʔ i		
376-2		u a l a		
815-2		g o r a f		
453-2		ɗ u ɲ e		
67-2		ɗ a ʃ e		
47-2		d o k o l a n		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g a s i a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː n e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n d e ŋ i		
318-2		f a ʃ a		
241-2		m a n i o		
556-2		h a n d u ŋ		
191-2		b i m s u l		
458-2		a s ʔ i s ʔ i		
1-2		h a n ʃ i r		
751-2		r o		
864-2		a ŋ o n a		
154-2		a m m n s i		
278-2		m m i l o		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u ʔ u ɲ		
6-2		a l i		
1106-2		n g o		
473-2		i ŋ e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		l a r e		
879-2		a b a r a b ɛ d i		
566-2		aː a a ŋ e r r s o		
742-2		a g u		
1044-2		ʃ i m b i l u		
13-2		h a m a m		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		u i a u i		
938-2		u uː l a n		
369-2		a r e		
946-2		u a ŋ g o		
889-2		u ʔ ʔ o		
820-2		aː ʃ o r e n		
405-2		b a d e		
134-2		u ʔ a a ʔ e		
1078-2		m i h i		
429-2		b o ŋ k o		
187-2		b u s k ʔ e		
438-2		n d ɛ n e		
385-2		m e k ʔ o ʃ		
283-2		m n n o ɛ a r e		
390-2		aː b a		
783-2		m a r θ a		
842-2		ɗ o ŋ o ʃ e		
110-2		k i a ɛ r		
650-2		k ʔ o ʃ		
91-2		g e l a s i		
668-2		w ɛ l a		
777-2		g a l ɛ aː a		
728-2		aː i i		
165-2		m a		
1007-2		o ŋ g o l e		
1087-2		o ŋ g o l e		
894-2		iː s ʔ u		
536-2		k ʔ eː d e		
694-2		n d i		
468-3			θ a b a	
222-3			a b ɔ b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r a	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l i	
504-3			a ɔ ʃ a f	
662-3			ʊ ʊː d a	
478-3			g ɔ ɛ a	
409-3			a r ɛ	
410-3			g u n d i	
256-3			ʊ a l ɛ	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			ɲ a d i g i	
95-3			b i a i	
105-3			b i n i	
510-3			b ɔ ʃ a	
951-3			m b i m a r ɛ	
1116-3			m b m a	
149-3			ʊ u s ʔ i	
376-3			ʊ a l i	
815-3			k ɔ r a f	
453-3			a u ɲ ɛ	
67-3			a a ʃ ɛ	
47-3			d ʊ k ʊ θ a	
869-3			a ʊː θ a	
57-3			k a g u	
303-3			g a a ʔ i a	
443-3			g ɛ r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a r ɛ	
831-3			h a m e	
616-3			b i ɛ	
84-3			h ɔ ʃ a l e	
346-3			h ɔ h u l	
601-3			s i g i	
177-3			k ʔ a f a ŋ	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n a i ɲ i	
318-3			f a ʃ i	
241-3			m a m i a	
556-3			h a n d u ŋ	
191-3			b i m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a g i r	
751-3			r ɔ	
864-3			a n ɔ n i	
154-3			a m m n s i	
278-3			m m i l u ʔ	
766-3			ʃ ɔ r a	
251-3			a g u r u	
582-3			ʊ ʔ ʊ ɲ	
6-3			a l i	
1106-3			n g ɔ	
473-3			ŋ ŋ e	
1111-3			h a l u	
957-3			m a r ɛ	
24-3			s i	
25-3			l a r e	
879-3			a b a r a b ɛ d	
566-3			a a f a n ə o a ʔ a	
742-3			a g o	
1044-3			ʃ i m b i l	
13-3			a l h a m i s	
720-3			w s ɛ l a	
233-3			b i b i	
938-3			a u l a	
369-3			a r e	
889-3			a i l ɔ	
405-3			b i d ɛ	
134-3			p i a i ʔ i	
1078-3			m i h i	
429-3			b o ŋ ʔ ʃ	
187-3			b u s ʔ ʔ k	
385-3			m k ʔ o ʃ	
283-3			a n s a d i	
390-3			a b a	
783-3			m a r a	
52-3			d ɔ ʃ	
842-3			a ɔ ŋ ɔ s a	
650-3			k ʔ o ʃ	
91-3			g a l a s i	
668-3			w ɛ l a	
777-3			g i n d w l i a	
728-3			s i ʔ i	
165-3			m a	
1088-3			h ɔ ʃ a l ɛ	
702-3			i l a	
894-3			i s ʔ u	
536-3			k ʔ eː e	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ uː d a
478-4				e o a a
409-4				a r e
410-4				g u n d i
256-4				ɓ a l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ a a
847-4				n ɛ m d i g i
95-4				b e ɗ i
105-4				b e n i
510-4				b o ʃ a
951-4				m b r m a r
1116-4				m b ə m
149-4				ɓ u a ʔ i
376-4				ɓ l i
815-4				g o r a
453-4				ɗ u ŋ e
67-4				ɗ a ʃ e
47-4				d o k o θ a
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h aː ʃ e
616-4				b a e
84-4				h o ʃ a l e
346-4				h o h u l
601-4				s i g i
177-4				k ʔ a a a
341-4				k ʔ o l a
1066-4				a e n z i ŋ
318-4				a a ʃ a
241-4				m aː ʃ o
556-4				h a n d u ŋ
191-4				b e m b ɛ l
458-4				a s ʔ i s ʔ i
1-4				h a n g i r
751-4				r o
864-4				a ŋ o n i
154-4				a m m n z i
278-4				m m i l o
766-4				ʃ o r a
251-4				a g u r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				i n e
1111-4				h a θ u
957-4				m a r e
41-4				b e e
566-4				a f a f a r r uː a
742-4				a g o
1044-4				ʃ i m b i l
13-4				h a m a m i
720-4				aː s e l a
837-4				m aː z i
946-4				l a ŋ g o
820-4				aː z o r i
405-4				b ə d e
134-4				ɓ a i ʔ i
1078-4				m e h i
429-4				b o ŋ o ʃ
187-4				b u s k i k
438-4				n d ɛ n e
385-4				m ə k ʔ o ʃ
390-4				a a
783-4				m aː r a
52-4				d o ʃ i
110-4				k ʔ i d e r i
650-4				k ʔ o ʃ
91-4				g a l a s i
668-4				w e θ a
777-4				g a a e aː l
728-4				z i i
1007-4				ʃ ŋ g o l e
1088-4				h o ʃ a l e
1087-4				ʃ ŋ g o l e
702-4				e l a
894-4				e s ʔ u
694-4				n d i
