COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	l ɔ ⁵⁵								
438-1	ȵ ʐ w ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l i ³¹								
394-1	ȵ i ³¹								
221-1	i p p ⁵⁵								
202-1	k au ³¹								
935-1	m̥ ³¹								
93-1	ts ɔ ³¹								
7-1	p a n ³¹								
664-1	ȵ o ⁵⁵ ⁵⁵								
246-1	x ɔ ʔ ⁵⁵								
547-1	s ə ʔ ⁵⁵								
555-1	i a m ⁵⁵								
464-1	m au ³¹								
119-1	ts ə ŋ ⁵⁵								
835-1	n̥ a p ⁵⁵								
79-1	tʰ o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a ʔ ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	k o ⁵⁵								
797-1	k ʐ u ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ au t ⁵⁵								
452-1	ȵ i u ʔ ⁵⁵								
580-1	s u ʔ ⁵⁵								
833-1	n̥ a ⁵⁵								
390-1	ȵ ə ŋ ³¹								
696-1	ŋ ⁵⁵ ⁵⁵								
86-1	tʰ ə ŋ ⁵⁵								
384-1	ȵ a m ³⁵								
61-1	t a m ⁵⁵								
536-1	s ɔ ʔ ⁵⁵								
731-1	ʂ i ³¹								
779-1	a ⁵⁵								
589-1	t ə ŋ ⁵⁵								
658-1	l a m ⁵⁵								
456-1	ȵ ʐ ə ŋ ³¹								
183-1	k ʐ w ³¹								
785-1	k ɔ ³¹								
714-1	l ⁵⁵								
331-1	l ɔ ³¹								
930-1	ŋ p p ⁵⁵								
161-1	k ə ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w ʔ ⁵⁵								
194-1	k ɔ ʔ ⁵⁵								
727-1	ʂ a m ⁵⁵								
260-1	k ʐ a p ⁵⁵								
144-1	k a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	l ɔ ʔ ⁵⁵								
506-1	pʰ ə k ⁵⁵								
29-1	p ə k ⁵⁵								
316-1	l ɔ ʔ ⁵⁵								
389-1	ȵ ʐ ə ŋ ⁵⁵								
118-1	ȵ ɔ ³⁵								
312-1	k ɔ ³¹								
490-1	n i ³⁵ ³⁵								
436-1	ȵ ʐ ɔ ³¹								
927-1	ŋ a m ⁵⁵								
383-1	ȵ ɔ ʔ ⁵⁵								
211-1	ʐ a m ⁵⁵								
873-1	s ə ŋ ⁵⁵								
877-1	s a ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	t u ³⁵ ³⁵								
660-1	m̥ ɔ ʔ ⁵⁵								
642-1	l ə ŋ ³⁵								
257-1	k ʐ a m ⁵⁵								
167-1	k ʐ ɔ ³¹								
880-1	tʰ p p ⁵⁵								
484-1	n ə ŋ ⁵⁵								
574-1	s au m ³¹								
718-1	ʂ a ŋ ³⁵								
811-1	x au ³¹								
458-1	l u ŋ ³¹								
884-1	tʰ i ³⁵								
205-1	k u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	ʂ a ⁵⁵								
920-1	o ŋ ³¹								
36-1	p ʐ a ⁵⁵								
12-1	p i ⁵⁵								
350-1	l ə ŋ ³⁵								
4-1	p a m ⁵⁵								
342-1	l u ʔ ⁵⁵								
280-1	k ʐ ⁵⁵								
612-1	t ə ŋ ³¹								
459-1	ȵ ʐ ə ŋ ⁵⁵								
569-1	s ui ³¹								
283-1	k ʐ au ³⁵								
148-1	k ɔ ŋ ³¹								
652-1	l ui ⁵⁵								
220-1	ʐ ə ŋ ³¹								
562-1	s ə ŋ ³¹								
31-1	p ʐ ɔ ʔ ⁵⁵								
386-1	ȵ a ʔ ⁵⁵								
804-1	k ʐ u ŋ ³⁵								
369-1	l ə ʔ ⁵⁵								
125-1	t i ³¹								
314-1	k ʐ w ⁵⁵								
823-1	l ɔ p ⁵⁵								
471-1	ɔ ɔ n ³¹								
40-1	p ʐ ə ŋ ³⁵								
393-1	ȵ ə ŋ ³⁵								
272-1	ʔ ʐ ə ŋ ³⁵								
463-1	ȵ au ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	ʐ a m								
123-1	t i ⁵⁵								
512-1	ȵ ʐ ə k ⁵⁵								
518-1	pʰ ʐ o ⁵⁵								
878-1	tʰ ɔ ³¹								
849-1	l w t ⁵⁵								
524-1	pʰ u ʔ ⁵⁵								
90-1	tʰ ɔ ʔ ⁵⁵								
541-1	s ə ŋ ³¹								
933-1	kʰ u ɔ								
467-1	k ɔ ³¹								
49-1	p i ⁵⁵								
822-1	l ɔ ʔ ⁵⁵								
52-1	p ɔ ⁵⁵								
377-1	l ə ŋ ³¹								
127-1	ʈʂ a p ⁵⁵								
67-1	l t ⁵⁵								
864-1	p ʐ a ³¹								
126-1	ʈʂ ɔ ʔ ⁵⁵								
656-1	ɔ a m								
635-1	l ɔ ʔ ⁵⁵								
473-1	n̥ a m ⁵⁵								
98-1	ʂ ɔ ³¹								
445-1	ȵ i au ⁵⁵								
379-1	l ui ³⁵								
323-1	k ʐ au p ⁵⁵								
485-1	k ə ŋ ³¹								
357-1	l i ⁵⁵								
432-1	ȵ i ʔ ⁵⁵								
80-1	tʰ au ³¹								
10-1	p i k ⁵⁵								
335-1	l ɔ ʔ ⁵⁵								
649-1	ɔ ɔ ³¹								
