COGID	Albanian	English	French	German	Latin
560-1	ʃ ə				
438-1	p ə r				
1222-1	u				
353-1	p i ʃ				
201-1	p ə				
20-1	k ə				
503-1	p e				
957-1	n				
728-1	l k g i				
244-1	n u m				
289-1	n				
911-1	p a r				
724-1	t ə r				
145-1	d				
992-1	p				
1181-1	k ə n				
741-1	p e				
560-2		w ɑ t			
438-2		f r			
1222-2		w t			
353-2		f ɑ s			
201-2		s ɑ n			
20-2		h ɛ			
503-2		f l ə			
957-2		n ə			
728-2		l au ŋ			
244-2		n ɪ m			
289-2		n u t			
911-2		r ə r t			
724-2		t r			
145-2		t ai			
992-2		w ɑ			
706-2		s			
106-2		f ɛ ð ə r			
741-2		p			
421-2		b l ə r			
227-2		f ɑ t			
560-3			k ɛ		
438-3			f r		
1222-3			a u		
353-3			p u s		
201-3			b ɑ̃		
20-3			p ɛ r		
503-3			p u r		
957-3			n		
728-3			l ɛ g		
244-3			n r		
289-3			n ɛ		
911-3			r ɛ		
724-3			r r		
145-3			d ɔ		
992-3			k ɛ		
1181-3			s ɑ̃ t		
706-3			u		
106-3			p u r		
741-3			p u		
421-3			f l ø		
227-3			f u		
560-4				v u r	
438-4				v r	
1222-4				t	
353-4				f aː ʃ	
201-4				z eː t	
20-4				f a r	
503-4				f l	
957-4				n n	
728-4				l u ŋ	
244-4				n u m	
289-4				n u x t	
911-4				r aː s	
724-4				d r	
145-4				ts oː	
992-4				h	
1181-4				h a n	
706-4				e	
106-4				f e t ə r	
421-4				f l u r r	
227-4				f e s	
560-5					w e t n
438-5					p r u
1222-5					e
353-5					p oː s k o
201-5					p oː n u
20-5					p a r r
503-5					p l l
957-5					n n n
728-5					l o n
244-5					n m m
289-5					n oː t
911-5					r e n
724-5					t r
145-5					f uː n
992-5					k e
1181-5					k u l n
706-5					uː g
106-5					p r t r
741-5					p o m
421-5					f l a r
227-5					p u t
