COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t o ¹¹							
46-1	p l e ¹¹							
126-1	s e ³³							
114-1	b ɛ ¹¹							
149-1	p l e ¹¹							
171-1	tʰ e ³³							
191-1	kʰ w ɛ ⁵⁵							
203-1	n i ³³							
224-1	l e ³³							
275-1	kʰ e ¹¹							
302-1	ʔ u ³³							
315-1	tʰ ɛ ⁵⁵							
394-1	n ɔ ³³							
431-1	pʰ e ⁵⁵							
444-1	p e ⁵⁵							
445-1	n e ¹¹							
514-1	s i ³³							
555-1	kʰ w i ¹¹							
579-1	cʰ ɛ ³³							
603-1	kʰ e ¹¹							
737-1	l o ¹¹							
763-1	cʰ w ɛ ¹¹							
870-1	kʰ i ⁵⁵							
918-1	ʔ ɔ ³³							
979-1	l ɛ ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m e ¹¹							
1053-1	l w i ¹¹							
1065-1	m ɛ ¹¹							
1091-1	m o ¹¹							
1116-1	ʔ i ¹¹							
1129-1	n e ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p i ³³							
1277-1	t a ³³							
21-2		t ə ¹¹						
33-2		t əɨ ¹¹						
46-2		p l a ¹¹						
126-2		θ a ⁵³ ⁵³						
114-2		b a ¹¹						
149-2		b l a ¹¹						
171-2		tʰ a ⁵³						
191-2		g w ʔ ⁴⁵						
203-2		n ai ⁵³						
224-2		l a ʔ ²¹						
275-2		kʰ a ¹¹						
302-2		ʔ u ⁵³						
315-2		tʰ au ʔ ⁴⁵						
394-2		n ɔ ʔ ²¹						
431-2		pʰ a ʔ ⁴⁵						
444-2		b a ʔ ⁴⁵						
445-2		n a ¹¹						
514-2		θ i ʔ ⁴⁵						
555-2		kʰ w i ¹¹						
579-2		cʰ a ⁵³						
603-2		kʰ a ¹¹						
737-2		l u ¹¹						
763-2		cʰ w ɛ ¹¹						
870-2		kʰ i ʔ ⁴⁵						
