COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
2007		b u	b u ʃ u		b u ʃ u	b u a t̪ a	b u a t̪ a	
2081		d̪ o ŋ b a	d̪ o ŋ b a			d̪ o ŋ k a n	d o ŋ kʰ e n	
1924		k ɾ e m ʃ i pː a				k ɾ e m ʃ i pː a		
1815		b r o ŋ b u	b u ŋ p u		a t ə r o ŋ b a	b ă ɾ o ŋ b a	a t ə r o ŋ b a	
2063		tʰ a kʰ u				tʰ a kʰ u		
72	d̪ a n		d̪ a n			d̪ a n		
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
310	a l e j a k			a l a k				a l j a k
582	p u r tʃ i			p u r tʃ i				
2006	s e m tʃ e n							s e m tʃ e n
2624	d̪ u n ts i				d u n tʃ i			
347	m u m t̪ o k l o m			m u m t̪ o k l o m				
2635		ʃ i ɾ i	ʃ i r i l a		ʃ i r a		ʃ i r a	
200		pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a			pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	
2491					pʰ a kʰ e n		pʰ aː kʰ e n	
635	a t a			a t a				
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
1627	d̪ u l u l a			d o l u				
202					t o ŋ t e			t o ŋ t e
1594		pʰ e i tʰ u ŋ			pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ	pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ
2710			n ĭ z i	n ĭ z i		ŋ i z i		n ĭ z i
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
136					g e tʃ i k	g e tʃ i	g e tʃ i k	
1132	b ă ŋ tʃ a ŋ		b ă ŋ tʃ a ŋ					b ă ŋ tʃ a ŋ
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
1169	o t p a			o t p a				
135		tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ				
2219		ʃ e ʃ u				ʃ e ʃ u		
1014			g e s t̪ u j a			g e s t̪ u r		
373	k o b i	k o b i				k o b i		
2638		p e t̪ a r				b e t̪ a r		
134	dʒ a p							dʒ a p
1798					dʒ o ŋ		dʒ o ŋ	
2158					p i r kʰ ə n		p i r kʰ ə n	
2404	pʰ a l o		pʰ a w o					pʰ a l o
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
509			t̪ i n u ŋ a m tʰ u r	ŋ a m tʰ u r				
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
5						dʒ a ŋ		dʒ a ŋ
2433		pʰ i r	pʰ i r pʰ o		pʰ i r p o k			
2249			z o g j a k b o		z o k j a kʰ e n	z o g j a k b o	z o k j a kʰ e n	z o g j a k b o
2045			l e j a ŋ b o		l e ŋ b o	l e j a ŋ b o		
1878	j u ŋ m u	j u ŋ b u	j u ŋ b u			j u ŋ b u		j u ŋ b u
2765	i n i ŋ			i ɲ i ŋ				i n i ŋ
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
66			z a m i ŋ			z a m i n		z a m i n z i m b u
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2329	tʃ o k l a					tʃ o k a n	tʃ o kʰ e n	
2407					pʰ a kʰ e n		pʰ a kʰ e n	
2054		ŭ ɾ u	ŭ ɾ u			ŭ ɾ u		
2092		l e m	tʃ a m l e m b o		l e m b o	l e m b o		
2173		b i n tʃ u		b i n tʃʰ a m				
2766		i ŋ o m	i ŋ o m		ɲ i ŋ a m	ŋ a m tʃ a	i ŋ a m	
380		d̪ o ŋ p a	d̪ u ŋ p a					t o ŋ p a
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
2339			ŋ a ŋ ɲ i r p o		ɲ u r kʰ ə n			ɲ i r p a n
1042			j u ŋ p a		j u ŋ p a		j u ŋ p a	j u ŋ p a
2053		u n tʃ u		ŭ n tʃʰ a m				
2443	tʃʰ i k p o		tʰ i k b o	tʰ i g tʃʰ a m				tʰ i k p a n
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
2422	j a k p o		j a k p o					
74				n a n	n a n			
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
517	t i ŋ p u			t i ŋ p u				
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
454			kʰ u r l a	k u r b a n		kʰ u r l a		
729		b i ŋ tʃ e n	b i ŋ tʃ e n			b i ŋ tʃ e n	b i ŋ tʃ e n	
1761					s a ʔ	s a h̥		
2379			tʰ i ŋ kʰ u		tʰ i ŋ kʰ ə n	tʰ i ŋ kʰ u	tʰ i ŋ kʰ ə n	tʰ i ŋ m a n
1566	m ĭ n k a	m i n p a n		m ĭ n k a			m i ŋ kʰ e n	
872	pʰ u ŋ k a			pʰ u ŋ k a				
2285		dʒ a ŋ k u	dʒ a ŋ p o		dʒ a ŋ p o	tʃ a ŋ k u		dʒ a ŋ p a n
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
1108	t̪ a ŋ h e p k a							t̪ a ŋ h e m p a n
1008		a b i tʃ a ŋ				a b i tʃ a ŋ	a i p tʃ a ŋ	
2338	ɲ o ɾ l a	ɲ u r tʃ u				j u r tʃ u	ɲ u r kʰ ə n	
518		t o ŋ tʃ e n			t o ŋ tʃ e n	t o ŋ tʃ e n	t o ŋ tʃ e n	
1089		j o m l o k p a ts o k			j o m l o k p a ts o k		j o m l o k p a ts o k	
1593	pʰ a i b ŭ ŋ n a ŋ			pʰ a i b ŭ ŋ n a ŋ				
2784			z i	z i		z i		z i
2709	pʰ ă j a m a	pʰ a i a m a		pʰ ă j a m a	pʰ e j a m a		pʰ a i a m a	
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
964			tʰ i m l u ŋ			tʰ i m l u ŋ		
728	tʰ a ŋ p u							tʰ a ŋ p u
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
1486	p a s a g o ŋ			p a s a g o m				
2191		m a g ɾ a k a n				m a g ɾ a k a n	m a g r a kʰ e n	
1773						h a ŋ a n u		h a ŋ g i n u
2356	i p k a			i p tʃʰ a m	i p kʰ e n		i p kʰ e n	i p a n
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
2492		ʃ e ʃ u				ʃ e ʃ u		
2397			ɾ i g a ɲ j e w o			ɾ i g a ŋ j a p ʃ o		
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
1805	h a s o k l a							kʰ a s o
2473				z i g tʃʰ a m	z e i kʰ e n		z e i kʰ e n	z i g p a n
1646		tʃ o	tʃ o	tʃ o			tʃ o	
2607		tʃ i k p a	tʃ i k p a			tʃ i k p a		tʃ i k p a
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
1264				z o ɾ				z o ɾ
2358			ʔ i w o			ʔ i w o		
67				n a n	n a n			
2555				g a tʃ a	k a tʃ u		k a tʃ u	
