COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	k e a + tɬ t								
8-1	w eː i								
16-1	e iː + tɬ i								
24-1	i s t i								
32-1	m i k i								
51-1	o n + i								
52-1	w aː k + tɬ i k								
53-1	n a k a s								
54-1	tɬ aː l i l								
55-1	k w a								
60-1	iː x + l o l								
1-2		n u tʃ i							
2-2		e a + t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w a k + t u							
53-2		n a k a s							
54-2		t a h							
55-2		b w a							
60-2		iː x + t i l u l u							
1-3			m o tʃ i						
2-3			k e x ʔ + t						
8-3			w eː j						
16-3			e s + ʔ i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i						
52-3			w aː k + ʔ i ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			iː x + t e l o l o						
1-4				n o tʃ i					
2-4				n e x + tɬ e					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + tɬ o k					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + e o l o					
1-5					m o tʃ i				
2-5					n e x + t				
8-5					w e j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					w aː g + t o				
53-5					n a g a s				
54-5					t aː l				
55-5					b w aː				
60-5					i x o				
1-6						n u tʃ i			
2-6						k e a + t n			
8-6						w e j			
16-6						e s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + u			
53-6						n a k a s			
54-6						t aː l l			
55-6						k w a			
60-6						iː x + t e l u l u			
1-7							m o tʃ i		
2-7							k e a + t		
8-7							w e n		
16-7							o s + t o		
24-7							i s t e		
32-7							m i k i		
51-7							o n + i		
52-7							w a k + t o		
53-7							n e k e s		
54-7							t a		
55-7							k w a		
60-7							i x		
1-8								n o tʃ ɨ	
2-8								ts a x tɬ	
8-8								w eː h	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ +	
32-8								m ɨ k ɨ	
51-8								o n + i	
52-8								w aː k + t ɨ k	
53-8								n a k a s	
54-8								tɬ aː ɨ ɨ ɨ	
55-8								k w a	
60-8								iː x + t l o l o	
1-9									n o tʃ iː +
2-9									n e x + + t
8-9									w i j iː
16-9									e s + tɬ iː
24-9									iː s t e
32-9									m iː k iː
51-9									o n + iː
52-9									w ø k + tɬ o k
53-9									n a k a s
54-9									tɬ ø l l
55-9									k w a
60-9									i x + t o o
