COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
56	t oː t o l + t e + tɬ			t o t o l + t e + tɬ					t u t o l + t e tɬ
237	eː w a + tɬ			j e w a j o		eː w a j u		eː w a + tɬ	j e w a j o
194	s eː	s e	s eː	s e j a	s e	s eː	s e	s eː	s i e
101	ts o n + tɬ i	ts u n + t i		ts o n + tɬ i			ts o n	ts o m	ts o n + tɬ iː
187	j a n k w i + k	j a m b w i + k	j a m k w i + ʔ	j a n k w i + k	j a m b i + k	j a n k w i + k		j a n k w i + k	j a n k w iː + k
315	oː m e	uː m e	oː m e	o m e	oː m e	uː m e	o m e m	oː m ə	u m e
104		ts u n + t e k o n	ts o n + t e k o n	ts o n + t e k o	ts o n + t e g o n	ts u n + t e k u m a + t		k w a h	ts o n + t e k o
81			ts o h m i + ʔ		ts o h m i + t				
249	p oː k + tɬ i	p uː k + t i	p oː k + t i	p o k + tɬ i	p oː k + t i	p u k + t i		p oː k + tɬ ɨ	p u k + tɬ iː
251	m o + k e ts a		m o + k e ts a	m o + t e l + k e ts a	m o + g e ts a	m u + k e ts a	x + m o + k ts e	k ɨ ts a	m o + k e ts a
186	k e tʃ + tɬ i	k e tʃ	k e tʃ	k e tʃ	g eː tʃ	k e tʃ + k uː j u	k o x + t	k ə tʃ + tɬ ɨ	k e tʃ + k o tʃ tɬ a
93	k w a l + l i			k w a l i					k w a l iː
90	t eː n + t o k		t eː n + t o ʔ	t e n + t o k	t eː n + t o k	t eː n + t u k		t eː n + t o k	t i e n + t iː k a
268	s iː tɬ a l + i n	s iː t a l	s iː t a l i n	s i tɬ a l i		s iː t a l		s i tɬ a l ɨ + m	s i tɬ a l iː
213	k i j a w + tɬ		k i a h u aː + ʔ	k i j a w i + tɬ					k iː j a b iː + tɬ
107	j oː l + l i	j u h + l u		j o l + o		j u l	n	j oː l	j u l o h + tɬ iː
84	m i tʃ + i n			m i tʃ i		m i tʃ i n	m i tʃ o m	m ɨ + tʃ ɨ + m	m iː tʃ iː
190	j a k + tɬ	j a k	j a k + t i	j e k a + k	j a g a + t	j a k	j e k e + t	j a k a + tɬ	j e k a + ts o l
232	a tʃ + tɬ i			a tʃ tɬ i			a x + t	aː tʃ + tɬ ɨ	x iː n + ø tʃ + tɬ iː
105	k w aː + tɬ						k w a i + t		
102			ts o n + k a l		ts o n + g a l	ts u n + k a l			
221	n e l w a + tɬ		n e l w a + ʔ	n e l w a + tɬ		n e l w a + t		n e l w a + tɬ	n e l w a + j u + tɬ
192		t e			a m o	t eː + t e s u			
57			t e k s i s		t e k s i s	t e k s i s + t i			
97	j e k + tɬ i							j eː k + tɬ ɨ	
326	aː k	a i k	aː ʔ	a k i n	aː k		a k	aː k	ø k iː n u
318	t o + t oː n + k i	t r uː n i k	t o t oː n i ʔ	t o t o n k i	t o t oː n i k	t u t uː n i k		t o + t oː n ɨ + k	t o t u n + k iː
182	k a m + tɬ			k a m a + k					k a m a + k
143	i s w a + tɬ	i s w a + t	i s w a ʔ		i s w a + t	i s w a + t		ɨ s w a + tɬ	
330	k o s + t i k		k o s t i ʔ	k o s t i k	g o s t i k			k o s + t ɨ + k	k o s t iː k
99		x u x u i + k				x u x u w i + k			
189		t a + j u w a + k			t a + j o a	t a + j u w a			
4			k w a + k a h l oː + ʔ		b a + g a h l o				
290	i n + oː n	h uː n i		i n + o n	h oː n	u n i		oː n	iː n + u
94		j e k + t i	j eː k + t i		j e k + t i	j eː k		j eː k + tɬ ɨ	
79	i h w i + tɬ	i j + u h w i + j u		i h w i + tɬ				ɨ w ɨ	
3	eː w a + tɬ			j e w a + j o		eː w a + j u		ɨ w aː + j oː + tɬ	j e w a + j u + tɬ
183		t eː n	t eː n		t eː n	t eː n	t e n	t eː n + tɬ ɨ	
27				i ts + t i k					i ts + t iː k
324	i s t aː k	i s t aː k	i s t aː ʔ	i s t a k	i s t aː k	i s t a k		i s t aː + k ɨ	tʃ i pː p ø w a k
19	tʃ iː tʃ iː w a l		tʃ iː tʃ i w a l	tʃ i tʃ i w a l	tʃ i tʃ i w a l			tʃ iː tʃ iː w a l	tʃ i tʃ iː w a l
88	kx i + tɬ	i kx i	i kx i	i kx i	i kx i	kx i		ɨ kx ɨ	i kx iː
144				x i w i + tɬ			x u t		x iː b iː tɬ
