COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	dː ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m ə l a																		
112-1	dː a b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ u r																		
381-1	ʔ a tʃː																		
417-1	r u zː																		
451-1	s ə b a t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ dː ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m a n																		
1-1	dː ə tʼ ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b ə t																		
248-1	m u l a																		
293-1	f ə r ə zː																		
373-1	kʼ ɨ m a l																		
408-1	b o r a r																		
414-1	dː ə b a kʼ u a																		
601-1	ʔ ə r o b																		
642-1	n ɨ f a s																		
60-1	n ə tʼː ə s ə																		
115-1	ʔ a r a m																		
209-1	s ə m u t																		
242-1	ʔ a m ɨ s t																		
415-1	zː ɨ n a b																		
450-1	zː ə r																		
490-1	tʼ ə bː b																		
638-1	s ɨ r e																		
645-1	kʼ a l																		
160-1	tʼ ə r ə kʼ																		
208-1	ʔ ɨ n kʼ b o r																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	tʼː ə tʼ ə																		
409-1	g ə t ə r ə																		
598-1	tʼ b e tʃː																		
646-1	ʔ a k ə																		
210-1	dː ə tʼ o ə r ə																		
215-1	ʔ a zː e b ə t																		
285-1	m ɨ tʼ a dː																		
332-1	ʔ ə g ɨ r																		
380-1	ʔ a tʼ b a																		
412-1	s a w ɨ n																		
64-1	dː a bː o																		
67-1	w ɨ r																		
251-1	f ɨ kʼ																		
294-1	m b kʼ kʼ																		
597-1	ʔ ɨ m ə ɲː ə																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
372-1	kʼ ə n f ə r																		
374-1	b ə kʼ o o o																		
375-1	s ə b																		
411-1	t ə r a s																		
541-1	kʼ ə tʼː ɨ n																		
6-1	m ə l kʼ a m a																		
113-1	b u n																		
330-1	kʼ ə l d																		
448-1	kʼ ə tʼ a n s ə n b ə t																		
449-1	ʔ a tʼː ə																		
491-1	dː ɨ n g ə t																		
596-1	n ə g ə																		
4-1	g ɨ zː mː ə																		
8-1	kʼ ə b ə tʃː o																		
106-1	m ə s a																		
290-1	ʔ a g ə zː ə																		
489-1	b o r tʃʼ tʃʼ m a																		
602-1	m ɨ n																		
2-1	tʼ u lː u																		
3-1	tʼ ɨ n ə																		
61-2		dː ə m																	
63-2		x a tʼ ɨ j																	
107-2		g a m ɨ l a																	
112-2		dː a β ə n a																	
331-2		n ɨ g u s																	
377-2		b ɨ kʼ u e																	
381-2		x a kː																	
417-2		r u dʒ																	
451-2		s ə β a t																	
454-2		x a tʃ ɨ r																	
484-2		s ɨ dː ɨ s t																	
535-2		x a s ɨ r																	
543-2		s o s t																	
593-2		x a m u s																	
640-2		m a n																	
1-2		dː ə tʼ ə r ə																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		x ɨ n																	
244-2		x a r b t																	
248-2		m u l a																	
293-2		f ə r ə tʃ																	
373-2		kʼ ɨ m a r																	
408-2		b o r a																	
414-2		dː ɨ b a kʼ u a																	
642-2		n ɨ f a s																	
60-2		n ə fː ə s ə																	
115-2		x ə r a j																	
209-2		s ɨ m u t																	
242-2		x a m ɨ s t																	
415-2		dʒ ɨ n a β																	
450-2		dʒ ə r																	
490-2		tʼ ə tʼ a																	
645-2		kʼ a l																	
160-2		tʼ ə r ə kʼ																	
208-2		x ɨ n kʼ o e																	
378-2		x a n tʃː ə t																	
379-2		tʼː ə tʼ ə																	
409-2		tʃː ə t ə r ə																	
598-2		tʼ t e t																	
646-2		x a tʼ ə																	
210-2		dː ə tʼ o ə e ə																	
215-2		x a tʼː ɨ β ə t																	
285-2		j ɨ tʼ a dː																	
380-2		x a tʼ u a																	
412-2		s a ʔ ɨ n																	
496-2		s u r s ə n β ə t																	
64-2		dː a tʼ o																	
251-2		f ɨ kʼ																	
294-2		m u kʼ kʼ																	
597-2		x ɨ m ə ə ə ə																	
7-2		x a l tʃː a																	
158-2		kʼ ə m i s																	
296-2		ə tʼ u t i																	
375-2		s ə b																	
541-2		kʼ ə tʼː ɨ n																	
113-2		b u n ɨ																	
252-2		r ə tʼ ə β ə																	
330-2		kʼ ə l dː																	
449-2		x a tʼː ə																	
491-2		dː ɨ n g ə t																	
545-2		tʼ ɨ n o m																	
596-2		n ə tʃː ə																	
4-2		tʃː ɨ n tʼː ə																	
106-2		m ə tʃ a																	
254-2		dʒː ɨ m a t																	
290-2		x a g ə dʒ ə																	
602-2		m ɨ n																	
2-2		tʼ u dʒ u m																	
3-2		tʼ ɨ n ə																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m e r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ə kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ p ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m ə n																
1-3			d ə p ə r ə m																
65-3			tʼ u w																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r b t t																
248-3			m u n a																
293-3			tʼ ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b o r a																
414-3			d ə b a kʼ u l a																
601-3			ʔ ə r o b																
642-3			n ɨ tʼ a s																
60-3			n ə tʼ ə s ə m																
115-3			ʔ ə r a m																
209-3			s ɨ m u t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼ ə p w ə m																
638-3			s ɨ n e																
645-3			kʼ a r																
75-3			ʔ a m b ɨ r																
160-3			d ə r ə kʼ																
208-3			ʔ a n kʼ w ə r																
214-3			ʔ a b																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			ʒ ə tʼ ə																
409-3			g e t ə r ə																
497-3			t ə n																
598-3			x w e t																
646-3			ʔ a x ə																
164-3			b ə k ə m																
210-3			ʒ ə x w n r ə																
215-3			ʔ a t e b ə t																
256-3			t u m a																
285-3			m ɨ d a d																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə x w a																
412-3			s a h ɨ n																
496-3			w u r s ə n b ə t																
64-3			d a p o																
67-3			w ɨ r																
169-3			n ə r ə z ə m ə																
251-3			tʼ e kʼ ə																
461-3			tʼ e																
547-3			w ɨ z a t																
597-3			ʔ e m ə n ə ə																
655-3			m ɨ ʃ t																
7-3			ʔ a n g a																
158-3			kʼ ə m ɨ s																
168-3			ʔ ɨ m a r																
296-3			j ə h u t																
372-3			k ə n tʼ ə r																
374-3			b ə kʼ w o ə																
375-3			s ə b																
385-3			w ɨ tʼ ə t																
411-3			t ɨ r a s																
500-3			ʔ ɨ m ɨ r																
6-3			m ə r k a m a																
17-3			ʔ ə x ɨ r																
123-3			ʃ e m ə m																
252-3			n ə k ə b ə																
421-3			b ɨ sː ə																
448-3			kʼ ə d a n s ə n b ə t																
449-3			ʔ a ʒ ə m																
545-3			x ɨ n o																
596-3			n ə g ə																
653-3			b ə t ɨ t																
4-3			g ɨ n ʒ ə																
254-3			dʒ ɨ m a t																
290-3			ʔ a g ə z ə m																
339-3			b ə kʼ ɨ r																
460-3			x i t a																
489-3			b ə r tʃʼ u m a																
552-3			z ɨ																
652-3			ʔ e t ə x ə																
61-4				d ə m															
63-4				ʔ a tʼ ɨ m															
107-4				g a m e n ə															
112-4				d a b ə ʃ a															
331-4				n ɨ g o ʃː															
377-4				b ɨ kʼ u ə															
381-4				ʔ a t															
417-4				s u f															
451-4				ʃː ə b a t															
454-4				ʔ a tʃː ɨ r															
484-4				ʃː ɨ d ɨ ʃː t															
535-4				ʔ a sː ɨ s															
543-4				sː e sː t															
593-4				ʔ a m u ʃː															
640-4				m a n															
1-4				d ə tʼ ə s ə															
65-4				tʼ u b															
163-4				ʃː ə tʼ ə															
408-4				b ə r a															
414-4				d ɨ b a kʼ u a															
601-4				ʔ ə r u b															
642-4				n ɨ tʼ a ʃː															
60-4				n ə tʼ ə ʃː ə															
115-4				ʔ a m ə m															
450-4				f ə s															
490-4				tʼ ə kː o ə															
638-4				ʃː ɨ n e d															
645-4				kʼ a n															
75-4				ʔ a m b ɨ r															
160-4				tʼ ə r ə kʼ															
378-4				ʔ a n g ə t															
379-4				tʼ ə tʼ ə															
409-4				g e t ə r ə															
497-4				t ə n															
598-4				x o e t															
646-4				ʔ a x ə															
164-4				b ə k ə															
332-4				ʔ ə g ɨ r															
380-4				ʔ a x o ə															
412-4				ʃː a h ɨ n															
64-4				d a kː ə															
67-4				o ɨ r															
169-4				b ə s ə f ə tʼ															
461-4				tʼ e															
547-4				a ɨ f a t															
597-4				ʔ e m s n ə ə															
655-4				m ɨ u t															
158-4				kʼ ə m ɨ ʃː															
168-4				ʔ ɨ m a r															
372-4				k ə n tʼ ə r															
374-4				b ə kʼ o o o e															
375-4				sː ə b															
385-4				o ɨ tʼ ə t															
411-4				t ɨ r a ɲː															
500-4				ʔ ɨ m ɨ r															
541-4				kʼ ə tʼ ɨ n															
6-4				m ə w k a m a															
17-4				ʔ ə x ɨ rː															
330-4				kʼ ə n d															
421-4				b ɨ tʼ ə															
449-4				ʔ a f ə															
545-4				x ɨ n ə															
596-4				n ə g ə															
653-4				b ə t ɨ t															
4-4				g ɨ ʃ ɨ a															
8-4				kʼ ə b ə t ə															
106-4				m ə tʼ a															
339-4				b ə kʼ ɨ rː															
489-4				b o r tʼ u m f															
652-4				ʔ e t ɨ d ə															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m e r a														
112-5					d a b ə n a														
331-5					n ɨ g w s														
377-5					b ɨ kʼ u r ə														
381-5					ʔ a tː														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a tʃː ɨ r														
484-5					s ɨ dː ɨ s t														
535-5					ʔ a sː ɨ r														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m w n														
1-5					d ə bː ə r ə m														
65-5					tʼ u b														
163-5					s ə tʼ ə														
212-5					ʔ e n														
244-5					ʔ a r b ə t														
248-5					m u nː a														
293-5					f ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b o r a														
414-5					d ə b a kʼ u a														
601-5					ʔ ə r o b														
642-5					n ɨ f a s														
60-5					n ə f ə s ə														
115-5					ʔ ə m a m														
209-5					s ɨ m u t														
242-5					ʔ a m ɨ s t														
415-5					z ɨ n a b														
450-5					z ə r														
490-5					tʼ ə bː w ə														
638-5					s ɨ n e														
645-5					kʼ a nː														
75-5					ʔ a m b ɨ r														
160-5					d ə r ə kʼ														
208-5					ʔ ɨ n kʼ w r r														
214-5					ʔ a b														
218-5					ʔ ɨ n z ɨ r														
378-5					ʔ a n g ə t														
379-5					tʼ ə tʼ ə														
409-5					g ə t ə r ə														
497-5					t ə n														
598-5					x w e tː														
164-5					b ə kː ə														
210-5					dː ə x w n r ə														
215-5					ʔ a tʼ e b ə t														
256-5					t u m a														
285-5					m ɨ d a d														
332-5					ʔ ə g ɨ r														
380-5					ʔ ə x w a														
496-5					w u r sː ə n b ə t														
64-5					d a bː o														
67-5					w ɨ r														
169-5					b ə r ə z ə z														
251-5					f e kʼ														
294-5					m u kʼ kʼ														
461-5					tʼ e														
547-5					w ɨ z a t														
597-5					ʔ e m ə n ə														
655-5					m ɨ s t														
7-5					ʔ a nː g a														
168-5					ʔ ɨ m a r														
296-5					jː ə h u t														
372-5					k ə n f ə r														
374-5					b ə k o u o														
375-5					s ə b														
385-5					w ɨ tʼ ə t														
411-5					t ɨ r a sː														
500-5					ʔ ɨ m ɨ r														
6-5					m ə r k a m a														
17-5					ʔ ə x ɨ r														
113-5					b u n ə														
123-5					s e m ə														
252-5					r ə kː ə b ə														
421-5					b ɨ tʼ ə														
448-5					kʼ ə d a m s ə n b ə t														
449-5					ʔ a tʼ ə														
545-5					x ɨ nː o														
596-5					n ə g ə														
653-5					b ə tː ɨ t														
4-5					g e r ʃ ə														
8-5					kʼ ə b ə tː o														
290-5					ʔ a g ə z ə														
339-5					b ə kʼ ɨ r														
460-5					x i t t														
489-5					b ə r r u m a														
552-5					z ɨ														
602-5					m ɨ n														
652-5					ʔ e t ə t a														
3-5					h ɨ n ə														
61-6						d ə m													
63-6						ʕ a tʼ ɨ m													
107-6						g a m e l a													
112-6						d a b ə n a													
331-6						n ɨ g w s													
377-6						b ɨ kʼ l ə													
381-6						ʕ a ʔ													
417-6						r ɨ z													
451-6						s ə b a ʔ													
454-6						ʕ a s ɨ r													
484-6						s ɨ tʼ ɨ s ʔ													
535-6						ʕ a s ɨ r													
543-6						s ə s ʔ													
593-6						ʕ a m ɨ s													
640-6						m a n													
1-6						jː ə tʼ ə r ə													
163-6						s ə tʼ ə													
212-6						ʕ e n													
244-6						ʕ a r b ɨ ɨ													
248-6						m ɨ l ɨ													
293-6						f ə r ə z													
373-6						kʼ ɨ m a l													
408-6						b ɨ r a ɨ													
601-6						ʕ ə r ə b													
642-6						n ɨ f a s													
60-6						n ə f ə s ə													
115-6						ʕ ə n a m													
242-6						ʕ a m ɨ s ʔ													
415-6						z ɨ n a b													
450-6						z ə r													
490-6						tʼ ə bː ə ə													
638-6						s ɨ n e													
645-6						kʼ a l													
75-6						ʕ a m b ɨ r													
208-6						ʕ ɨ n kʼ ə ə ɨ													
214-6						ʕ a b t													
218-6						ʕ ɨ n z i n													
409-6						g ə ʔ ə r ə													
497-6						ʔ ə n													
598-6						tʼ ɨ e ʔ													
646-6						ʕ a fː ə ɨ													
215-6						ʕ a tʼ e b ə ʔ													
256-6						ʔ ɨ m a													
294-6						m ə kʼ kʼ													
655-6						m ɨ s ʔ t													
158-6						kʼ ə m i s													
372-6						s ə n f ə r													
375-6						s ə b													
411-6						ʔ ə r a s t													
500-6						ʕ ɨ m i r													
541-6						kʼ ə tʼ ɨ n													
113-6						b w n ɨ													
252-6						r ə s ə b ə													
330-6						kʼ ə l d													
448-6						kʼ ə tʼ a n s ə n b ə ʔ													
106-6						m ə s a													
290-6						ħ a g ə z ə													
460-6						w e ʔ ɨ													
552-6						z ɨ													
602-6						m ɨ n													
2-6						ħ ɨ lː ɨ m													
61-7							d ə m												
63-7							ʔ a tʼ ɨ m												
107-7							g a m e r a												
112-7							d a m ə r a												
331-7							n ɨ g w s												
377-7							b ɨ kʼ w r ə												
381-7							ʔ a tː												
417-7							r u z												
451-7							s ə b a t												
454-7							ʔ a tʃʼ ɨ r												
484-7							s ɨ d ɨ s t												
535-7							ʔ a s ɨ r												
543-7							s o s t												
593-7							ʔ a m u s												
640-7							m a n												
1-7							d ə pː ə r ə m												
65-7							tʼ u t												
163-7							s ə tʃʼ ə												
212-7							ʔ e n												
244-7							ʔ a r b t t												
248-7							m u r a												
293-7							tʼ ə r ə z												
373-7							kʼ ɨ m a r												
408-7							b o r a												
414-7							d ə b a kʼ u a												
601-7							ʔ ə r o t												
