COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
364															b ɨ l			b ɨ l	
321																t u	n a t u		
319															d u m			d u m i	
413	g ə n f o	g ɨ n f o										g ə n f o					g ə n f o		
649		b ə							b ə	b e								b ə	b ə
471										ʔ uː g a					ʔ u n g a			ʔ u n dʒ ə	ʔ uː n dʒ ə
101																ħ u	ħ a w		
132										w a z ə n a					w ə z ə n ə				
277															ʔ ɨ d ə g o t			ʔ a d ə g ə	ʔ a d ə g ə
261						tʼ a l i											tʼʲ ə l		
388						k ɨ s a d										s ɨ g a d	k ɨ s a d		
116		g ə n g a d				ʔ ɨ n g ɨ d ʔ a													
114	d ə bː ə kʼ ə					d ə b ə kʼ ə													
466						b ɨ ʕ u l				b a ʔ a w									
259						kʼ w ə r n ə n ə ʕ a t				ʔ a n kʼ u r aː r a ħ									
503				ʔ a j e d					ʔ ɨ w a j ə		ʔ ɨ w ə j ə								
69	tʼ ɨ dʒː a	tʼ ɨ dʒː a								tʼ ɨ dʒ a		tʼ ə g		d ə g					
329	s ɨ r a																s ɨ r a ħ		
631																g ə j a ʃ ai̯	g ə j a ʃ ai̯		
269												w ə g f ɨ r	w ə g f ɨ r						
186										kʼ oː tʃʼ a					kʼ oː tʃ e			kʼ oː tʃ e	kʼ uː tʃ i
656				g ə d ə n i							g ə d a n i j ə								
166			b a n ə r ə m	b a nː ə r ə	b a nː ə s ə m			b a n ə r ə m			b a n ə r ə								
305												k w a		x w a	ʔ u h a			ʔ u h ə	
327	dʒ ɨ b	dʒ ɨ b				z ɨ ʔ b											z ɨ b ʔ i		
303						g ə b ə t a										g ə b ə t a			
627															ʔ a w dʒ e			ʔ a w dʒ e	ʔ a w dʒ i
58																		dʒ ə b ə	dʒ ə b a
20				g ə m b ə n ə	g ə m b ə nː a						g ə m b ə n a								g ə m b ə l o
258						kʼ w ɨ n s ɨ l										ħ a ʃ i l			
492	s ə h ai̯					tsʼ ə ħ ai̯											s ə ħ ai̯		
428								dʒ ɨ mː ə			g i m ʔ ə	g i mː ə			g i mː a				g i mː a
485	tʃʼ ɨ s	tʃ i s																	
133												b ai̯							b aː j u
291	d o r o	d o r o				d o r h o										d ə r h o	d ə r h o		
337		kʼ ɨ l tʼ ɨ m								kʼ u l tʼ u m									
542	j ɨ h									j i									
487	z ə f ə n	z ə f ə n																	
