COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m ə lː a																		
112-1	d a b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ ə																		
381-1	ʔ a ə																		
417-1	r u j																		
451-1	s ə b a																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s ə s t																		
593-1	ʔ a m ɨ s																		
640-1	m ə ɲː																		
1-1	d ə b ə r ə																		
65-1	tʼ ɨ b																		
212-1	ʔ ə n																		
244-1	ʔ a r b ə																		
248-1	m ɨ lː a																		
293-1	f ə r ə j																		
373-1	ʔ tʃː mː ɲ dʒ																		
408-1	b ə r r r																		
414-1	d u bː a əi̯ e bː a																		
601-1	ʔ ə rː u nː																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ ə mː a																		
209-1	ʔ tʃː nː tʃː ʃː																		
242-1	ʔ a m ɨ s t																		
415-1	j ɨ n a b																		
450-1	j ə r																		
490-1	tʼ ə bː e																		
638-1	ʔ ə r ɨ ai̯																		
645-1	ʔ kʼ lː																		
160-1	ʔ ə rː ə kʼ																		
208-1	ʔ fː n tʃː tʃ fː bː																		
214-1	ʔ a b																		
378-1	ʔ a n g ə ʃː																		
379-1	tʃʼ e ʃː ɨ tʼ																		
409-1	ʔ t tʃʼ ə r o																		
598-1	ʔ e t ɨ																		
646-1	ʔ a ɲː ə																		
210-1	ʔ ə s w nː u																		
215-1	ʔ a tʼ ə b ə																		
285-1	m ɨ tʼ a d																		
332-1	ʔ ɨ kʼ r r																		
380-1	ʔ ə ʃː tʃʼ ɲː																		
412-1	s a ʔ a n																		
64-1	ʔ a ʔ o																		
67-1	w ɨ rː																		
251-1	tʼ ɨ kʼ ɨ																		
294-1	w ə fː ħ kʼ																		
597-1	ʔ mː fː e fː ə ɲː																		
7-1	ʔ a f g a																		
158-1	kʼ ə m ɨ s																		
372-1	f ə n f ə r																		
374-1	tʃʼ e ʃː ə ɲː ai̯																		
375-1	s ə b																		
411-1	b ə r a s																		
541-1	kʼ ə tʃʼ ɨ n																		
6-1	s ə bː ʃː a a																		
113-1	b u nː a																		
330-1	kʼ ə lː d																		
448-1	tʼ ə t a ui̯ d ə n bː ə ɲː																		
449-1	ʔ a jː ə																		
491-1	d ɨ n g ə t																		
596-1	n ə g ə																		
4-1	j fː ʃː tʃʼ ə																		
8-1	s e bː ə t ai̯																		
106-1	m ə s a																		
290-1	ʔ a g ə j ə																		
489-1	ʔ s rː fː tʃ fː a																		
602-1	m ɨ n																		
2-1	ʔ a r u																		
3-1	ʔ ɨ rː ə																		
213-1	ʔ a r a s																		
486-1	n ə t ə kʼ ə																		
647-1	tʼ ə h mː ʃː t																		
10-1	tʼ ɨ ʃː r																		
110-1	ʔ ɨ r a																		
152-1	ʔ a ə																		
211-1	m ɨ s ə t																		
328-1	s ə ə b ə																		
333-1	m ɨ s ɨ r																		
334-1	ʔ a ɲː b ə ʃː a																		
410-1	ʔ a rː o																		
540-1	ə b a																		
109-1	g u n tʃʼ ə																		
153-1	w ə w ə ʃː ə																		
250-1	tʃʼ ə ɲː																		
289-1	lː ɨ bː																		
326-1	m ə ʔ o																		
594-1	g ɨ j ə																		
154-1	ʔ a f ə ə ə																		
245-1	s ə s ə bː ə																		
247-1	ʔ ɨ n f ɲ r o r b t																		
286-1	tʃʼ ə g ə r																		
643-1	g ə																		
62-1	f ə lː a																		
288-1	r ɨ ʔ a s																		
416-1	tʼ kʼ ɨ ɨ h																		
5-1	g ə bː s																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m ə rː a																	
112-2		d a b ə n a																	
331-2		n ɨ g ɨ s																	
377-2		b ə fː eː tʼ r																	
381-2		ʔ a d																	
417-2		nː ɲ dʒ																	
451-2		s ə b a																	
