COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
2148											s a			z u		
2046			g e n d e		g i n d o	g e n d e		g e n d o								
3776					t aː ŋ g u			t aː ŋ g a								
5847				oː ɲ o					oː n dʒ o			oː ɲ o				o ɲ ɔ
1111					w ɛː			wː ɛː								
120													u n d ɔ			u n ɔ
768									w o s o							w o dʒ o
911			b e								b eː					
5358			w ɛː								w ɛː					
3194	t oː r̃ u													t o r̃ u		
5141	u s u	u s u					u s i									
858													g e ɲː u		dʒ e ɲ u	
1825				n u w̃ o					n u w̃ o					n u w̃ ɔ		
451													i l i j e			i lː iː
5848					j a l e			j a l e								
2581					p e ŋ g e					d a ŋ g aː	d eː ŋ g e					
5695										d a m b a			d a mː a		d a m a	
936													b ɛː		b i j a	b i
6007			p u n a		p u n a			p u n a			p u n a				p u r̃ a	
5319		t oː s u					t oː s i		t oː s u			t o dʒ u		t õː s u		
652									b i j̃ ɛ			b i j ɛ		b i w		
3013			g a					g a								
312					b a j̃			b a j̃			b a j					
2395				j e r i								j e r ĩ				j e r
963													m ɔ			m ɔ
2286					u n a			u n a			u n a					
1990						m ɛ n d ɛ	m ɛ n d i			m ɛ n d i						
3159				j a ŋ a					j ɛ l ɛ				j ɛ			j ɛ n ɛ
5020							ɛː		ɛ							
4461	j̃	j̃														
1209				r̃ a												l a
5587					p u r u g e			p u r g u								
3176	z ɔ r ɔ	dʒ ɔ r ɔ					dʒ ɔ r ɔ			z ɔː						
1479									t ɔ g u	t ɔ g u		t ɔ g u				
5690	i s oː	i s eː					i s e									
1297			s aː m b a				dʒ aː m b a									
874						k o k o						k o g o				
5036		t o r o		t o r o					t o r o			t o r o				
3090			j a w		j a w			j a w								
5497		ɛ w		ɛ w					ɛ w						ɛ w	ɛ w
4296					d u g u			d u g u			d uː r u					
1029						m a m i l i				m iː l iː						
5641				l ɛ j					l e j			l ɔ j		l e j		l ɛ j
482	dʒ e s u			dʒ e dʒ u										dʒ e s u		
5769	z uː									z u g o					z u w o	
2942				t i r u								t i r i		t i r u		
42	k i s ɛ		k i dʒ ɛ					k i dʒ ɛ								
1239						ŋ̍ gʷ ɛː		ŋ k ɛ								
1684			s i w o		s i w o							s i w e		s i w o		
870	ɛ z ɛ													ɛ̃ s a		
3625									d ɛː g ɛ							d i g ɛ
567				j i n e								ɲ i n e	n i nː ɛ			n i n ɛ
281					b a ŋ g ũː			p a ŋ̍								
2997				d a ɣ a								d a g a				d a g a
1787	n aː	n aː			n ɛː			n ɛː								
179				dʒ e j									dʒ o j̃			
2994	d u w a	d u w ɔ							t i w ɛ							
2598	j e j	j e j											iː j e			j ɛĩ
1169	g a z i													g a s u		
5574												p ɛ r̃ ɛ				p ɛ r̃ ɛ
5320			p ɔ n d ɛ		p o dʒ e			p ɔ n t ɛ								
1749						dʒ aː ŋ i									z aː n i	
96					j ɛː			j ɛ								
4778	s a s i j i	s a s i r i					t a s a		s a s a						s aː z i	
2820				ɛ w̃ ɛ								ɛ w̃ ɛ				
5228					b u n dʒ õ	b a n d i	b ɛ n d i		b ɛ n			b ɛ n				
3071			d u g ɛ								t ɔ g ɔ				t o g o	
4220	k uː			k ũː					k uː			k ũ		k u		
2517					d ɔ ŋ g a							d o g u	t u g o			
345		k u w o					k u w o									
2215			g eː n d e		a n d e			a n d e								
5109				l a ɣ a					l a g a			l a g a				l a g a
5793					ɛ m b ɛ	t e m b oː	t ɛ m b i j	ɛ m b ɛ			s o m b e					
4713				m a n a	a m a n a			a m a n a								
2393	m	m														
3016							b a r i j ɛ							b a r̃ i		
2580			k i b a					k i b a								
4850										ɔ r̃ ɔ n ɛː			ɔ r ɔ j			ɔ r ɔ j
3908								n t a			n d aː		n̩ d ɛ			
980					k e l o							k e l u				
1455						s aː g iː									s aː g e	
1918	m	m		m												
3839	n a r̃ i j̃ ɛ						n a r̃ i j̃ ɛ									
2287						i n e							ɛ n ɛ		ʔ ə n ɛ	
1722		uː j i					uː j i									
4801		d a w							d a g a				d a g i			
3665						n o							n ɔ			
873			s iː dʒ a		s i dʒ a						s i dʒ a					
5380						k a dʒ a b i							a d u b a			
200										b e j aː					b i j a	
4941	ɔ j̃ ɔ	ɔ j̃ ɔ				ɔ j ɛ	ɔ j̃ ɔ								ɔ j̃ ɔ	
5626													p ɛː n eː		p ɔː n ɔː	
5360					j ɛː			j ɛː								
4440	t i			t iː					t iː	t i				t i w		
