COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i j															
1089-1	ŋ a j															
1319-1	n̩ j															
1398-1	z u g u j i															
1557-1	g i r e															
1626-1	w a g a															
1840-1	t i j̃															
2247-1	g oː															
4677-1	k u r e j															
5162-1	m i j̃ ɛ															
5406-1	t d n j̃															
359-1	k a r i															
1577-1	g i r e															
2196-1	n̩ a j a															
2230-1	z i g e															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	o j̃ u															
4553-1	t a g i															
4822-1	k u m b															
5254-1	d u r ɔ															
503-1	k i j e															
1356-1	m a j															
1881-1	ŋ j m															
3218-1	p s j̃ u															
3372-1	ŋ a m a															
3718-1	a r a															
4135-1	b a j̃ i															
4694-1	g u j̃ u															
807-1	k o m b															
2320-1	k a ŋ ɛ															
2476-1	k z															
3719-1	m j															
4081-1	d a m b i															
4313-1	n ɛ m															
4460-1	z ɔ j															
5810-1	p i r u															
93-1	d ɔ															
260-1	b ɛ j n															
385-1	dʒ ɛ m b ɛ															
890-1	a m j j j u															
1336-1	t e g e															
1703-1	b d															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	z o															
3031-1	d ɛ g ɛ															
4591-1	t d r i															
5301-1	p ɛ r u															
5605-1	t i s n															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ k															
1788-1	s k															
2044-1	d i m b k															
2713-1	t ɛ m d n j̃ j															
3219-1	p d j̃ u															
3425-1	j ɔ															
4184-1	j̃ ɛ j															
4629-1	n u ŋ̍ ɔ															
4759-1	ŋ i j ɛ															
4904-1	ŋ u ŋ̍ a															
4960-1	g i n d dʒ i															
4980-1	t z															
5059-1	g u j o															
5339-1	p a g a															
5549-1	t a k a															
5905-1	t i j u															
5922-1	b i r n															
5938-1	a d u ŋ a															
1-1	p ɛ															
483-1	g e z u															
629-1	d ɛ j															
667-1	ɛ k ɛ															
1254-1	j̃ a j d u r u															
1415-1	j̃ r															
1542-1	ŋ j															
1683-1	z i j															
1898-1	p u j̃ a															
2901-1	t u ŋ k j															
2957-1	m a ŋ d i															
3048-1	b i j e															
3251-1	j̃ a j a															
3885-1	d ɛ j ɛ															
4402-1	j ɛ															
5622-1	p e j n̩ j m															
6006-1	p i j̃ a															
135-1	t u ŋ d															
158-1	m ɔ j̃ u															
194-1	b ɛ															
221-1	ɛ z u															
650-1	b e j̃ i															
1152-1	t i k ɛ															
1374-1	k ɔ ŋ̍ g j															
1452-1	g aː r a															
1862-1	i z i															
2083-1	k a j̃ j															
2108-1	n a j															
2636-1	m															
2924-1	p e r u															
2941-1	b i j i															
3405-1	ɛ m ɛ j															
3751-1	p ɛ j															
4066-1	g ɔ j̃ ɔ															
4535-1	s u g ɔ															
4888-1	z a m ŋ a															
5583-1	t a ŋ̍ g i															
5751-1	t i j ɛ															
5981-1	a j̃ a															
114-1	d ɔ j̃ ɔ															
851-1	k ɔ k															
1941-1	k i j i															
2179-1	n̩ d u															
2351-1	b a b a															
2496-1	ŋ ɔ j															
3482-1	m i z i d ɛ															
3497-1	n aː															
3588-1	k ɔ r ɔ															
4202-1	g o r e															
4293-1	j̃ ɔ k ɔ															
4921-1	s a m b e															
408-1	j a m b u															
545-1	i r u															
978-1	t a m															
1052-1	n aː m b u															
1070-1	r u g o															
1942-1	j e															
2456-1	k ɔ r u															
2514-1	d u z u															
2666-1	z u g i															
2817-1	a ŋ̍ g															
3132-1	d u ŋ̍															
3300-1	ɛ w ɛ															
3976-1	z t															
4152-1	k i j̃ a															
4361-1	t e g e															
4570-1	g ɔ k															
4648-1	j e															
5318-1	d ɔ r ɔ															
5673-1	d ɛ m k															
5887-1	j a j															
446-1	g e ŋ g i															
521-1	k oː dʒ a															
