COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	d a r ɨ									
35-1	h i θ u θ u									
36-1	h u θ a θ u									
48-1	n a g a i									
60-1	θ u r i									
63-1	s i r a m i									
64-1	k i									
67-1	h a									
68-1	n ɨ r									
71-1	ts i									
76-1	h u n ɨ									
83-1	θ ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i θ a r									
103-1	θ u m ɨ									
110-1	θ ɨ									
116-1	m u n ɨ									
120-1	n u m u r									
132-1	k i k u r									
139-1	k u r u s u r									
140-1	u u g u r									
156-1	θ a r u r									
168-1	θ ɨ k i									
169-1	h u s i									
170-1	m i u									
173-1	i i									
180-1	k u m u									
185-1	h a i									
186-1	m u ɨ r u									
187-1	m i a i									
190-1	a k a i									
193-1	k i r u i									
194-1	s i r u i									
195-1	k u r u i									
216-1	m a r ui									
221-1	n a									
239-1	i θ u									
252-1	m i u									
253-1	e u ɨ									
254-1	i θ ɨ θ u									
266-1	k a a ɨ									
267-1	n a g a r ɨ r u r									
268-1	ɨ m i									
272-1	a m ɨ g									
276-1	a r a u r									
281-1	m u s i									
304-1	θ ɨ a i									
305-1	ts i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
342-1	u k i									
346-1	k u r a i									
347-1	k i r i r									
348-1	h i r u i									
351-1	θ u i a									
361-1	u m u i a									
379-1	k u s a r a									
394-1	h i d a r i									
395-1	m i g i r									
400-1	h i a r u									
412-1	s a k ɨ r u r									
413-1	θ ɨ k i a									
414-1	h u r u r									
422-1	h u k u r ɨ r u									
423-1	k a ɴ g a ɨ r u									
430-1	h a k u r									
435-1	h u k u r									
446-1	s i θ a r									
447-1	ɨ a r									
458-1	θ u s i									
56-1	h i θ u									
62-1	i n u									
70-1	θ a n ɨ									
96-1	m ɨ									
101-1	h a									
114-1	k u i									
119-1	k i m u									
134-1	s i r u r u									
138-1	s i n u r									
146-1	a r u k u									
161-1	r									
182-1	k ɨ m u r i									
188-1	e a m a									
196-1	e u r u									
262-1	h i r u m a									
300-1	h ɨ u									
313-1	d ɨ r									
350-1	s ɨ m a i									
352-1	ts i k a i									
396-1	h u r ui									
401-1	u u									
420-1	u r i r r									
424-1	u θ u u r									
442-1	i m ɨ r ɨ k i									
455-1	i k i i r									
15-1	a r ɨ									
49-1	u n n a g									
130-1	m i r u									
149-1	k ɨ r u									
175-1	s u n a									
199-1	a θ ui									
230-1	a n u h θ u									
233-1	a n u h i u									
264-1	k i r i									
274-1	n u r ɨ θ a									
298-1	k ɨ g a u a									
303-1	h a r a a θ a									
354-1	a θ ui i									
369-1	k i r ɨ r									
376-1	u a r ui r									
415-1	m u s u u r									
418-1	n r									
456-1	θ ɨ n a									
59-1	ɨ u r									
118-1	i ɴ a ɕ									
142-1	θ u u r									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t a tɕ u								
48-2		n a g a i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		tɕ u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o o g u								
156-2		t a r e r u								
168-2		tɕ u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a i								
193-2		k i r o i								
194-2		s i r o i								
195-2		k u r o i								
216-2		m a r u								
221-2		n a								
239-2		i tɕ u								
252-2		m i s u								
253-2		o s u								
254-2		i tɕ u tɕ u								
266-2		k a dʑ e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e g a								
276-2		a r a u								
281-2		m u s i								
304-2		tɕ u b a								
305-2		tɕ i tɕ								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		u k i								
346-2		k u r a i								
347-2		k i r u								
348-2		h i r o i								
351-2		t oː i								
361-2		o m o i								
379-2		k u s a r a								
394-2		h i d a r i								
395-2		m i g i								
400-2		h i a r u								
412-2		s a k e r u								
413-2		tɕ u k i s a s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a m g a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		u i								
458-2		t o s i								
56-2		h i t o								
65-2		k a a								
70-2		t a n e								
75-2		k a a								
114-2		k u b i								
119-2		k i m o								
161-2										
171-2		k a a								
188-2		a m a								
196-2		o r u								
262-2		h i r u m a								
300-2		h e s o								
313-2		d e								
350-2		s e m a i								
352-2		tɕ i k a i								
396-2		h u r u								
401-2		o s u								
420-2		o tɕ i r u								
424-2		u t a u								
442-2		s i m e r u k								
455-2		i k i i r u								
22-2		n a i								
24-2		m i a n a								
49-2		o n n g								
78-2		a b u r a								
89-2		k e								
149-2		k u r u								
183-2		h i								
192-2		a o i								
250-2		h o k a n o								
264-2		k i r i								
298-2		k e g a a								
303-2		h a r a a t a								
314-2		m o s i								
354-2		a tɕ u								
369-2		k i r e r u								
376-2		u a r u								
415-2		m u s u b u								
451-2		h o k o r i								
456-2		tɕ u n a								
72-2		n i k u								
80-2		t a m a g o								
104-2		a s i								
118-2		s i m dʑ oː								
150-2		n e t e r u								
204-2		i i a i								
14-3			k o r e							
18-3			d a e							
35-3			h t o ɴ							
36-3			h u t a ɴ u							
48-3			n a g a							
60-3			t o							
63-3			s a m							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m m							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s t a							
103-3			ts u m e							
110-3			t e							
116-3			m n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o r o s u							
140-3			o a o g u							
156-3			t a e							
168-3			ts u k i							
169-3			h o s i							
170-3			m a u							
173-3			u s							
180-3			k u m o							
185-3			h a							
186-3			m o e u							
