COGID	dutch	english	french	german
1317	r ɔ t	r ɔ t n̩		
1066	j ɛɪ	j uː		
1811	b l uː t	b l ʌ d		b l uː t
1553	h uː s t ə			h ʊ s t ə n
2197	s x aː p	ʃ iː p		ʃ aː f
2107	h ɑ r k			h a r k ə
-1158	b ɑ l	b ɔː l		
995	v l ɛ x t ə			f l ɛ x t ə n
628	s p ɪ n d ə l	s p ɪ n d l̩		ʃ p ɪ n d ə l
1272	r ɔ ɣ ə	r aɪ		r ɔ ɡ ə n
1245	s x oː r + s t eː n			ʃ ɔ r n + ʃ t ai n
1212	r oː k			r au x
1546	s p yː ɣ ə	s p ɪ t		ʃ p ʊ k ə n
875	d œy z ə n t	θ aʊ z n̩ d		t au z ə n t
517	p aː r t			pf eː r t
1828	s x œy m			ʃ au m
877	w eː ɣ ə			v iː ɡ ə n
-2121	r ɔ l ə	r əʊ l		r ɔ l ə n
1047	b r ɔ n			b r ʊ n ə n
2090	v ə r + n iː t ə ɣ ə			f ɛ r n ɪ x t ə n
1952	d øː r	d ɔː r		t oː r
908	w ɑ s ə	w ɔ ʃ		v a ʃ ə n
135	x l ɛɪ d ə	s l aɪ d		ɡ l ai t ə n
1568	w ɛɪ n ə x			v eː n ɪ x
642	b ɑu w ə			b au ə n
159	h aː v ɪ k			h aː b ɪ x t
1930	b r eː k ə	b r eɪ k		b r ɛ x ə n
1065			t y	d uː
2199	k ɑ l f	k ɑː f		k a l p
-2260	p l ɑ n t ə	p l ɑː n t		pf l a n ts ə n
588	v l ɑ k		p l a	f l a x
2202	r ɑ m	r æ m		
1408	n eː m ə			n eː m ə n
711	w ɛ s p	w ɔ s p		v ɛ s p ə
1900	z iː k	s ɪ k		
-1259	d iː n eː	d ɪ n ə r		
1813	h aː r	h ɛ ə r		h aː r
1726	v ɛ l t	f iː l d		f ɛ l t
1892	x ɪ f			ɡ ɪ f t
1417	l ɛɪ d ə	l iː d		l ai t ə n
1237	ɛ ŋ k ə l	æ ŋ k l̩		
1309	l œy s	l aʊ s		l au s
276	l ɑ m	l ɑː m eɪ		l aː m
2065	r eː ɣ ə m + b oː x	r eɪ n + b əʊ		r eː ɡ ə n + b oː ɡ ə n
256	n aː k t	n eɪ k ɪ d		n a k t
850	t ɔ p	t ɔ p		
1193	b r eː t			b r ai t
858	œy t + r ɛ k ə	s t r ɛ tʃ		ʃ t r ɛ k ə n
2159	k r ɔ p			k r ɔ pf
287	t ɑu w			t au
1532	k n eː d ə	n iː d		k n eː t ə n
1267	n iː r			n iː r ə
271		l eɪ z ɪ		l ɛ s ɪ x
1411	h ɛ b ə	h æ v		h aː b ə n
650	d eː x	d əʊ		t ai k
1848	r ʉ n t			r ɪ n t + f iː
1020		s w ɔ m p		z ʊ m pf
1571	m eː n ə x t ə			m ɛ ŋ ə
1720	b uː r			b au ə r
798		s n eɪ l		ʃ n ɛ k ə
1181	m ʉ ts			m ʏ ts ə
-2284	p l aː ts	p l eɪ s		p l a ts
685		t aɪ m	t ɑ̃	
1648	s m eː d ə			ʃ m iː d ə n
801		f r ɔ ɡ		f r ɔ ʃ
420	aː r d + b eː v ɪ ŋ			eː r t + b eː b ə n
1223	p ɛ d ə l	p æ d l̩		p a d ə l
2055	b l ɪ k s ə m			b l ɪ ts
249	oː ɣ + l ɪ t	aɪ + l ɪ d		au ɡ ə n + l iː t
1518	s p ɪ ts			ʃ p ɪ ts ə
1861	s x eː d ə l			ʃ ɛː d ə l
1948	s l ɔ t			ʃ l ɔ s
-1337	v ɔ r k	f ɔː k		
