COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n			
2054-1	d ɔ n n r r			
1375-1	l ɪ k ts			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n d l v t ə r r			
1353-1	x r ɛɪ n + m ɔ ə r			
412-1	v ɑ iː ɣ ə r + m ɑ t ə r			
406-1	s w ɛɪ ɣ ə r ə ɔ t ə r			
1005-1	s t iː p v ɑ t ə r			
1012-1	s t iː p ə m ɔ ə r			
1016-1	w ɪ t ə ɣ r			
1069-1	ɪ x			
509-1	v ɔ l ə			
693-1	m uː l l iː r			
2179-1	n ɛ s t			
1753-1	v ɪ k x			
1131-1	w ɔ l f			
1198-1	b ɑ r t			
2032-1	h ɑu r			
2241-1	d aː z ə			
2244-1	l ɪ p ə			
610-1	k n ɛɪ			
945-1	h ɛ t ts			
1534-1	l ɛɪ k			
384-1	z œy ɣ ə			
1650-1	n ɔ s			
1663-1	v ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə ə			
1385-1	z ɛɪ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d ɔ ɪ ɑ ə			
2017-1	d ɑu w			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h ɑ ɣ ə l			
829-1	k l ɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	oː t aː ɑ n			
-335-1	l ɛɪ ɣ ə n			
1043-1	s t r oː m			
423-1	s t ɔ n			
2049-1	m ɛɪ n t			
2062-1	s t ɔ r m			
2065-1	r ɛɪ n + + + b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	d iː ɛɪ			
754-1	r aː n ə			
768-1	w ɛ t t r			
1211-1	v oː r r			
106-1	m ɑ n			
-98-1	b aː v eː			
719-1	v ɑ t ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɛ v iː			
409-1	s w ɛɪ ɣ ə r + z oː n			
402-1	d w aː ɣ ə r s n ɔ x t ə r			
1014-1	s t iː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s l iː r r			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s oː p			
1523-1	z ɑu w			
1521-1	b ɔ x			
512-1	m eː r aː			
2141-1	h ɛ n			
2147-1	x ɑ n s			
814-1	k r ɔ			
810-1	d ɔ v ə			
1755-1	h ɔ n t			
1758-1	m uː s ə			
1760-1	r ɑ x			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s ə			
1309-1	l ɛɪ s			
1307-1	n ɪ t ə			
1305-1	v l iː			
711-1	w ɔ s p ə			
1442-1	v l iː ɣ ə			
62-1	m ʉ x			
-73-1	m ɔ s k iː t ə			
1810-1	h ɑu t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l ɔ d			
690-1	r ʉ p			
2177-1	h ɑu d t			
246-1	w ɣ b n ɛɪ b r ɑu w			
249-1	w ɣ l ɛɪ + l iː t			
1506-1	n n z ə ə ə l ɔ x			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ ə			
1196-1	d ɛ k			
2174-1	s x l d ə r			
575-1	ɑ ɛɪ s ə h			
603-1	ɑ l + d + b oː ɣ ə			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r r			
901-1	k l uː ɣ			
608-1	v ɔ t			
596-1	t aː ə			
937-1	b r ɔ s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l iː v ə r			
1606-1	h ʉ p ə			
472-1	n ɛɪ z ə			
1535-1	z w ɛ t ə			
1546-1	s p øː k ə			
1959-1	s l iː p ə			
694-1	s n ɑ r k			
1961-1	d r ʉ m ə			
323-1	l aː v ɪ ɣ			
1885-1	x r ɑ p			
2156-1	b ɔ + k ɑ l t + ɔ ŋ ŋ			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ ŋ			
276-1	l ɑ m m			
274-1	d ɑ p			
278-1	b l ɪ n t			
258-1	b r + d r ɔ ŋ ŋ			
256-1	n ɑ k s t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɛ ŋ k			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k ɔ p ə			
1976-1	t ɔ ŋ ə			
1243-1	m ɑ l ɛɪ t			
1265-1	p iː l			
1261-1	z iː v ə			
655-1	b r s t			
650-1	d iː x			
1532-1	k aː d t ə			
-36-1	z ɔ p			
34-1	b oː n			
-1647-1	v ɛɪ ɣ			
-1615-1	h l l			
125-1	v ɑ t			
1659-1	h oː n ɪ k			
1661-1	m ɪ l k			
1676-1	b ɔ d t r			
480-1	d r + ɣ r ɛ ŋ ŋ			
1466-1	k l ɛɪ d ɔ ŋ ŋ			
2277-1	w ɔ l ə			
2271-1	v ɑ l t			
2293-1	l aː d iː r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n iː d ə l			
1185-1	s uː s t ə r ə			
1179-1	h ɛ t			
2168-1	k ɑ m			
1952-1	d iː r			
899-1	l ɛɪ d ə r			
922-1	b ɑ d			
-934-1	l ɑ m p			
916-1	t r ɔ x			
1726-1	v ɑ l t			
2108-1	p l ɛɪ ɣ ə			
1133-1	v ɔ r k			
2114-1	s p aː d ə			
1272-1	r ɔ ɣ ə			
1979-1	x r aː t			
1989-1	h aː j			
-2260-1	p l ɑ n t ə			
70-1	b eː k			
-89-1	v ɛɪ n + s t ɔ x			
-12-1	p ɛɪ p ə			
713-1	z ɑ f			
747-1	n ɛ t ə l			
308-1	d uː			
289-1	b ɪ n d ə			
1930-1	b r aː k ə			
1928-1	s p ɛ l t ə			
858-1	s t r ɛ k			
1577-1	h ɛ ŋ h ɛ ŋ ə			
908-1	w ɔ t ə			
648-1	b oː r ə			
1855-1	h ɔ l ɔ l ə			
657-1	h ɑ m eː r			
2058-1	n aː ɣ ə l			
949-1	s l iː ts m ə d			
1642-1	w ɔ l t			
1640-1	z ɪ l v ə r			
1633-1	eː z ə n			
1630-1	t ɪ n			
1469-2		s n̩ d d		
2047-2		s ɔ n		
2054-2		d ɔ n r		
1375-2		l aɪ s l̩		
760-2		w aɪ d d		
756-2		s n eɪ		
726-2		m ʌ d		
1351-2		s r aɪ t ɪ v æ d l̩		
1353-2		s r aɪ t + m ʌ d l̩		
412-2		s w aɪ n k		
406-2		s t aɪ ə m m aʊ		
1005-2		s t iː p ə		
1012-2		s t ɪ v ə m ʌ d l̩		
1016-2		w iː d + ɛ		
1069-2		ɪ k		
509-2		f ɔː l		
693-2		m ɔː l + d		
2179-2		n eɪ s t		
1753-2		f ɔ s		
1131-2		w əʊ l f		
1198-2		b ɔː r		
2032-2		h uː z		
2241-2		n əʊ		
2244-2		l iː f		
610-2		k n iː		
945-2		h ɑː v t		
1534-2		l ɪ k		
384-2		s aɪ s		
1650-2		n ɔ t		
1663-2		s əʊ d		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s ɪ d r		
792-2		j ɪ k		
1111-2		m ɔː s t		
197-2		s ɪ d		
2020-2		l ɑː ŋ		
867-2		h aʊ n d l̩		
1970-2		f ɔ l		
1230-2		d r ɪ d l̩		
2017-2		n iː w		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h əʊ v l̩		
829-2		k l ɪ f		
1025-2		w əʊ ə ɪ r		
1027-2		s ɛ		
1832-2		r aʊ		
-1816-2		s t n̩ n		
-335-2		l eɪ ɪ ɪ n ə		
1043-2		s t r aɪ m		
423-2		s t ɪ n		
2049-2		m əʊ n d		
2062-2		s t ɔ k m		
2065-2		r aɪ m b ɔ		
1368-2		s n d		
1365-2		d aʊ		
754-2		r aɪ		
768-2		w ɛ d		
1211-2		f ɔː r r		
106-2		m ɔː n		
-98-2		b ɔː v ɪ		
719-2		f æ d		
1341-2		s aɪ n		
-2027-2		d ɑː n d l̩		
-2026-2		n iː f		
409-2		s t aɪ ə n		
402-2		s t aɪ ə d ɔ t		
1014-2		s t iː v ə d ɔː t		
1059-2		w aɪ		
120-2		s t ɑː l		
2194-2		ɔ k		
2199-2		k ɑː l f		
2197-2		s əʊ v p		
1523-2		s aɪ		
512-2		m ɛ r ɪ		
2141-2		h ɪ n		
2147-2		əʊ ɑː n s		
814-2		k r eɪ		
810-2		θ aʊ v		
1758-2		m ʌ s		
1760-2		r ɑː t		
1620-2		f aɪ n		
1282-2		w ɔː l f aɪ s		
1136-2		f ɔ k		
1309-2		l əʊ s		
1307-2		n iː t		
1305-2		f l aɪ		
711-2		w ɛ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ɪ s k ɪ t		
1810-2		h aɪ		
1805-2		f l iː s		
1813-2		h ʊ ə r		
1811-2		b l aɪ		
690-2		r ɪ p		
2177-2		h iː f		
246-2		ɡ əʊ ŋ + b r ɪ		
249-2		ɡ əʊ ə d d m aɪ		
1506-2		n ɪ ə n̩ l + ɪ l̩		
2242-2		m aʊ n d		
2245-2		t ɔ ŋ		
2174-2		s aʊ d		
603-2		ɔː l n ɔː əʊ		
601-2		h ɑː n d		
615-2		f aɪ ŋ l̩		
901-2		k l əʊ		
608-2		f ɔ		
596-2		t ɪ n		
937-2		b ɔː r s t		
936-2		n ɪ v l̩		
646-2		l ɔ ŋ		
947-2		l iː l̩ r		
1606-2		h iː p		
472-2		n iː		
1535-2		s w ɛ t		
1546-2		s p + k		
