COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d ə			
1375-1	l ɪ x			
760-1	w ɪ n d			
756-1	s n aː			
726-1	m ɔ t ə r			
1351-1	x r ɛɪ n d ə ɑ t			
1353-1	x r ɛɪ n + m ɔ t ə r			
412-1	z w ɛɪ k r r eː l ə			
406-1	z w ɛɪ ɣ ə r + ə r t ə			
1005-1	s t eː p + v aː d ə r			
1012-1	s t eː p + m ɔ t ə r			
1016-1	w eː t r			
1069-1	ɪ ə			
509-1	v ɑ l			
693-1	m uː l l			
2179-1	n ɛ s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː r d			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n ɛɪ			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə ə			
1385-1	z aː d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d r d t			
2017-1	n eː ɛɪ			
968-1	w ɛ l d			
1674-1	l ɑ n d			
1671-1	h iː ɣ ə l			
829-1	k l ɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	h t d aː n			
-335-1	l ə x ɛɪ n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m ɛɪ n t			
2062-1	s t ɔ r m			
2065-1	r aː n + ə aː k oː			
1368-1	s ɑ d ə			
1365-1	d ɑu ɛɪ			
754-1	r aː n ə			
768-1	w ɛ t ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b aː b ɛɪ			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɛ v ə ɛɪ			
409-1	z w t ə n + l uː n			
402-1	d x ɛɪ ɣ ə r ɛɪ n + l t ə			
1014-1	s t eː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l l			
2197-1	s aː p			
1523-1	z ɑu w			
1521-1	b ɔ k			
512-1	m ɛ r aː			
2141-1	h ɛ n			
2147-1	x ɑ n t			
814-1	k r ɛɪ			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m uː s			
1760-1	r ɛɪ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n ɪ t			
1305-1	v l ɛɪ			
711-1	w ɔ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ k			
-73-1	m ɔ s k iː t ɔ			
1810-1	h ɑu t			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l ɔ d			
690-1	r ɪ p ə			
2177-1	h s p			
246-1	d t ə r eː k r			
249-1	d w l ɛɪ d ə			
1506-1	n ɔ s ə ə + l			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	d ɑ k			
2174-1	s x l d ə r			
575-1	ɑ k t l +			
603-1	ɛ l + ə aː k oː			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r r			
901-1	k l uː			
608-1	v ɔ t			
596-1	t aː x			
937-1	b r ɔ s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l ɛɪ v ə r			
1606-1	h œy p			
472-1	d n eː ə			
1535-1	z w ɪ t			
1546-1	s p ɔ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r			
1961-1	d r iː m ə			
323-1	l aː v ə			
1885-1	x r aː v			
2156-1	k r l k l ə			
1903-1	w ɛɪ n d ə			
525-1	z w ɛ l ɛɪ ŋ			
276-1	l aː m ɛɪ			
274-1	d ɑu p			
278-1	b l ɪ n d			
258-1	b ə + d r r ŋ k			
256-1	n ɑ k t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɔ ŋ ə			
1243-1	m aː l ɛɪ t			
1265-1	p iː l			
1261-1	z iː v ə			
655-1	b r s t			
650-1	d eː k			
1532-1	k n d t ə			
-36-1	z ɔ p			
34-1	b oː n			
-1647-1	v ɛɪ x			
-1615-1	ɔ l l			
125-1	v ɑ t			
1659-1	h oː n ɛɪ			
1661-1	m eː l k			
1676-1	b ɔ t ə r			
480-1	d ə + ɛ r eː k k			
1466-1	k l ɛɪ ŋ d ɪ			
2277-1	w ɔ l			
2271-1	v ə l t			
2293-1	l aː d ə r			
624-1	s p ɪ n			
628-1	s p ɪ n d ə l			
626-1	w iː v ə			
633-1	n aː d ə l			
1185-1	s x s t ə r eː			
1179-1	h ɑu t			
2168-1	k ɑ m			
1952-1	d uː r			
899-1	l ɛɪ d ə r			
922-1	b eː d			
-934-1	l ɑ m p			
