COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
251		j au ʔ ⁵²			j o k ⁵⁵	j au k	j u ʔ ⁴
73	dʒ ei ⁵⁴			dʒ i t ⁴⁵		ts eˀ	dʒ i ⁴
502	b u ³		b o ³	b o ³	p a ³¹	p aː	
115	dʒ ɔ ³		d z ə ⁴³				
323				kʰ j u m ⁴³		kʰ a p	
479					j ɔ ŋ ⁵⁵	h r a ts	
349	d u k ⁴²		d o k ³	d au t ⁴²			
131	ŋ a t ³¹		ŋ ai t ³	n a ³²			ŋ a t ³²
232	p ṵ ʔ ⁵⁴		b u ʔ ⁵³	b au ³			b u ³
140		sʰ a ²³		ʃ ɪ ⁴			ʃ ɔ ⁴³
448	dʒ au ʔ ³¹	ts a̰ ʔ ⁵²	dʒ a ʔ ⁵³	d z ɔ ³²			d z a ŋ ³
434						t w i k	tʰ w i ⁵³
329	m a ŋ ⁵		m a ŋ ³⁴	m a ³⁴³	m ɔ ŋ ³¹		
454	d z w i ³		d z ɨ ²¹	d z ø i ⁵			d z w i ⁵³
104	l a ³		l a ²				l u m ⁴
113	g au ³⁴		k au ²			k au ŋ	
182	n ɔ̰ ³¹		n ɔ̃ ³	n ɔ ³		h n a	
240			tʃʰ a m ⁵⁴	tʃʰ e ⁴²			tʃʰ a m ³²
419				kʰ e ʔ ⁵⁴		kʰ dʒʷ eː	
512	j ɔ ⁴²		j u ⁴²	j o ³²		j a	j ɔ ³¹
377	t ɔ̰ ⁴⁵		d ɔ ³⁴	t o̰ ʔ ⁵			t ɔ̰ ⁵⁴
381	dʒ ɛ t ⁵⁴			dʒ i t ⁵			
191	k ṵ k ⁵⁴		g o k ⁵³			k a m	k ṵ ʔ ⁵
407	s u ⁵	ts o̰ ²³	s ɔ ⁴	s u ⁵			s ɔ ⁵²
343	j w a t ⁴²		j oi ʔ ²	v w e ³⁴			
84	tʃʰ a ³		tʃʰ a ⁵⁴				
451			s ai ⁵²	s e ʔ ⁵⁴		s e	s a t ⁵⁴
503	tsʰ ɨu ³		tsʰ u ³²	tsʰ au ³²		tsʰ u	tsʰ u ⁴³
5	m ṵ ⁵	m ə ⁵²	m ɔ ⁵³				m ɔ ⁴
364				dʒ au ²		tsʰ w i	
437			n j æ̃ m ⁵⁴	m j æ ṵ k ⁵³		h ɲ a p	
452				m i ⁴			m i ³
531	tsʰ au ⁵		tsʰ au ³	tsʰ o ʔ ⁵⁴			
440			d z o ŋ ⁴	d z a̰u ʔ ⁵³		ts w i k	
566			g j ɛ ³¹	k j ɛ̰ t ⁵³			
158	b au ³				p u ³¹	p w iː	b au ³¹
457	b ai ʔ ³¹		b ə k ²	b a k ³²		p a ts	
534				n o ʔ ³⁴	ɲ o ⁵⁵		
10			w ɔ ⁵¹		w a ʔ ⁵⁵	r w a	
399	k j ɛ̰ n ³		g j ẽ ŋ ³²	g ɪ n ⁴¹		kʰ r a ts	g i n ³¹
190	dʒ i ⁴³	ts i ²³			s i ³¹		dʒ i ³
59			g j ɛ m ⁵³	dʒ a m ⁴			
304				k a̰ ŋ ³²		kʰ a ɲ	
557	d z ɔ ⁵	t a ⁵²	d z ɔ ⁴⁵			tsʰ eː	
265				ʔ o k ⁴²			ʔ a̰u ⁵³
96		n a k ⁵²	n o k ³²				n u ʔ ³⁵
177	g au ⁵		g au ⁵		k o ³¹		
45	s i ⁵					s a	s u ³⁵
21		k a ŋ ³	g j o t ⁵²	g a ³¹			g j ɔ ⁴
287			d w a ŋ ³¹			t a ŋ	d ɔ ŋ ³¹
554	dʒ ṵ a̰ t ⁵⁴		dʒ w e ʔ ⁵³				
459	kʰ a t ⁵²		kʰ a̰i ʔ ⁵¹				kʰ a t ⁵⁴
378	n j ḛ k ⁵²		m j ɛ̰ ʔ ⁵²	m ḭ t ⁵⁴		m eˀ	m ḭ ⁵³
229	pʰ ə ⁵		b w e ⁵³	p a̰ t ⁵		p u	
160		k o ŋ ⁵²	g a ŋ ³²	g a ³²			g ɔ ŋ ³²
574			ŋ o̰i ³¹	ŋ a t ³²			
36			b a ŋ ²³	b a ŋ ³		p a ŋ	b a ŋ ³
129					kʰ w e ⁵⁵		kʰ w i ³²
467			tʃʰ j ɛ ²	tʃʰ i ⁴			
88	n j ṵ k ³⁵		m j o k ⁵⁴	m j æu ʔ ³²			m j u ʔ ⁵³
546	ŋ ɛ ⁵						n j ɛ ³²
461				p j ḛ ⁵⁴		pʰ j a k	
416	d ɨu ⁴³						d u n ⁵³
303	l ṵ ⁵		l o ⁴			l u m	
570	n a̰ m p ⁵²		n æ̰ p ⁴²				n a̰ m ³²
446	l a̰ p ⁴²		l æ̰ p ³²	l ḛ ʔ ⁵⁴			l a̰ p ⁵⁴
110	s a n ³		s ɨ ⁵		ʃ e ʔ		tʃʰ ɪ ŋ ⁵³
488	j a m ⁵		j æ̰ m ⁴			ʔ ə	ʔ a̰ m ³¹
324	j a p ⁴²		j æ p ³				v a p ⁵
260			n o ŋ	m ḭ ⁴²		m iˀ	
63		kʰ i ³	g a m ³¹	g e ⁴¹			g a m ⁵³
560	b ɔ ³¹		b ɔ ⁵¹	b o ³			b ɔ ³¹
486	ʃ ɔ ³⁵		ʃ ɔ ʔ ⁵³				
492	g ɔ ⁵		g ɔ ³	g au ŋ ³			
243	j ei ³¹		j e ⁵¹		ɹ i	r e	
520		tʃʰ ḛ ³	d z i ⁵¹	tʃʰ e ⁴¹			ʃ i ⁵³
53			dʒ ɔ ʔ ³	dʒ o ʔ ³²			
519	h ai ³		h ɛ ³		h ai ŋ ⁵⁵		
411			d ø m ³¹	d a m ³			d au
423	j au ³¹		j au ³¹	j o̰ k ⁵		k j aˀ	ʔ ʊ̰ t ⁵
47			m j ḛ ⁴³	m a ³²	m u		m w i ⁵²
198		ʃʰ a ⁵²		ʃ ɔ ⁵¹			m w i ³¹
161	s o t ⁵			s ai t ⁵			s ʊ t ⁵
533			m au ²			h m au ŋ	m a ³²
222			tʃʰ æ p ⁵³	tʃʰ ɛ ʔ ⁴³			
204	tʃʰ a m ⁵		tʃʰ æ m ⁴			ts eˀ	tʰ a ŋ ⁵³
176	g u ŋ ³¹		g o ŋ ⁵²			k a ŋ	
372			m au ʔ ³¹	m o̰ k ⁵⁴			m a̰u ⁵²
319	b a n ³¹		b ãɪ ⁵¹	b a n ³¹		p a n	
317	m ɔ t ⁴²		m oi ʔ ³				
99	h u ⁵		h ø ⁵	h au ³			h u ³
366	g j ɔ ⁵		g j ɔ ³	g j ɔ ³²			
444				j a ⁴		p r a	p j a̰ ŋ ⁵³
415	tʰ ə ʔ ⁵³		tʰ ɨ ʔ ⁴²	tʰ au ŋ ⁴			
468	d j ei ³			b ḭ ʔ ⁵⁴		p eː	b i ⁵³
267	s ai n ⁴³			s a ŋ ²¹			
208	n o ŋ ⁵		n o ŋ ⁴⁵			n au k	
406	tʰ u k ⁵³		tʰ o ʔ ⁵³	tʰ au k ⁵⁴		tʰ au k	tʰ u ʔ ⁴³
572	d j e ³			d au ⁵¹			
151	b ɛ ³		b ə ³			b a	
466						h l ai	l u m ⁵³
328			d z ə ŋ ⁵¹	ts a̰ ŋ ⁴¹			d z i ŋ ⁵
354	dʒ ei ³		dʒ e ⁴³				
462		p ḛ ʔ ²³	p j æ̰ p ³¹				b j ɔ ʔ ³
199	d j ɔ̰ ³		j ɔ ⁴³		j a ʔ ⁵⁵		
350			b i ⁴⁵				b e ³²
15			g w ɛ m ³			k r w iː	g u m ⁵³
493	j i ⁵		j i ³	ɣ i ³⁵			β w i ⁴
268	pʰ ɔ ʔ ³¹			pʰ o ³			
