COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m ɔ ⁵						
4-1	l ɔ ⁵						
18-1	m j a ŋ ⁵						
19-1	n ɛ ³						
44-1	l u k ³¹						
50-1	h a ŋ ⁵						
62-1	s u k ⁵						
70-1	b a n ³						
75-1	m j ɔ ʔ ⁴²						
97-1	tʃʰ a ŋ						
112-1	tsʰ ɔ ⁵						
122-1	m j u k ⁴²						
127-1	kʰ w ei ⁵						
132-1	j a ʔ ⁴²						
133-1	n u ⁵						
135-1	n au ⁵						
142-1	d z i ³						
143-1	ŋ a ʔ ⁴²						
149-1	j ɛ ⁵						
152-1	ŋ a ⁵						
157-1	pʰ u ⁵						
183-1	ʔ u ⁵						
184-1	n u k ʔ						
185-1	dʒ a m ³						
189-1	n j u ʔ ³						
192-1	n j ³ ³						
195-1	n a ³						
200-1	dʒ a ³ ⁵						
216-1	s a ŋ ⁵						
218-1	l ɔ ʔ ³						
225-1	s a ŋ ⁵						
235-1	kʰ j ei ³						
244-1	s w i ³						
253-1	m j i						
270-1	m i ⁵						
278-1	m j ḭ ³						
279-1	j ɔ ⁵						
285-1	j ɔ m ³						
308-1	d w a ⁵						
322-1	m i ⁵						
325-1	kʰ u ⁵						
337-1	m j a ŋ ³						
341-1	d z ɔ ³						
347-1	ʃ u ʔ ⁵						
362-1	j a ³ ³						
391-1	j ɔ a ³						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ i ³¹						
443-1	n j j k ⁴²						
460-1	s a t ⁴²						
463-1	j i a ³						
464-1	j u ŋ ³						
473-1	s ɔ m ³						
476-1	kʰ j ṵ k ³						
481-1	tsʰ a ³						
494-1	dʒ i ⁴³						
496-1	h j a̰ ḭ ³						
516-1	j a ³						
522-1	n u ʔ ³¹						
523-1	pʰ j j ³						
524-1	n a ³						
540-1	kʰ a ⁵						
3-1	b a i ³						
6-1	k a ³						
7-1	dʒ a m ³						
20-1	n a p ⁴²						
51-1	ŋ a ³ ³						
64-1	k ɔ ŋ ³						
65-1	k u k ⁵⁴						
66-1	d z u ⁵						
71-1	ʃ i ⁵						
72-1	ʔ a ³						
76-1	j ɔ ⁵						
77-1	m a ɔ ⁵						
78-1	m ɔ ɔ						
82-1	pʰ u ŋ ³						
87-1	ŋ j ³ ʔ						
93-1	l a m ³						
94-1	m j a ³						
100-1	s ɔ a ⁵						
116-1	l a ⁵						
119-1	j a m ³						
124-1	pʰ j ɛ ³						
136-1	l a i ⁵						
137-1	kʰ j ɔ i ³						
144-1	s w t ³¹						
145-1	d u ŋ ⁵						
146-1	m ɔ ʔ						
150-1	j j ɔ ʔ ³						
154-1	m j ɔ ³						
165-1	dʒ j a ³						
166-1	pʰ j ɔ ³						
169-1	g j a ŋ ⁵						
170-1	d j ɔ ³						
171-1	j a ŋ ³						
174-1	l a m ³						
181-1	n j ɔ ʔ ⁵						
193-1	b u ⁵						
205-1	n ɛ t						
206-1	m j a ⁵						
212-1	tʃʰ ɔ ʔ ³¹						
214-1	l a m ³						
217-1	j u ⁵						
224-1	n j i ⁵ ⁵						
228-1	b u ⁵						
238-1	j ɔ ³						
241-1	ʃ ɔ ⁵						
246-1	dʒ j i ³						
256-1	ʔ a ³						
257-1	pʰ u ʔ						
272-1	m ɔ ⁵						
273-1	ʔ a ³						
274-1	m a ³						
286-1	kʰ a m ³						
289-1	kʰ u ŋ ⁵						
294-1	ʔ u ⁵						
301-1	j ɔ ʔ ⁴²						
306-1	kʰ j a p ⁴²						
307-1	ŋ a p ⁴²						
321-1	tʰ a ŋ ³						
331-1	m j ɔ ³						
332-1	l a m ³						
335-1	g j ɔ ³						
336-1	n a m ³						
340-1	ŋ ɔ ³						
342-1	n j w i ³						
360-1	dʒ w a ⁵						
376-1	s a a						
389-1	n ɛ k ⁵						
395-1	n a ⁵						
401-1	dʒ i ³						
404-1	d z u ŋ ⁵						
408-1	d u ³						
409-1	l a ʔ						
413-1	d w ŋ ³ ³						
421-1	n j u ʔ ³						
425-1	b j ³						
430-1	tʃʰ i ³¹						
442-1	d u ³						
447-1	tʰ u ŋ ⁵						
456-1	g ɔ ⁵						
458-1	ʃ u ⁵						
469-1	kʰ j ⁵						
470-1	d a ʔ ³						
475-1	ŋ a ³						
477-1	n j a t ⁵⁴						
478-1	ʃ a t ⁵						
480-1	g ɔ ³						
485-1	n j a ʔ						
495-1	ŋ j ³						
499-1	m j a ŋ ³						
500-1	n j a ³						
501-1	tʰ u ⁵						
506-1	dʒ a p ⁴²						
507-1	n ɔ ʔ ³¹						
509-1	l u ŋ ⁵						
510-1	b j a ŋ ⁵						
511-1	l ɔ ʔ ³¹						
521-1	h a ³ ³						
525-1	n j w a ³						
538-1	tʃʰ w ɔ ³						
539-1	dʒ ɛ ³ ³						
544-1	dʒ j u ʔ						
550-1	tʰ ɔ ʔ ⁴²						
562-1	n j u ŋ ³						
568-1	g i ³ ³						
2-1	kʰ u ŋ ³						
11-1	s u ŋ ³						
12-1	j j a ³						
22-1	g ɔ ŋ ³						
28-1	b a a						
29-1	tʰ u ʔ ⁵⁴						
30-1	j a ŋ ³						
35-1	l a ŋ ⁵						
38-1	dʒ a ⁵ ³						
42-1	pʰ j t						
46-1	tʃʰ ɔ ³						
52-1	d ɔ ʔ ⁴²						
55-1	b a m ³						
69-1	d u ʔ ⁵⁴						
79-1	dʒ j a ³ ³						
83-1	tʃʰ w ³						
86-1	j a ʔ						
89-1	s a ŋ ⁵						
90-1	pʰ ɔ ʔ ³						
91-1	ʔ a n ³						
92-1	kʰ a t						
106-1	g ɔ k ³						
120-1	tʃʰ a ³						
125-1	dʒ ɔ ʔ ³						
148-1	d a ŋ ³						
173-1	pʰ a ³						
179-1	ʔ u ⁵ ³						
186-1	ŋ ɛ ³						
187-1	l a ŋ ³						
197-1	n j t ³¹						
209-1	kʰ u ŋ ³						
210-1	j a m ³						
211-1	d u ⁵						
213-1	n a k ³						
215-1	tʃʰ w t ⁴²						
220-1	tʰ u ŋ ⁵						
237-1	ʃ a ³						
239-1	n a m ³						
242-1	tsʰ a ³						
248-1	kʰ j ³¹						
255-1	d j a ³						
271-1	tʃʰ w i ³						
275-1	n a ŋ ⁵						
277-1	tʃʰ w ³ ³						
295-1	kʰ u ʔ ⁴²						
302-1	tsʰ ɔ ³ ³						
309-1	l u ʔ ⁴²						
312-1	ʔ ɔ ⁵						
313-1	m ɔ a ⁵						
314-1	tsʰ a m ³						
315-1	tʃʰ a ŋ						
330-1	l i ³						
333-1	ʃ a ŋ ³						
338-1	m j ɔ ʔ ⁴²						
346-1	ʃ w a ³						
348-1	dʒ ɛ ³¹ ⁴²						
353-1	d z ɔ ³¹						
356-1	h a m ³						
357-1	s ɔ ʔ ⁴²						
358-1	ʃ a ³						
361-1	j a ʔ ³¹						
378-1	m j a						
379-1	kʰ j ³ ³						
388-1	g j u k ³¹						
390-1	j ɔ ⁵						
398-1	j a ³						
399-1	k a ³ ³ ³						
400-1	n a n						
403-1	b j a ³						
405-1	j a p ⁵⁴						
406-1	tʰ u ʔ ⁵⁴						
407-1	s ɔ ⁵						
410-1	w a ŋ ³						
414-1	l a ŋ ³						
418-1	g j ɔ ⁵						
423-1	j ə a ⁵						
431-1	g ɔ ŋ ³						
435-1	kʰ ɔ ʔ						
438-1	tʰ ɔ ʔ						
448-1	d z a ⁴²						
449-1	dʒ ṵ u ³						
453-1	m ɔ ⁵						
465-1	tʰ e ³						
471-1	j u k ⁴²						
472-1	dʒ i ³						
474-1	m i ³						
482-1	ʃ u ³						
502-1	b a ⁵						
503-1	tsʰ u ⁵						
505-1	l a m ³						
512-1	j ɔ ⁵						
515-1	d a ³ ³						
529-1	ʔ a ³						
530-1	s ɔ k ⁴²						
535-1	b a ³						
536-1	d u ŋ						
542-1	b j a t						
561-1	n ɛ a ³						
563-1	dʒ i t						
569-1	kʰ a ʔ						
5-1	m ɔ ⁵						
16-1	j a k ⁴²						
27-1	d z a n ³¹						
40-1	tʰ a m ³						
41-1	b ɔ ʔ						
1-2		m au ²³					
4-2		l a ²³					
18-2		m i ³					
19-2		n a ⁵²					
44-2		l a ʔ ²³					
50-2		kʰ a ³ ³					
62-2		a ʔ					
70-2		p a ³					
75-2		m j a ²³ ²³					
97-2		tʃʰ a ŋ					
112-2		x a ²³					
122-2		m j a ʔ					
127-2		k j i					
132-2		p a ʔ ⁵²					
133-2		n a ²³					
135-2		n a ²³					
142-2		t i ⁵²					
143-2		n ²³ ²³					
149-2		k a ²³					
152-2		n a ⁵²					
157-2		p a ²³					
183-2		ʔ i ²³					
184-2		n a ʔ					
185-2		x a m					
189-2		m j a ʔ					
192-2		n a ⁵²					
195-2		n i ²³					
200-2		kʰ i ⁵²					
216-2		i ²³ ²³					
218-2		l a ʔ					
225-2		i ²³ ²³					
235-2		k j i ³					
244-2		a ⁵²					
253-2		m ⁵² ²³					
270-2		m i ²³					
278-2		m j ²³ ³					
279-2		ɣ i ⁵²					
285-2		ɣ a ³ ³					
308-2		p a					
322-2		m ⁵² ⁵²					
325-2		k au ²³					
337-2		m j a ŋ					
341-2		t a					
347-2		tʃʰ a ʔ ²³					
362-2		ɣ i					
391-2		ɣ au ²³					
394-2		m a ʔ ⁵²					
397-2		i ²³					
443-2		m j ɛ ²³					
460-2		i ²³					
463-2		ɣ i ³					
464-2		k a ŋ ²³					
473-2		a m					
476-2		k j a ʔ					
481-2		x i ³					
494-2		kʰ i ²³					
496-2		kʰ a i ²³					
516-2		ɣ i ²³					
522-2		n a ʔ ²³					
523-2		p j au					
524-2		n a					
540-2		k a ²³					
3-2		p a i					
6-2		kʰ i i					
7-2		ts a ³					
20-2		n a ²³					
39-2		m j i					
51-2		ŋ a ⁵²					
72-2		ʔ i ³					
94-2		m j i					
100-2		a ³					
116-2		l a					
136-2		l i ⁵²					
137-2		k j a i ³					
139-2		m ⁵² ²³					
150-2		kʰ j a ʔ					
154-2		m j i					
166-2		p j a					
169-2		k j i ŋ					
170-2		p j a ³					
171-2		j a ŋ					
174-2		l a ³					
181-2		m j a ʔ ²³					
205-2		n a ²³					
206-2		m au ²³					
214-2		l a m					
217-2		k a ⁵²					
224-2		n j a i					
228-2		p a ²³					
246-2		kʰ j i ³					
256-2		ʔ i ³					
257-2		p a ²³					
273-2		k a ³					
286-2		k a m					
307-2		k a ²³					
335-2		kʰ j i					
342-2		m j a i					
376-2		i ³					
389-2		n a ʔ ³					
404-2		t a a ŋ ³					
408-2		t a ³					
413-2		t a i					
421-2		m j a ʔ					
430-2		tʃʰ i ²³					
458-2		tʃʰ a ²³					
470-2		t a ³					
475-2		n a					
477-2		n j i ²³					
478-2		sʰ i					
480-2		kʰ au ²³					
485-2		m j a ³					
495-2		ŋ w					
499-2		m j i ŋ					
500-2		n j a ³					
506-2		ts w i					
509-2		l i ³					
525-2		n j a i					
22-2		kʰ a ŋ					
28-2		p a ⁵²					
29-2		ts a ʔ					
30-2		k a ŋ					
35-2		l a ŋ					
38-2		ts a a					
46-2		tʃʰ a					
52-2		t a ʔ					
55-2		p a m ⁵²					
69-2		kʰ a ʔ					
125-2		kʰ i a ²³					
163-2		tʃʰ i ³ ²³					
173-2		p a ³					
179-2		ʔ a ⁵²					
210-2		ɣ a m ³					
211-2		t a ⁵²					
213-2		n a ʔ					
215-2		x a ʔ					
237-2		tʃʰ i ³					
252-2		kʰ i ⁵²					
255-2		p w i					
275-2		n a					
281-2		k j a ⁵²					
300-2		kʰ i ³					
333-2		tʃʰ a m					
390-2		j a ⁵²					
400-2		n a ³					
403-2		p j a					
407-2		a ²³					
414-2		l a ŋ					
418-2		k j a ²³					
448-2		t a a					
472-2		k i ³					
474-2		m ⁵²					
505-2		l a ³					
517-2		ts i ŋ ³					
5-2		m a					
21-2		kʰ i a					
23-2		j i ²³					
24-2		ʔ a ²³					
34-2		k i					
1-3			m au ³				
4-3			l a ³				
18-3			m j ³				
19-3			n o ʔ				
44-3			l o ʔ ³				
50-3			h a ŋ				
62-3			s o ʔ ⁵				
70-3			b a ŋ ³				
75-3			m j ɔ ʔ				
97-3			tʃʰ a ŋ ⁴				
112-3			dʒ ɔ ⁴				
122-3			m j o ʔ ³				
127-3			kʰ j e ³				
132-3			j ɔ ʔ ³				
133-3			n ɔ ³				
135-3			n au ³				
142-3			d z ɔ ³ ³				
143-3			n k ʔ ⁵³				
149-3			j ɔ ʔ				
152-3			n ə ʔ				
157-3			b o ⁴				
183-3			ʔ o ⁵				
184-3			n o k ³				
185-3			dʒ a m				
189-3			m j ɔ ʔ ³				
192-3			n j i				
195-3			n ɔ ³				
200-3			g a ʔ				
216-3			s a ŋ ³				
218-3			l ɔ ʔ ³				
225-3			s a ŋ ⁴				
235-3			kʰ j e ³				
244-3			s e ³				
253-3			m j e				
270-3			m j ³				
278-3			m j ŋ ŋ				
279-3			j ɔ ³				
285-3			j o m ³				
308-3			d j u ³				
322-3			m oi ⁴				
325-3			kʰ o ⁴				
337-3			m j a ŋ				
341-3			d z ɔ				
347-3			dʒ o ʔ ⁵³				
362-3			j e ³				
391-3			j o ʔ ⁵³				
394-3			m ɔ ʔ ⁵³				
