COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l a ⁵						
18-1	n j ɔ̰ ŋ ⁵						
19-1	n j ³¹						
44-1	l u ʔ ⁵						
50-1	l a ŋ ŋ						
62-1	s a k ⁵						
70-1	b a n ³¹						
75-1	m j ɔ ʔ ³						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ ɔ ⁵						
122-1	m j u k ³¹						
127-1	kʰ w i ⁵						
132-1	w ɔ ʔ ³¹						
133-1	n ɔ ⁵						
135-1	n au ⁵						
142-1	d z i ³						
143-1	ŋ a ʔ ³¹						
149-1	j u ⁵						
152-1	ŋ ɔ ⁵						
157-1	b ɔ ⁵						
183-1	j u ⁵						
184-1	n u ʔ ʔ						
185-1	tsʰ a m ³						
189-1	m j ɔ ʔ ³¹						
192-1	n j ³ ³						
195-1	n a ³						
200-1	dʒ a n						
216-1	s a ŋ ⁵						
218-1	l ɔ ʔ ³						
225-1	s a ŋ ⁵						
235-1	kʰ j ei ³¹						
244-1	s w i ³						
253-1	m ei ³						
270-1	m i ³						
278-1	m j ŋ ŋ						
279-1	j ɔ ⁵						
285-1	j a m ³						
308-1	d j i ³						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	m j a ŋ						
341-1	d z ɔ ⁵						
347-1	ʃ u ʔ ⁵						
362-1	j i ⁵						
391-1	j u p ³						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ṵ p ³						
460-1	s a t ⁴²						
463-1	j i i						
464-1	j u ŋ ³						
473-1	s a m ³						
476-1	kʰ j u k						
481-1	tsʰ a ³						
494-1	dʒ j ³						
496-1	l j ɛ ḭ						
516-1	w a ³						
522-1	n ɔ ʔ ³						
523-1	n j ṵ ɔ̰						
524-1	n i ʔ						
540-1	kʰ ɔ ⁵						
3-1	b j i ³						
6-1	k j ³						
7-1	dʒ u m ³						
20-1	n a p ³¹						
51-1	ŋ u n						
64-1	g ɔ ŋ						
65-1	kʰ u k ⁴²						
66-1	d z u						
71-1	ʃ i ⁵						
72-1	ʔ a ³						
76-1	w ɔ ⁵						
77-1	m j t ⁵						
78-1	m au ³						
82-1	pʰ u ŋ ⁵						
87-1	ŋ ɔ ʔ						
93-1	l a m ³						
94-1	m j ei						
100-1	s w n ⁵						
116-1	l ṵ ⁵						
119-1	w a m ³						
124-1	pʰ j ɛ ³						
136-1	l j i						
137-1	kʰ j u ⁵ ³						
144-1	s o t ⁴³						
145-1	d u ŋ ⁵						
146-1	m a̰u ʔ						
150-1	j j ɔ p ³						
154-1	m j ɔ̰ ⁵						
165-1	kʰ j n m						
166-1	pʰ j ɔ ³						
169-1	g j a̰ ŋ ³						
170-1	b j ɔ ³						
171-1	j a ŋ ³						
174-1	l a m ³						
181-1	m j ɔ ʔ ³¹						
193-1	b a ³						
205-1	n a t ⁵						
206-1	m j ʔ ⁵³						
212-1	tʃʰ ɔ ʔ ³¹						
214-1	l ɔ m ³						
217-1	j u ⁵						
224-1	n j w ḭ ⁵						
228-1	b u ŋ						
238-1	j au ⁵						
241-1	ʃ a ⁵						
246-1	kʰ j ɛ ³						
256-1	ʔ a						
257-1	pʰ ə ʔ						
272-1	m j ⁵						
273-1	ʔ a ³						
274-1	m a ŋ						
286-1	kʰ a m ⁵						
289-1	kʰ u ŋ ⁵						
294-1	ʔ u ⁵						
301-1	j ɔ ʔ ⁵						
306-1	kʰ j ṵ p ⁴²						
307-1	ŋ ɛ p ⁵⁴						
321-1	dʒ a ŋ ⁵						
331-1	m j ɔ ³						
332-1	l a̰ m ³						
335-1	g j ɔ ³						
336-1	n a m ³¹						
340-1	ŋ au ³¹						
342-1	n j ṵ ⁵						
360-1	tʃʰ a ʔ ³						
376-1	s a a						
389-1	n j ʔ ³¹						
395-1	n ɔ ⁵						
401-1	ʃ ei ³¹						
404-1	d z u ŋ ³						
408-1	d ɔ ³						
409-1	l ɔ ³¹						
413-1	d w n n						
421-1	n j a p ³						
425-1	b j ei						
430-1	tʃʰ ei ⁵						
442-1	d u ⁵						
447-1	tʰ a ŋ ⁵						
456-1	g ɔ ⁵						
458-1	ʃ u ⁵						
469-1	kʰ au ⁵						
470-1	d a p						
475-1	ŋ a ³						
477-1	n j t ʔ ⁵⁴						
478-1	dʒ a t ⁵³						
480-1	g au ⁵						
485-1	m j ɔ ⁵						
495-1	ŋ j ³						
499-1	m j a̰ ŋ						
500-1	n j a ³						
501-1	tʰ ə ʔ						
506-1	dʒ a p ⁴²						
507-1	n ɔ ʔ ³						
509-1	l j ŋ ⁵						
510-1	b j a ŋ ⁵						
511-1	l ɔ ʔ ³						
521-1	h au ⁴³						
525-1	n j ṵ ⁵ ³						
538-1	tʃʰ w ⁵ ³						
539-1	dʒ j n ⁵						
544-1	g j ṵ ʔ						
550-1	tʰ a ʔ ⁴³						
562-1	m j u ŋ ³						
568-1	g j ŋ						
2-1	kʰ u ŋ ³						
11-1	s a ŋ ³						
12-1	j ɔ ⁵						
22-1	g u ŋ						
28-1	b a ³¹						
29-1	tʰ a ʔ						
30-1	w a ŋ ³						
35-1	l a ŋ ³¹						
38-1	dʒ o ŋ						
42-1	pʰ ə ⁵						
46-1	tʃʰ ṵ						
52-1	d ɔ ʔ ⁴²						
55-1	b ɔ m ⁵³						
69-1	h ɔ ʔ ⁵³						
79-1	g j m m						
83-1	tʃʰ w ³						
86-1	j j ³¹						
89-1	s a ŋ ³						
90-1	pʰ ɔ ʔ ³						
91-1	ʔ a n ³						
92-1	kʰ a t						
106-1	g u k ³¹						
120-1	tʃʰ a ³						
125-1	g j ⁵ ³²						
148-1	d a ŋ ³						
173-1	pʰ ə t ⁵⁴						
179-1	ʔ u t						
186-1	ŋ ɛ ³						
187-1	l a ŋ ³						
197-1	n a t ³¹						
209-1	kʰ j ŋ ŋ						
210-1	w w m ³						
211-1	d au ⁵						
213-1	n j k ³						
215-1	d w ʔ t						
220-1	tʰ a ŋ ³						
237-1	dʒ i ³¹						
239-1	n a m ³						
242-1	tsʰ a ³						
248-1	kʰ j ³¹						
255-1	b j ³ ³¹						
271-1	tʃʰ w i						
275-1	n j ŋ ⁵						
277-1	tʃʰ a ŋ ³						
