COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ŋʰ a a m a									
893-1	a n a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	t a l a									
2828-1	s i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k á l a ŋ g a									
3207-1	b ʊ l a									
3519-1	t u m a									
3686-1	j i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	n ʊ n i n i									
630-1	β ɛ l ɛ									
814-1	g ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w a									
1418-1	s i m a									
1475-1	k w a									
2026-1	t w ɛ									
2775-1	β u m b a									
3397-1	b ɔ l a									
3826-1	ɔ s k a									
4003-1	j i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s u g u l u									
116-1	j i k a									
181-1	g ɔ ŋ g ɔ									
419-1	l ɔ ɔ k a									
587-1	ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	b i n a									
1159-1	n a									
1350-1	l j a									
1374-1	n s a á n a									
1396-1	dʒ ɔ β ʊ									
1430-1	i s ɔ									
1666-1	t á n ɔ									
1767-1	g ɔ k ɔ									
1906-1	ŋ g i l a									
2177-1	ŋ g a h i									
2286-1	l a									
2317-1	β ʊ p a									
2419-1	s ɛ k a									
2750-1	a s i									
3018-1	s i l a									
3275-1	k a n a									
3441-1	s a á ŋ g a									
3464-1	b ɔ n a									
3639-1	t ɛ t ɛ m a l a									
3885-1	s u m ɔ									
3981-1	ɛ m a									
4192-1	β i m b a									
4260-1	s w a									
4350-1	l ɛ l ɔ									
43-1	z i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	l a w a									
459-1	l u m a									
508-1	b ɔ p ʊ									
528-1	β i l i									
575-1	t a									
871-1	t a á m a									
1137-1	s i k ʊ									
1339-1	t w i									
1585-1	a l a									
1712-1	β u ɔ									
1872-1	p a									
2088-1	β ìì s a									
2166-1	ʊ m b a									
2334-1	b i g ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i ŋ g i									
2738-1	β ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	t i k ʊ									
2997-1	g á n s a									
3075-1	g ʊ l u b ɛ									
3675-1	l β a l ɛ									
4028-1	β w ɛ									
4137-1	m i l a									
4238-1	s ɔ s i									
4316-1	t a t ʊ									
4429-1	a á s a									
4440-1	β i l i									
4485-1	s ʊ									
4574-1	β a l a									
4688-1	w ɛ n ɛ									
143-1	β ʊ									
240-1	ɔ g a									
388-1	ʊ m a									
401-1	d a									
599-1	t a a m b i									
649-1	l ɛ ɛ t a									
755-1	g u l a									
836-1	s u u m b i									
969-1	s a									
994-1	t e l ɛ k a									
1006-1	n u ŋ g ʊ									
1032-1	k ɔ l ɔ l a									
1043-1	β a l a									
1110-1	t ɛ m a									
1263-1	t á h a									
1273-1	l ɔ ɔ t a									
1329-1	i k a l a									
1362-1	g i									
1606-1	ɔ t ɔ									
1617-1	d i k ɔ									
1629-1	k β i									
1744-1	i β a									
1895-1	g a									
1917-1	β ʊ m a									
1969-1	m a a m a									
1989-1	s a a g a									
2037-1	k a á t a									
2128-1	g m b ɛ									
2186-1	g a n a									
2483-1	g l ʊ									
2592-1	l ɔ l a									
2615-1	d a									
2700-1	g a ŋ g a									
2784-1	g ʊ l									
2797-1	l ɔ m u									
2884-1	m p j a									
2904-1	k ɛ n d a									
2972-1	s ɛ									
3030-1	l i p a									
3148-1	i t a									
3160-1	l u t a									
3261-1	t ɛ t ɛ									
3364-1	z ɔ t a									
3385-1	s i									
3419-1	t ɛ									
3430-1	ʊ n ʊ									
3583-1	n ɔ l a									
3664-1	β ɛ k a									
3706-1	t a á n t ʊ ʊ									
3756-1	s i n dʒ a									
3837-1	k ɔ l ɔ m a									
3865-1	s á s ɛ									
4406-1	t i									
4530-1	l ʊ k a									
4552-1	n s i									
4621-1	a n i									
2689-2		ɲ a a m a								
893-2		a a n a								
1303-2		g o m a								
2197-2		t a l a								
2828-2		l i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		g a l a ŋ g a								
3207-2		p u l a								
3519-2		t u m a								
3686-2		j i m b a								
4249-2		k u m i								
4451-2		v e s i								
448-2		n u n i								
630-2		b e l e								
814-2		k o m b e								
1216-2		g a v a								
1228-2		b w a								
1418-2		t i m a s a								
1475-2		k w a								
2026-2		t w e								
3826-2		s oː o k a								
4003-2		j e v a								
4373-2		l e m i								
4384-2		i n o								
84-2		u l u								
116-2		p i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		w u n a								
1159-2		ɲ a								
1350-2		l j a								
1374-2		n a n e a								
1906-2		ŋ k i l a								
2419-2		s e e k a								
2750-2		e s i								
3441-2		s e e ŋ g a								
3464-2		w o n a								
3639-2		t e t i m a l a								
3981-2		e m a n a								
4192-2		w i m b a								
4350-2		l e l o								
278-2		b a								
3971-2		g a m a								
55-2		ɲ a m a								
43-2		d i m u								
93-2		g o n o								
459-2		l u m a								
1137-2		s i g u								
1585-2		a l a a l a								
1872-2		p a								
2166-2		u m b a								
2872-2		k o s i								
2997-2		k a n s a								
3075-2		g u l n b e								
3675-2		l w i l e								
4137-2		m i l a								
4238-2		s o s o i								
4316-2		t a t u								
4574-2		w a a l a								
3067-2		n t u								
3531-2		a n i g a								
1033-2		ŋ o s o l a								
3185-2		w e k a								
794-2		w i g a g a								
143-2		w u								
240-2		o k a								
388-2		n u m a								
599-2		t a a m b i								
969-2		i s a								
994-2		t e l e k a								
1606-2		o t o								
1629-2		l w i								
1895-2		dʒ a								
2592-2		l o l a								
2884-2		p j a								
3148-2		i t a								
3261-2		t e t e								
3583-2		n o a l a								
3837-2		l o l o m a								
4621-2		a n i								
1929-2		b u s i								
3940-2		β a l a								
860-2		w i ŋ g a								
2057-2		t i m a								
552-2		p u p a								
959-2		p e p o								
1495-2		p u t a								
2689-3			n a m a							
893-3			a a n a							
1285-3			n w a							
1303-3			k o m a							
2197-3			s a l a							
2828-3			l i n a							
3572-3			s o n i							
1095-3			l m a							
1755-3			n e							
1789-3			k a l a ŋ g a							
3207-3			f u l a							
3519-3			r u m a							
3686-3			j m b a							
