COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a t									
56-1	u m i									
96-1	t a tʃ									
99-1	t i k o n									
114-1	t o k									
115-1	t o tʃ i ʔ									
133-1	t i p a tʃ									
144-1	t a w a tʃ i ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	tʃ i ʔ									
1-1	w a z a									
2-1	m o m									
65-1	i w i ʔ									
74-1	p a n a									
106-1	t o n									
128-1	p u k									
147-1	t i m ʔ									
231-1	p a n a w									
232-1	u p e j i									
239-1	n a m a k a n									
266-1	t i m ʔ									
51-1	i w i ʔ									
97-1	m a p i m a									
109-1	u p e k									
121-1	k i p a k									
149-1	t o k									
160-1	t i k									
163-1	u p e n									
167-1	t a ʔ									
207-1	m i n									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m o n e m									
142-1	u p a r a m a tʃ i									
145-1	k a t a tʃ i ʔ									
148-1	t a w a r a m									
162-1	i n ʔ									
166-1	i m i ʔ									
179-1	t a									
201-1	p i ʔ									
21-1	t a w a n									
24-1	t o k o n									
52-2		t i t e								
56-2		o m e								
96-2		a t a s i								
99-2		a r i t e								
114-2		t o k i s i								
115-2		o t r e s i								
133-2		t i s i p a s i								
144-2		o t a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k i								
241-2		a w i n								
249-2		i s i								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i s i								
106-2		t o i s i								
119-2		i p i t i s i								
128-2		p e k i s i								
147-2		t i l i s i								
231-2		p a n a o								
232-2		o p i ã								
239-2		a m a k a n								
266-2		i s i m								
51-2		w e								
55-2		h a m								
97-2		b a n ʔ								
121-2		a p i k i s i								
163-2		o e n								
167-2		t a								
259-2		t o a								
66-2		k a r a k a w								
112-2		t a s a p i s i								
116-2		t o a k a s i								
125-2		w a s i k i n i s i								
135-2		t i k i l i s i								
139-2		o k e k i n i s i								
142-2		o p a t r a m a s i								
148-2		t r a w a s i								
162-2		i n								
166-2		i m i								
179-2		t a								
52-3			t v e							
56-3			u m a j o							
96-3			a v i s a j a							
99-3			a r a k o n							
114-3			t u k a i v a tʃ e							
115-3			n a v i s i							
133-3			t a p a r a s i							
144-3			n a v i s a i							
150-3			k a w							
234-3			k u m a							
236-3			p a k i ɲ							
241-3			a w i n							
249-3			tʃ e v e							
1-3			n a j a							
2-3			p i m a							
65-3			i w i s i							
93-3			t u p a r i v a tʃ e							
95-3			v i tʃ i							
106-3			t u j i							
119-3			v i j a i v a tʃ e							
128-3			h u k a i v a tʃ e							
147-3			t u m a t a k a m a							
231-3			p a n a w a							
232-3			u p a j o							
239-3			n a m a k a							
266-3			tʃ e m ʔ							
3-3			k i r a k o n							
4-3			w a r a i							
55-3			h u m a							
109-3			u p a j o							
121-3			k a p a v a tʃ e							
149-3			t u k							
160-3			k e r e k							
207-3			m i tʃ i							
112-3			t a j i s a i							
125-3			k a t a m a tʃ e							
134-3			n a p a t i							
135-3			t u k a i v a tʃ e							
139-3			v i k e ɲ e m i tʃ e							
52-4				t i t						
56-4				u m						
96-4				t a tʃ a						
99-4				ʒ̟ i k o n						
114-4				t u k						
115-4				ʒ̟ u m						
133-4				t i j i p a tʃ i						
144-4				t o w a w						
150-4				k a w						
234-4				k o m						
236-4				p i k o n						
241-4				a w i n						
249-4				tʃ i						
1-4				w a t a						
2-4				w i m o						
65-4				i w i						
74-4				p a n a						
93-4				t u p i						
95-4				w i k i						
106-4				t u n a						
119-4				ʒ̟ i t						
128-4				u k u n						
147-4				t i m						
231-4				p a n a w						
232-4				u p e j e						
239-4				m a k a m a n						
266-4				t i m						
3-4				a w i k o n						
4-4				w a ʒ̟ i						
51-4				u w e						
97-4				r u m a						
109-4				u p e j i						
121-4				k i p a ʒ̟ i						
149-4				t o k						
160-4				t i k						
163-4				u p e n						
167-4				t o n						
207-4				m i						
259-4				t o w a						
66-4				k i r a k o w						
116-4				t u p a k						
134-4				n i p a t						
135-4				t i k o ʒ̟ i						
139-4				m i o n						
142-4				r a m a						
145-4				k i t a r a tʃ i						
148-4				t a w a r a tʃ i						
162-4				i n						
166-4				m i						
179-4				t a k						
201-4				p i						
21-4				t a w a n						
24-4				t o k o n						
52-5					t i t i					
56-5					o m i					
96-5					t a s i					
99-5					t i j a n					
114-5					t o k i s i					
115-5					m o s i r i					
133-5					t i p a r a s i					
144-5										
150-5					k a w					
234-5					k o m					
236-5					p i k i n					
241-5					a w i					
249-5					i s e ʔ					
1-5					w a t a					
2-5					f u ʔ					
65-5					i f i					
74-5					p a n a ʔ					
93-5					t o p a r i					
95-5					w i k i s i					
106-5					s o ʔ					
119-5					i j t i s i					
128-5					o k i s i					
147-5					t y m i s i					
239-5					i m a k a n					
266-5					s i m					
3-5					w o r a k o n					
4-5					w a j i					
51-5					y w e ʔ					
55-5					f a m					
97-5					f o k o n					
109-5					w o r i m a s i					
149-5					t o k					
160-5					k i r i k					
163-5					i p i j a m					
167-5					t a p					
207-5					i m i					
259-5					t o w a					
66-5					k a r a k o w					
112-5					t a s i p a s i					
116-5					t o p a k a s i					
134-5					i p a t					
135-5					t o k o p a s i					
139-5					w e r e m i s i					
142-5					w o r a m a s i					
145-5					k a t a r i m a s i					
148-5					t a w a r a m					
162-5					i j i n					
166-5					i m i					
179-5					t a k					
201-5					p i					
21-5					t a w					
52-6						t a t a				
56-6						u h u m i				
96-6						t a s a i				
99-6						t a r a k u				
114-6						t u k i tʃ i				
115-6						u r i tʃ i				
133-6						t a p a r a tʃ i				
144-6						t a w a r a tʃ i				
150-6						k a w				
234-6						k u m a				
236-6						p i k i tʃ i				
241-6						a w i ã				
249-6						tʃ i tʃ i				
1-6						w a t a				
2-6						w i h u m a				
65-6						i w i h u				
74-6						w a n a				
93-6						t u p a r a tʃ i				
95-6						w i k i tʃ i				
106-6						t i tʃ i				
119-6						tʃ i tʃ i tʃ i				
128-6						h u k i tʃ i				
147-6						tʃ i m i tʃ i				
231-6						w a n a w u				
232-6						u p a j i				
239-6						n a m a k a				
266-6						tʃ i m				
3-6						w a r a k u				
4-6						w a r i				
55-6						h u m a				
97-6						t a h u m a				
109-6						u p i tʃ i				
160-6						k i r i k				
207-6						m i tʃ i				
112-6						t a r a tʃ i				
116-6						t u p a k a tʃ i				
125-6						k a tʃ i m a tʃ i				
134-6						k i p a tʃ i				
135-6						k i m a tʃ i				
139-6						h u k i m a tʃ i				
201-6						p i tʃ i r a m				
21-6						t a w a s a				
24-6						k u k a r a m a				
52-7							t i t i			
56-7							u m u			
96-7							t a s i			
99-7							a r i k o n			
114-7							t u k i z i			
115-7							v i t i			
133-7							t i p a r i			
144-7							a r a w a s i			
150-7							k a w			
234-7							k u m			
236-7							p i k i d n			
241-7							a w i n			
249-7							i s u n i			
1-7							w a z a			
2-7							w i h u			
65-7							i h u			
74-7							p a n a			
93-7							t u p a r i			
95-7							w i k i tʃ i			
106-7							t i m i			
119-7							v i t i s i			
128-7							h u k i ʔ			
147-7							t i k i z i m			
231-7							p a n a w o			
232-7							v i j i o			
266-7							i s i m			
3-7							w a r i k o n			
4-7							w a r i			
51-7							v e ʔ			
55-7							h u m			
97-7							w i h u n			
