COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b o b o n e			
208-1	a b ʊ r b u d u			
962-1	a g o r a			
203-1	a g u d i ʔ			
138-1	ʃ i l i			
504-1	ɗ oː ʃ a f a			
662-1	ɓ oː d a			
478-1	g oː ɗ e			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ aː l a			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ f a ʔ			
847-1	n ɛ n d a g i			
95-1	b ɛ ɗ i			
105-1	b i n e			
510-1	b o ʃ e			
951-1	m b ə m e r e			
1116-1	m b ə m a			
149-1	ɓ u s ʔ i k e			
376-1	ɓ ɛ l i			
815-1	g o r a			
453-1	ɗ a ŋ e			
67-1	ɗ aː ʃ e			
47-1	ɗ o k ʔ o θ a			
869-1	ɗ uː θ e			
57-1	g aː g u			
303-1	g a s ʔ i a			
443-1	g ɛː r e			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b ɛ r e			
831-1	h a n ʃ e			
616-1	ɓ iː e			
84-1	h o ʃ ɛ l e			
346-1	h o l h u			
601-1	s i g i			
177-1	k ʔ a f a ɲ			
341-1	k ʔ o l a			
1066-1	f ɛ n s ʔ e			
318-1	f eː ʃ i			
241-1	m aː ʃ o			
556-1	h a n d u ŋ u			
191-1	ɓ i m b ɛ l			
458-1	a s ʔ i s ʔ i			
1-1	h a n tʃ i r			
751-1	r o			
864-1	g a ŋ i a			
154-1	a m a n s i			
278-1	a m i l e			
766-1	ʃ oː r a			
251-1	a g uː r u			
582-1	u ʔ u ŋ			
6-1	a l i			
1106-1	n g o			
473-1	ŋ i n e			
1111-1	h a θ u			
957-1	m ə r e			
41-1	b i e			
468-2		θ aː b a		
222-2		a b o b o n e		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i ʔ		
138-2		ʃ i l e		
504-2		ɗ oː ʃ a		
662-2		ɓ u d aː		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ n d i g e		
95-2		b ə ɗ i		
105-2		b ɛ n i		
510-2		b oː ʃ a		
951-2		m b ə m a r e		
1116-2		m b u m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ə l i		
815-2		g o r a		
453-2		ɗ aː ŋ e		
67-2		ɗ aː ʃ e		
47-2		d u k ʔ o l a		
869-2		ɗ oː θ a		
57-2		g aː g u		
303-2		g ʔ a s ʔ a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d u		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		tʃ ʔ i g i		
177-2		k ʔ a f a ŋ		
341-2		k ʔ o l a		
1066-2		w ɛ n t e ŋ i		
318-2		f ɛ ʃ i		
241-2		m aː ʃ o		
556-2		h a n d u ŋ u		
191-2		ɓ i m b i l		
458-2		a s ʔ i s ʔ i ŋ a		
1-2		h a n tʃ i r		
751-2		r o		
864-2		a ŋ o n a		
154-2		a m a n s i		
278-2		a m i l e		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u ʔ u ŋ e		
6-2		a l i		
1106-2		ŋ g o		
473-2		i n e		
1111-2		h a θ u		
957-2		m ə r e		
41-2		b i e		
468-3			θ a b a	
222-3			a b a y o n e	
208-3			a b ʊ r b u d u	
962-3			aː g u r a	
203-3			a g u d i ʔ i	
138-3			ʃ i l i	
504-3			ɗ ɔ ʃ ɛ f a	
662-3			p ʔ u d a	
478-3			g ɔ d a	
409-3			a r e	
410-3			g u n d i	
256-3			p aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ w a ʔ	
847-3			n ɛ n d ɛ g i	
95-3			b i ɗ i	
105-3			b ɛ n i	
510-3			b ɔ ʃ a	
951-3			m b ə m r e	
1116-3			m b ə m a	
149-3			p ʔ u s ʔ i	
376-3			p ʔ a l i	
815-3			g ɔ r a	
453-3			ɗ u ŋ a	
67-3			ɗ aː ʃ a	
47-3			d ʊ k ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			g aː g u	
303-3			g ɛ s ʔ i a	
443-3			g ɛ r e	
884-3			g u n d i	
166-3			g u n d u	
918-3			a b ɛ r e	
831-3			h a h a ʃ	
616-3			p ʔ iː	
84-3			h ɔ ʃ ɛ l i	
346-3			h ɔ l h u	
601-3			s i g i	
177-3			k ʔ ə w a	
341-3			k ʔ ɔ l a	
1066-3			w ɛ n d a ŋ i a	
318-3			f eː ʃ i	
241-3			m a n ʃ a	
556-3			h a n d u ŋ u	
191-3			p ʔ ɪ m b i l	
458-3			a s ʔ i s ʔ i ŋ a	
1-3			h a n s i r e	
751-3			r ɔ	
864-3			aː ŋ n i	
154-3			a m a n s i	
278-3			a m i l u	
766-3			ʃ ʊː r a	
251-3			a g u r u	
582-3			ɔ u ŋ	
6-3			a l i	
1106-3			n g u	
473-3			ʊ n a	
1111-3			h a θ u	
957-3			m ʊ r e	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ u d ɛ
478-4				g o ɗ e
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ w a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b ɛ n i
510-4				b o ʃ a
951-4				m b ə m a r e
1116-4				m b ə m a
149-4				ɓ u s ʔ i
376-4				ɓ ə l i
815-4				g o r a
453-4				ɗ u ŋ i
67-4				ɗ aː ʃ e
47-4				ɗ o k o θ a n e
869-4				ɗ uː θ e
57-4				k aː g u
303-4				g a s ʔ i a
443-4				g e r a
884-4				g u n d i
