COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ ɔ m															
410-1	d ɛ															
1841-1	m o															
2017-1	h ɔ															
1004-1	l ou̯															
614-1	b ou̯ h															
686-1	b l ɔ															
88-1	k o ʔ															
872-1	n ɨ ŋ															
1891-1	d ɛ															
68-1	s ɨi̯ m															
631-1	p ə̆ n															
594-1	k ɛ															
1759-1	h a ɲ															
805-1	k ɨ ɲ															
756-1	h ui̯ ʔ															
1201-1	m u ʔ															
2042-1	ʔ ɛ															
1968-1	d ă ʔ															
2000-1	l aː ŋ															
17-1	v ă t															
4-1	ə ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ aː ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	ɨ aː m															
1652-1	c ɨ ɲ															
576-1	ŋ ɔ r															
1738-1	d ă ʔ															
442-1	h ɔ m															
368-1	d j a ŋ															
1778-1	b ă t															
957-1	n ɔ															
1704-1	ʔ ɨi̯ ʔ															
304-1	dʑ ă m															
1796-1	dʑ ɔ ŋ															
720-1	d ă h															
287-1	k ă p															
321-1	k ə h															
206-1	k ou̯ ʔ															
1950-1	ʔ ɨ															
665-1	ɨ o n															
703-1	n o ʔ															
1290-1	m ɛ															
1391-1	k ɔ ʔ															
269-1	k ɔ ʔ															
855-1	c ă n															
2078-1	s a n															
2213-1	m ă															
1858-1	s a															
1151-1	g j a n															
737-1	p ə̆ n															
340-1	s o															
1111-1	s ɛ															
485-1	ŋ j															
1356-1	m u h															
1093-1	d ə ŋ															
1063-1	d ɔ m															
648-1	c ə n															
223-1	k ɔ n															
1248-1	c ə															
1509-1	d a n															
504-1	c o h															
2130-1	s ɛ															
1-1	ʔ o															
386-1	ɨ ou̯ ʔ															
1411-1	ʔ u															
1027-1	k ă ʔ															
1459-1	k l															
1323-1	m ə															
1859-2		ŋ a														
175-2		k a n														
241-2		ʔ u ʔ														
2163-2		kʰ u n														
2181-2		n a m														
2060-2		ʔ o m														
410-2		d tɕ														
1841-2		m au̯														
2017-2		h ɔi̯														
1004-2		l aː														
614-2		b o h														
686-2		b l ɔːi̯														
