COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ a ¹								
495-1	ŋ u ³								
838-1	ˀn a k ⁴								
438-1	m a t ⁴								
334-1	l a k ⁴								
360-1	l ai ²								
394-1	m j e ²								
221-1	j u p ⁴								
202-1	g u ²								
935-1	u ²								
93-1	dʒ a ŋ ²								
7-1	b i n ²								
664-1	w a ŋ ¹								
246-1	k a k ⁴								
547-1	s i k ⁴								
555-1	j u m ¹								
464-1	m u ²								
119-1	dz a ŋ ¹								
835-1	n a t ⁴								
79-1	t a ²								
693-1	ŋ u ¹								
477-1	n a t ⁴								
891-1	t i ŋ ³								
528-1	r a ⁵⁵								
797-1	k r u k ⁴								
493-1	n i k ⁴								
217-1	j a t ⁴								
896-1	ts u t ⁴								
452-1	m j u k ⁴								
580-1	dʒ a t ⁴								
833-1	ˀn a ¹								
390-1	m a ŋ ²								
696-1	ŋ i ¹								
86-1	t u ŋ ¹								
384-1	m a n ³								
61-1	dʒ a m ¹								
536-1	s a t ⁴								
731-1	ʃ e ²								
779-1	t a ¹								
589-1	t a ŋ ¹								
658-1	w a m ¹								
456-1	ˀm j a ŋ ²								
183-1	g a ²								
785-1	k a ²								
714-1	u ¹								
331-1	l a ²								
930-1	ŋ a t ⁴								
161-1	b a ŋ ¹								
814-1	k ui ²								
179-1	g r a k ⁴								
194-1	r a k ⁴								
727-1	w ui ²								
260-1	k j a t ⁴								
144-1	ˀtʃ a m ¹								
53-1	b a m ¹								
59-1	t a t ⁴								
506-1	p ɛ k ⁴								
29-1	b i k ⁴								
316-1	t a k ⁴								
389-1	m r a ŋ ¹								
118-1	m a ³								
312-1	k a ²								
490-1	n ai ³								
436-1	m j a ŋ ²								
927-1	ŋ a n ¹								
383-1	m a k ⁴								
211-1	j a m ¹								
873-1	s i ŋ ¹								
877-1	s a ³								
344-1	l a m ¹								
666-1	ŋ a ²								
595-1	t a ŋ ³								
660-1	w u t ⁴								
642-1	tʃ a ŋ ³								
257-1	k r a m ¹								
167-1	g r a ²								
880-1	t a t ⁴								
484-1	n a ŋ ¹								
574-1	dʒ u m ²								
718-1	ʃ a n ²								
811-1	k u ²								
458-1	t u ŋ ²								
884-1	t i ³								
205-1	g u t ⁴								
499-1	n ai ¹								
706-1	ʃ a ¹								
920-1	u ŋ ²								
36-1	b j a ŋ ¹								
12-1	b j e ¹								
350-1	l a ŋ ³								
4-1	p i n ¹								
342-1	r u k ⁴								
280-1	k u ⁵⁵								
612-1	t a ŋ ²								
459-1	m r i ŋ ¹								
569-1	s ui ²								
283-1	k r ui ³								
148-1	k a n ²								
652-1	o ai ¹								
220-1	ˀtʃ a ŋ ²								
562-1	s i ŋ ²								
31-1	p r a k ⁴								
386-1	m i t ⁴								
804-1	k r u ŋ ²								
369-1	l a k ⁴								
125-1	t u ²								
314-1	k r a ŋ ¹								
823-1	ˀl a p ⁴								
471-1	ˀtʃ a m ²								
