COGID	Albanian	English	French	German	Latin
560-1	k ə m				
438-1	e r a j				
1222-1	a v				
353-1	p iː ʃ k u				
201-1	f uː n f				
20-1	f i r				
503-1	p l a n				
957-1	d ə				
728-1	l a g				
244-1	n o m ə n				
289-1	n ai t				
911-1	r a d iː a l				
724-1	d r u				
145-1	d u				
992-1	w ə				
1181-1	ʃ j e n				
741-1	p u k a				
1150-1	ʃ u r d				
585-1	t y				
814-1	w ə r				
916-1	t				
1079-1	b w b				
630-1	eː ŋ ə t t				
343-1	w j t ʃ				
8-1	g r a k				
385-1	s e				
683-1	ʃ ə t				
650-1	k k l a				
612-1	f uː m				
871-1	d r k t a				
667-1	l a w o				
527-1	w a d ə r				
499-1	n e				
1029-1	w e				
336-1	p a r s				
198-1	m g n				
164-1	n ə m r o				
560-2		w j m n			
438-2		o r s			
1222-2		ai f			
353-2		p ɪ s k ɪ			
201-2		f uː n			
20-2		h ɛ r			
503-2		p l ai			
957-2		ɪ n			
728-2		s ai n g ai			
244-2		n m ə r			
289-2		n o t			
911-2		r a t ɪ			
724-2		d r ɪ			
145-2		d au ai			
992-2		w			
706-2		o j			
106-2		p i r			
741-2		d ɛ h			
421-2		f l ø m			
227-2		f j			
920-2		h ai r θ			
1083-2		k ai r n ʊ			
1066-2		ɪ f ai			
1125-2		k n i			
1197-2		m i r			
473-2		n ai w i l			
284-2		n ɪ s ai			
661-2		ai n			
701-2		r u v r ai			
315-2		r ai d			
1169-2		s i l ɪi			
1150-2		s ʊ r t ə r			
982-2		s ɪ θ ɪ s			
987-2		s n			
1055-2		s t ɛ r n			
1130-2		s ʊ s ɛ			
433-2		s u l i			
625-2		l au n			
1186-2		ɛ n d			
416-2		w			
1233-2		w ɪ n d ai			
884-2		w au r m ɪ			
1016-2		ɛ n ɛ m ɛ l			
952-2		ɛ d			
78-2		v l i s			
514-2		v r uː l ɛ			
116-2		ɛ t			
188-2		f r ai			
745-2		f o n			
1100-2		f r au ɪ			
47-2		uː m i n			
111-2		l ɛ h ʊ			
1061-2		m i t ɛ			
24-2		n u n			
232-2		n ʊ n h			
671-2		r f t			
385-2		s i			
945-2		s ɪ m ɪ n			
644-2		s ʊ s			
1041-2		s t i			
492-2		d ɪ n			
1209-2		w ai m			
527-2		w ɑ t ə r			
14-2		g ai l v			
1-2		o l			
915-2		au n d			
271-2		ɑ s			
711-2		v ai t			
1112-2		v l ʊ d			
205-2		v r au t d			
301-2		l au ə			
72-2		k o l d			
162-2		k ʊ d			
238-2		d ɪ			
560-3			w s i		
438-3			i r		
1222-3			w ɛ s		
353-3			p ɛ s k ɛ		
201-3			f s ɑ̃		
20-3			f i r		
503-3			p l œ		
957-3			ɛ n		
728-3			s a ŋ		
244-3			ɛ m ɑ̃ r		
289-3			n ɛ t		
911-3			r ɑ̃		
724-3			d r ɛ		
145-3			t u		
992-3			k u		
1181-3			s ɛ n d		
706-3			ø g ɑ̃		
106-3			f ɛ t r		
741-3			p s u		
421-3			b l ø ɑ̃ r		
227-3			f ø s		
920-3					
1083-3			k o r n ø		
1066-3			ɛ f		
1125-3			ø		
1197-3			m ɑ̃ t r		
473-3			n ai		
284-3			e s		
