COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ + i n								
2-1	tɬ e k a + tɬ								
8-1	w eː i								
16-1	j e s + tɬ i								
24-1	i s t i								
32-1	m i k iː n								
51-1	i n + tɬ i								
52-1	w aː k + tɬ i k								
53-1	n a k a s + tɬ								
54-1	tɬ a l + l i								
55-1	k w a + tɬ								
60-1	i x + t e l o l								
1-2		m u tʃ i							
2-2		t e x + t e x + t							
8-2		w e j i							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n i							
52-2		w a k							
53-2		n a k a s							
54-2		t aː h l i							
55-2		k o i							
60-2		i x + r e l u h + t u k							
1-3			m o tʃ i						
2-3			t e x + t i x						
8-3			w eː j						
16-3			j e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			i n + iː n						
52-3			w a k + t i ʔ						
53-3			n a k a s						
54-3			t a l i						
55-3			k w a						
60-3			i x + t e l o h l						
1-4				m o tʃ i					
2-4				tɬ e x + tɬ i					
8-4				w e j i					
16-4				j e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				i n + i n					
52-4				w a k + tɬ i k					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a + k o					
60-4				i x + t e l o l					
1-5					m o tʃ i				
2-5					t e k + t i				
8-5					w eː h				
16-5					e s + t i				
24-5					i s t i				
32-5					m i k i				
51-5					o n				
52-5					w aː k + t i k				
53-5					n a g a s				
54-5					t a l				
55-5					b a				
60-5					i x + t e l o h l				
1-6						m u tʃ i n			
2-6						t iː + t			
8-6						w e j			
16-6						j eː s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n i			
52-6						w a k			
53-6						n a k a s + t i			
54-6						t aː l			
55-6						k w a			
60-6						i x + t e l u			
1-7							m o tʃ o m		
2-7							t e x + t		
8-7							w e		
16-7							o s + t		
24-7							i s t i		
32-7							m i k i		
51-7							o n a		
52-7							w a k + t		
53-7							n e k e s		
54-7							t e l		
55-7							k w a		
60-7							i x + t e l o		
1-8								m o tʃ ɨ	
2-8								tɬ a x + tɬ ɨ x	
8-8								w e h e	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ	
32-8								m ɨ k ɨ	
51-8								oː n	
52-8								w a k + tɬ ɨ	
53-8								n a k a s + tɬ	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								ɨ x + t ə l o l	
1-9									m o tʃ iː
2-9									tɬ e x + tɬ iː x
8-9									b e j iː
16-9									j e s + tɬ iː
24-9									i s t iː
32-9									m iː k iː
51-9									iː n + i
52-9									b ø k + tɬ iː k
53-9									n a k a s
54-9									tɬ ø l iː
55-9									k w a
60-9									i x + t e l o
