COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	d a r i									
35-1	h i θ u θ u r i									
36-1	h u θ a θ u r i									
48-1	n a g i									
60-1	θ u r i									
63-1	s i r a m ɨ									
64-1	k i									
67-1	h a b a									
68-1	n ɨ b u r i									
71-1	ts ɨ b u r i									
76-1	h u ɴ g e									
83-1	θ u n u									
87-1	h a ɴ g e									
95-1	m i m i									
98-1	h a ɴ g a									
99-1	k u θ i									
-102-1	s i θ a									
103-1	θ u m ɨ									
110-1	θ e									
116-1	m u ɴ g e									
120-1	n u m u r i									
132-1	k i x ɨ									
139-1	k u r u s ɨ r u r i									
140-1	u g u									
156-1	θ a θ ɨ r u r i									
168-1	θ u θ i									
169-1	h u s i									
170-1	m i z u r i									
173-1	ʔ i s i									
180-1	k ɨ m u r u r i									
185-1	h a g i									
186-1	m u r u r i									
187-1	m i tɕ i									
190-1	a x a									
193-1	k u r u r i									
194-1	ʔ i r u r i									
195-1	k u r ɨ r u r i									
216-1	m a r ui									
221-1	n a m i									
239-1	ʔ i θ u r i									
252-1	m i s i									
253-1	j u θ u r i									
254-1	ʔ i θ u r i									
266-1	k a z i									
267-1	n a g a r u r i									
268-1	ʔ u m i									
272-1	a m i g a									
276-1	a r a u									
281-1	m ɨ ɕ i									
304-1	θ u b a x									
305-1	ʔ u θ u r i									
308-1	h a ɴ g a									
309-1	k u s a ɴ									
310-1	θ u b u									
311-1	n i x a									
342-1	j u θ i									
346-1	k u r a i									
347-1	k i r ɨ r u r i									
348-1	h i r u r i									
351-1	θ u θ u r i									
361-1	ʔ u m u r i									
379-1	k ɨ s a θ a ɴ									
394-1	h i d a r i									
395-1	m i g u r i									
400-1	h i b a r u r i									
412-1	s a k ɨ r u r i									
413-1	θ u θ u r u ɕ a									
414-1	h u r u r i									
422-1	h u r i r u r i									
423-1	k a g ɨ r u r i									
430-1	h a k u									
435-1	h u θ u r i									
446-1	ʔ i θ u r i									
447-1	ɨ b a									
458-1	θ u s i									
56-1	h u θ u r i									
62-1	ʔ i ɴ									
70-1	θ a ɴ									
96-1	m i									
101-1	h a									
114-1	k ɨ b i									
119-1	k i m u r u r i									
134-1	s i θ u r u r i									
138-1	s i n u r u r i									
146-1	a r u ɴ									
161-1	j u b u									
182-1	k ɨ b u r i									
188-1	j a m a									
196-1	j u r u									
262-1	h i r u m a ɴ									
300-1	h ɨ s u r u r i									
313-1	d e									
350-1	ʔ w ɨː s ɨ b a									
352-1	ts ɨ k a i									
396-1	h u r ui s i									
401-1	u s u r i									
420-1	u θ u r u r i									
424-1	ʔ u θ u r i									
442-1	s i m ɨ θ u r i									
455-1	ʔ i θ u r u r i									
15-1	a r i									
49-1	u n a g u									
130-1	m i r u r i									
149-1	k u r ɨ									
175-1	s u n a									
199-1	a θ ui									
230-1	a ɴ u h i θ u r i									
