COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ɲ a m a									
893-1	a n a									
1285-1	n w a									
1303-1	ŋ g ɔ m a									
2197-1	z a l a									
2828-1	z i n a									
3572-1	s ɔ ɔ n i									
1095-1	i m a									
1755-1	n i ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β ʊ l a									
3519-1	t u m a									
3686-1	z i m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	j n i n i									
630-1	β ɛ l ɛ									
814-1	ŋ ɔ m b ɛ									
1216-1	k a β a									
1228-1	b w a									
1418-1	z i m a									
1475-1	k w ɔ									
2026-1	t β ɛ									
2775-1	β u u m b a									
3397-1	β ɔ l ɔ									
3826-1	z ɔ k a									
4003-1	i β a									
4040-1	k ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s ʊ g ʊ l ʊ									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	ɲ a									
1350-1	l j a									
1374-1	n a a n ɛ									
1396-1	z ɔ β ʊ									
1430-1	i s ɔ									
1666-1	t a a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i i ŋ g i l a									
2177-1	ŋ g a a p i									
2286-1	l a									
2317-1	f ʊ β a									
2419-1	s ɛ k a									
2750-1	a z i									
3018-1	z i l a									
3275-1	k a a n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ m a l a									
3885-1	β u m ɔ									
3981-1	ɛ m a a									
4192-1	β i m b a									
4260-1	s w a									
4350-1	l ɛ l ɔ									
43-1	z i m ʊ									
93-1	g ɔ n ɔ									
200-1	β i									
374-1	dʒ w a a w a									
459-1	l u m a									
508-1	β ɔ β u									
528-1	β i l i									
575-1	t a									
871-1	t a a m a									
1137-1	z i g ʊ									
1339-1	t w i									
1585-1	a a l a									
1712-1	β u l ɔ									
1872-1	p a									
2088-1	β i k a									
2166-1	ɲ u m b a									
2334-1	β i g ɔ									
2393-1	m a a									
2537-1	l ɔ m ɔ									
2665-1	i i ŋ g i									
2738-1	β ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	z i k ʊ									
2997-1	k a a n z a									
3075-1	k ʊ l ʊ β ɛ									
3675-1	l w a ɛ l ɛ									
4028-1	β w ɛ									
4137-1	m i l a									
4238-1	i ɔ z i									
4316-1	t a a t ʊ									
4429-1	a z a									
4440-1	β i l i									
4485-1	z ʊ									
4574-1	f w a a l a									
4688-1	w ɛ n w ɛ									
143-1	β ʊ									
240-1	ɔ ɔ g a									
388-1	p a a ɲ ʊ m a									
401-1	d a									
599-1	t a a m b i									
649-1	l ɛ ɛ t a									
755-1	g ʊ l a									
836-1	s u u m b i									
969-1	i s a									
994-1	t ɛ l ɛ k a									
1006-1	ɲ ʊ ŋ g ʊ									
1032-1	k ɔ l ɔ l a									
1043-1	β a l a									
1110-1	t ɛ m a									
1263-1	t a h a									
1273-1	l ɔ ɔ t a									
1329-1	i k a l a									
1362-1	g i									
1606-1	ɔ ɔ t ɔ									
1617-1	z i k ɔ									
1629-1	k β i									
1744-1	i β a									
1895-1	z a									
1917-1	β u m a									
1969-1	a m a									
1989-1	z a a g a									
2037-1	g a t a									
2128-1	g ɛ m b i									
2186-1	g a n a									
2483-1	g u l ʊ									
2592-1	k ɔ l a									
2615-1	d a									
2700-1	a ŋ g a ŋ g a									
2784-1	g ʊ l u									
2797-1	l ɔ m u									
2884-1	p j a a									
2904-1	g ɛ n d a									
2972-1	z ɛ									
3030-1	l i p a									
3148-1	i t a									
3160-1	l u t a									
3261-1	t ɛ t ɛ									
