COGID	Albanian	English	French	German	Latin
560-1	u				
438-1	y r e				
1222-1	o g				
353-1	p u ʃ				
201-1	ʃ y n				
20-1	h o r i				
503-1	p l y				
957-1	d ə n				
728-1	l au g				
244-1	n u m o				
289-1	n u				
911-1	u				
724-1	d r u r				
145-1	d u				
992-1	h				
1181-1	k j e n				
741-1	p u				
1150-1	g ə r v i ʃ				
585-1	d y				
814-1	u				
560-2		w ɑ m ə n			
438-2		ɑ r s			
1222-2		w ɑ t			
353-2		p ai s au			
201-2		w ɪ t			
20-2		w ɑ t ə r			
503-2		p l o			
957-2		t ɪ			
728-2		l au ŋ			
244-2		n au m ə n			
289-2		n u t			
911-2		w ɑ t			
724-2		t r o			
145-2		t au ɑ			
992-2		w ɑ t			
706-2		au j			
106-2		f ə r n			
741-2		p au k			
421-2		b l ɔ			
227-2		f ɑ t			
920-2		h au r t			
1083-2		h ɑ r			
1066-2		j			
1125-2		j ɪ n			
1197-2		m ə r			
473-2		n au w ə l			
284-2		n ɪ r			
661-2		ɑ n			
701-2		r ɑ t			
315-2		r au θ			
1169-2		s ə l d			
1150-2		k w r t			
982-2		s t			
987-2		n ə j			
1055-2		s t			
1130-2		s au			
433-2		s ɑ l ə j			
625-2		t ɪ n			
1186-2		t ɪ n d			
560-3			v ɔ m i		
438-3			u r		
1222-3			u		
353-3			p ɑ̃ s e		
201-3			p y k		
20-3			k i r		
503-3			p u		
957-3			ɑ̃		
728-3			s u n		
244-3			n u m i n		
289-3			n o k		
911-3			v ɛ r		
724-3			s r w a		
145-3			e		
992-3			k u z		
1181-3			s u n		
706-3			w k ɥ i		
106-3			p a r i		
741-3			f ɔ̃		
421-3			f l u k		
227-3			p u		
920-3			k ɔ r		
1083-3			k u r		
1066-3			w a		
1125-3			g n		
1197-3			m ɛ n t		
473-3			n u		
284-3			n o r		
661-3			w n		
701-3			r u		
315-3			r u n		
1169-3			k u z t		
1150-3			s a r i		
982-3			k ɑ̃ t e		
987-3			s ɑ̃		
1055-3			s t a r		
1130-3			k u ʒ		
433-3			k u n		
585-3			t u		
625-3			t ɛ n		
1186-3			t y n		
814-3			v ɑ̃		
560-4				v a m ə n	
438-4				a r e z	
1222-4				i v	
353-4				f e ʃ h	
201-4				v i z	
20-4				v a r z	
503-4				f l aː z	
957-4				e	
728-4				l au ŋ	
244-4				n i m ə r	
289-4				n uː x t	
911-4				r e x t	
724-4				d r v	
145-4				e s	
992-4				h	
1181-4				h a n d	
706-4				oi h au l	
106-4				f e n d	
421-4				f l uː m	
227-4				f uː t	
920-4				h a r z	
1083-4				h a r n	
1066-4				g ə	
1125-4				g e n	
1197-4				m a n d	
473-4				n oː v u	
284-4				n aː	
661-4				v	
701-4				r u b	
315-4				r au x t	
1169-4				ʃ a l d	
1150-4				h a r ts	
982-4				z e n	
987-4				n aː	
1055-4				ʃ t e r	
1130-4				z au	
433-4				ʃ i e n	
585-4				t y	
625-4				l i ŋ	
1186-4				t i n d	
814-4				v r u x t	
560-5					w o m i n
438-5					w r e m e
1222-5					w g
353-5					p e s t o
201-5					p oː n o
20-5					p o
503-5					p l uː n
957-5					i n
728-5					l o n
244-5					n o m o
289-5					n u n
911-5					w e n t o
724-5					s r a
145-5					kʷ o
992-5					w e
1181-5					k u n o
706-5					o g i
106-5					p o nː a
741-5					p k
421-5					f l o m i n
227-5					p o d
920-5					k o r i d
1083-5					k o r o
1066-5					e n
1125-5					g n e
1197-5					m e n t
473-5					n u w e l
284-5					n aː
661-5					n
701-5					r e n
315-5					r o n t o
1169-5					s o l d
982-5					s e n t o
987-5					s n g u
1055-5					s t o n
1130-5					s u nː
433-5					s o l e
585-5					t u
625-5					l e n a
1186-5					t e n u i
814-5					w i r i d i
