COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ								
2-1	n e x + tɬ i x								
8-1	w eː i j								
16-1	e s + tɬ								
24-1	i s t e								
32-1	m i k iː n								
51-1	o n + tɬ i								
52-1	w aː k								
53-1	n a k a s + tɬ i								
54-1	t aː l + l i								
55-1	k w aː								
60-1	i x + t e l o								
1-2		n u tʃ i							
2-2		n e x u n							
8-2		w e j i							
16-2		j s + t							
24-2		i s t i							
32-2		m i k i							
51-2		h + n i							
52-2		w a k							
53-2		n a k a s							
54-2		t aː h l i							
55-2		k o i							
60-2		i x + r e l u h + t u k							
1-3			n o tʃ i						
2-3			n e x + t i x						
8-3			w eː j i ʔ						
16-3			j s ʔ + t i						
24-3			i s t i ʔ						
32-3			m i k i						
51-3			o n + i						
52-3			w aː k + t i ʔ						
53-3			n a k a s						
54-3			t a l i						
55-3			k w aː + ʔ						
60-3			i x + t e l o l						
1-4				n o tʃ i					
2-4				n e x + e n					
8-4				w e j o j o					
16-4				j e + tɬ					
24-4				i s t e					
32-4				m i k i					
51-4				i n + i n					
52-4				w a k					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k o w a					
60-4				i x + t e l o l o					
1-5					n o tʃ i				
2-5					n e x a				
8-5					w eː j o m				
16-5					j s + t i				
24-5					i s t i				
32-5					m i k i				
51-5					o n + iː				
52-5					w aː g + t o k				
53-5					n a g a s				
54-5					t a l				
55-5					b aː				
60-5					i x + t e l o				
1-6						n u tʃ i n			
2-6						n e k e + t			
8-6						w e j			
16-6						j s + t			
24-6						i s t i			
32-6						m i k i			
51-6						t iː n			
52-6						w aː k			
53-6						n a k a s + t i			
54-6						t a l			
55-6						k w aː			
60-6						iː x + t e l u			
1-7							n o tʃ i		
2-7							n e x + n e x		
8-7							w e j		
16-7							j s + t		
24-7							i s t i		
32-7							m i k i		
51-7							o n i		
52-7							w a k o + k		
53-7							n a k a s		
54-7							t a l		
55-7							k w a		
60-7							i x + t e l o l o		
1-8								n	
2-8								n a k a h	
8-8								w e h e	
16-8								j s + tɬ	
24-8								ɨ s t ɨ	
32-8								m ɨ k ɨ	
51-8								oː n	
52-8								w aː k + t ɨ + k	
53-8								n a k a s i	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								ɨ x + t ə l o l	
1-9									n o tʃ iː
2-9									n e x + tɬ iː
8-9									b e j o
16-9									j e s + tɬ iː
24-9									i s t e
32-9									m iː k iː
51-9									iː n + i
52-9									b ø k + t iː k
53-9									n a k a s + tɬ iː
54-9									tɬ a l iː
55-9									k w a
60-9									i x + t e l o
