COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u j i															
1089-1	n a m a															
1319-1	ɲ															
1398-1	s u r̃ u															
1557-1	dʒ i r e															
1626-1	a g a															
1840-1	t e ŋ															
2247-1	k u															
4677-1	k u r e j															
5162-1	m i r̃ ɛ															
5406-1	t aː n d u															
359-1	k a r a															
1577-1	dʒ i r e															
2196-1	l a l a															
2230-1	s u															
2533-1	b a r a															
3605-1	k a n a															
3866-1	s u															
4553-1	t a g a															
4822-1	k u m															
5254-1	d u r ɔ															
503-1	k aː j a															
1356-1	m a j a															
1881-1	n u m															
3218-1	p u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ u															
4694-1	u s u															
807-1	k o m															
2320-1	k a ŋ															
2476-1	k u															
3719-1	ɔ															
4081-1	d a m															
4313-1	n e m															
4460-1	s u j															
5810-1	p i r u															
93-1	d ɔ															
260-1	p i r a															
385-1	z ɛ m b ɛ															
890-1	a m i r u															
1336-1	t e g e															
1703-1	b aː															
1769-1	t ɛ m b															
2162-1	b a r ɛ															
2635-1	s															
3031-1	d i															
4591-1	k a r a															
5301-1	p ɛ r u															
5605-1	t i m a															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ w															
1788-1	s e															
2044-1	d i b e															
2713-1	t m d ɛ r ɛ															
3219-1	p aː s u															
3425-1	j u															
4184-1	ɲ aː															
4629-1	u j u															
4759-1	n j e															
4904-1	ŋ u w a															
4960-1	dʒ i n aː dʒ u															
4980-1	t ɔ															
5059-1	g u j															
5339-1	p a lː a															
5549-1	d a b a															
5905-1	t e r̃ u															
5922-1	b i r a															
5938-1	a d uː ɲ a															
1-1	p ɛ															
483-1	g z u															
629-1	d ɔ															
667-1	ɛ b ɛ															
1254-1	z a d u r u															
1415-1	ɲ															
1542-1	ŋ̍ ɔ															
1683-1	s u j e															
1898-1	p u r̃ u															
2901-1	d u ŋ dʒ u															
2957-1	a d i															
3048-1	b j e															
3251-1	s a r̃ a															
3885-1	d a r ɛ															
4402-1	j ɛ															
5622-1	p ɛ n̩ d j e j															
