COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m i ⁵						
4-1	l j ɔ̰ ʔ ⁵³						
18-1	n j ɛ n ⁵						
19-1	n j ɛ ⁵						
44-1	l au ʔ ³¹						
50-1	s a ŋ ³						
62-1	s ai ʔ ³¹						
70-1	d ai n ³¹						
75-1	n j ɔ ʔ n						
97-1	tʃʰ a ŋ ⁵						
112-1	dʒ ɔ ⁵						
122-1	n j ɛ ʔ ³²						
127-1	h j ei ³						
132-1	j ɔ ʔ ³¹						
133-1	n ə ³						
135-1	n au ³						
142-1	d z ɛ ³						
143-1	ŋ ɔ̰ ʔ ⁵³						
149-1	j ṵ ⁵						
152-1	ŋ a t ³¹						
157-1	d j ɔ̰ ³						
183-1	ʔ au ⁵						
184-1	n o k ³⁵						
185-1	ʃ a m ³						
189-1	n j ɔ̰ ʔ ⁵³						
192-1	n ɔ̰ ³¹						
195-1	n ɔ̰ ³¹						
200-1	h a n ³						
216-1	s ai n ³						
218-1	l ɔ̰ ʔ ³¹						
225-1	s ai n ³						
235-1	h j ei ³						
244-1	s j ɛ ⁵						
253-1	m j ɛ ³²						
270-1	m ḭ ³¹						
278-1	m a ŋ ⁵						
279-1	j ɔ ³						
285-1	j ɛ m ⁵						
308-1	d j ɛ ⁵						
322-1	m ɛ ⁵						
325-1	h au ⁵						
337-1	n j æu ŋ ⁵						
341-1	d z ɔ ⁵						
347-1	s au ⁵						
362-1	j ei ³¹						
391-1	j ɛ ³¹						
394-1	m ɔ ʔ ³¹						
397-1	dʒ ei ³¹						
443-1	n j ṵ ⁵						
460-1	s a t ⁵⁴						
463-1	j o ⁵						
464-1	j ɔ ³						
473-1	s a m ³						
476-1	h j au ŋ ³						
481-1	dʒ ei ³¹						
494-1	dʒ ɔ̰ ³¹						
496-1	tsʰ a ŋ ³						
516-1	j ei ³¹						
522-1	n ɔ̰ ʔ ³¹						
523-1	pʰ j au ŋ ³						
524-1	n ei ³¹						
540-1	h a ⁵						
3-1	d j ɛ ³						
6-1	k j ḛ ḭ ³						
7-1	dʒ ɛ m ³						
20-1	n a p ³¹						
51-1	n j ɛ n ³						
64-1	kʰ u ŋ ³¹						
65-1	kʰ ɔ ʔ ³¹						
66-1	dʒ ə ³						
71-1	s ei ³¹						
72-1	ʔ u ŋ ³						
76-1	j ɔ̰ ³¹						
77-1	n j ɔ̰ ʔ ³¹						
78-1	m au ⁵						
82-1	pʰ ə ³						
87-1	ŋ ɔ ʔ ³¹						
93-1	l a m ⁵						
94-1	m j ɛ ³²						
100-1	s w a n ³						
116-1	l u ŋ ³						
119-1	j a m ³						
124-1	pʰ j ṵ ⁵						
136-1	l ə ³						
137-1	h j au ʔ ⁵³						
144-1	s w a t ⁵⁴						
145-1	d au ³						
146-1	m a̰u ⁵						
150-1	j ɔ ʔ ⁴³						
154-1	n j u ŋ ³						
165-1	k j a n ³						
166-1	pʰ j ɔ ³						
169-1	k j æu ŋ ³²						
170-1	d j a ³						
171-1	j ə̰ ŋ ³						
174-1	l a m ⁵³						
181-1	n j ɔ̰ ʔ ⁴³						
193-1	b ə ³						
205-1	n a t ⁵						
206-1	m ə ⁵						
212-1	ʃ ɔ ʔ ⁵³						
214-1	l a m ³						
217-1	j au ⁵						
224-1	n j æu ŋ ⁵						
228-1	d i ⁵						
238-1	j ə ⁵						
241-1	s ɔ ⁵						
246-1	h j ɛ ³						
256-1	ʔ ɛ ³						
257-1	pʰ j ɔ̰ ³						
272-1	m ɔ ⁵						
273-1	j a ⁵						
274-1	m a̰u ⁵						
286-1	h a m ⁵						
289-1	kʰ au ³						
294-1	ʔ ə ³						
301-1	j ɔ̰ ʔ ³¹						
306-1	kʰ j a p ⁵⁴						
307-1	n a̰ p ⁵²						
321-1	tʰ ɔ ŋ ³						
331-1	n j ɔ̰ ⁴²						
332-1	l a m ³						
335-1	k j a ŋ ³						
336-1	n j ɔ̰ ³						
340-1	ŋ ə ⁵						
342-1	n j ṵ ŋ ⁵						
360-1	dʒ ṵ ⁵						
376-1	s ei ³¹						
389-1	n ɛ ⁵						
395-1	n ɔ̰ ³¹						
401-1	s ei ³¹						
404-1	dʒ a ŋ ³						
408-1	d ɔ ⁵						
409-1	l ɔ ʔ ³¹						
413-1	dʒ ṵ n ³						
421-1	n j ṵ ⁵						
425-1	d j ei ³						
430-1	dʒ ei ³¹						
442-1	t ə ³						
447-1	tʰ a n ³						
456-1	g ɔ ⁵						
458-1	ʃ ə ³						
469-1	kʰ au ³						
470-1	d a t ³¹						
475-1	ŋ ɔ ⁵						
477-1	n j æu ⁵						
478-1	s ei ³¹						
480-1	k i ³						
485-1	n j a ⁵						
495-1	ŋ ai ³¹						
499-1	n j æu ŋ ⁵						
500-1	n j æu ⁵						
501-1	dʒ ə ³						
506-1	s a p ⁵⁴						
507-1	n ɔ̰ ʔ ³¹						
509-1	l a ŋ ⁵						
510-1	d j a ŋ ³						
511-1	l ɔ̰ ʔ ³¹						
521-1	ʔ ai n ³						
525-1	n j ṵ ŋ ⁵						
538-1	s ə ³						
539-1	s a n ³						
544-1	kʰ j au ʔ ⁵³						
550-1	tʰ ə ⁵						
562-1	n j ṵ ŋ ⁵						
568-1	g a ŋ ³						
2-1	kʰ au ³						
11-1	ʃ a ŋ ³						
12-1	j ɔ ⁵						
22-1	k a̰ ŋ ³						
28-1	d j ɛ ⁵						
29-1	tʰ ə ⁵						
30-1	j ɔ ŋ ³						
35-1	l a ŋ ⁵						
38-1	d a ŋ ³						
42-1	pʰ ə ⁵						
