COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	n a á n a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	t a l a									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a ŋ g a									
3207-1	β ʊ l a									
3519-1	t u m a									
3686-1	i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	n u n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ ɔ m b ɛ									
1216-1	g a β a									
1228-1	β w a									
1418-1	t i m a									
1475-1	g w a									
2026-1	t w ɛ ɛ									
2775-1	β u u m b a									
3397-1	β ɔ l a									
3826-1	z ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	ʃ u l ʊ̀									
116-1	β i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
2689-2		ɲ a m a								
893-2		a a n a								
1303-2		ŋ o m a								
2197-2		dʒ a l a								
2828-2		s i n a								
3572-2		dʒ s o n i								
1095-2		l i m a								
1789-2		k a l a ŋ g a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		j i i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n o n i								
630-2		v e e l e								
814-2		g o o m b e								
1216-2		g a v a								
1228-2		w w a								
1418-2		s i m a								
1475-2		g w a								
2026-2		t w e e								
3826-2		s o o k a								
4003-2		j i v a								
4373-2		l i m i								
4384-2		i n o								
84-2		g u l u								
116-2		s i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		w i n a								
2689-3			ɲ a m a							
893-3			a a n a							
1285-3			β w a							
1303-3			k o m a							
2197-3			s a l a							
2828-3			l i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			i n a							
1789-3			k a l a ŋ g a							
3207-3			β u l a							
3519-3			r u m a							
3686-3			i i m b a							
4249-3			x u m i							
4451-3			β i s i							
448-3			n u n i							
630-3			β e e l e							
1216-3			k a β a							
1228-3			β w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i β a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i i n o							
181-3			k o ŋ g o							
419-3			l o k a							
587-3			o o ŋ g o							
660-3			l e l a							
1083-3			l i l a							
2689-4				ɲ a m a						
893-4				n a á n ɛ						
1285-4				n w a						
3572-4				s o n i						
1755-4				n ɛ						
1789-4				g a l a ŋ g a						
3686-4				i m b a						
4451-4				b i s i						
1216-4				ŋ a b a						
4003-4				i b a						
419-4				l o g a						
1122-4				b i n a						
2689-5					n a m a					
893-5					a n a					
1285-5					n w a					
1303-5					ŋ o m					
2197-5					ʃ a l a					
2828-5					ʃ i n					
3572-5					f o n					
1095-5					l i m a					
3207-5					f u l a					
3519-5					t u m					
3686-5					i m b a					
4249-5					k u m					
448-5					n u n i					
630-5					β e e l e					
814-5					ŋ o m b e					
1228-5					β w					
1418-5					ʃ i m					
2026-5					t w e					
2775-5					f u m β a					
3397-5					β o l					
3826-5					s o k					
4040-5					ŋ e n i					
4373-5					l i m i					
4384-5					i n o					
84-5					ʃ u l u					
116-5					f i k					
587-5					o n k o					
848-5					k a l a					
1303-6						g o m a				
1755-6						i				
448-6						j ɲ i				
1475-6						g w a				
3397-6						β ɔ l a				
2689-7							a m a			
893-7							a n a			
1285-7							w a			
1303-7							ɣ o m a			
2197-7							z a a			
2828-7							z i n a			
3572-7							tʃ o n i			
1095-7							i m a			
1755-7							i			
1789-7							k a ŋ g a			
3519-7							t u m a			
3686-7							i m b a			
4249-7							k u m i			
4451-7							v i s i			
814-7							ɣ o m b e			
1216-7							k a v a			
1475-7							ɣ w a			
2026-7							t w e			
2775-7							v u m b a			
3826-7							z o k a			
4003-7							i v a			
4040-7							ɣ e n i			
84-7							ɣ u			
116-7							z i k a			
181-7							ɣ o ŋ g o			
419-7							o g a			
587-7							o ŋ g o			
660-7							a e a			
848-7							k á r a			
1122-7							v i n a			
2689-8								n a m a		
1285-8								n w a		
1303-8								g o m a		
2197-8								d a r a		
2828-8								d i n a		
3572-8								s ô n i		
1755-8								n e		
1789-8								k a r a ŋ g a		
3207-8								f u r a		
3519-8								t u m a		
3686-8								i m b a		
4249-8								k u m i		
4451-8								β i ʃ i		
814-8								ŋ ô m b e		
1228-8								b w a		
2026-8								t w e		
2775-8								β u m b a		
3826-8								t o k a		
4040-8								g e n i		
181-8								g o ŋ g o		
660-8								r e r a		
848-8								k á r a		
1083-8								r i r a		
2689-9									ɲ a m a	
893-9									a n a	
1285-9									ɲ w a	
1303-9									k o m a	
2197-9									s a l a	
2828-9									z i n a	
3572-9									s o n i	
1095-9									l i m a	
1789-9									k á l a ŋ g a	
3207-9									b u l a	
4249-9									k u m i	
4451-9									b i s i	
630-9									b e l e	
814-9									ŋ o m b e	
1228-9									b w a	
1418-9									z i m a	
1475-9									k w a	
2026-9									t w e	
2775-9									b u m b a	
3397-9									b o l a	
3826-9									s o k a	
4003-9									i b a	
4040-9									g e n i	
4373-9									l i m i	
4384-9									i n o	
116-9									s i k a	
181-9									k o ŋ g o	
1083-9									l i l a	
2689-10										ɲ a m a
893-10										a n a
1285-10										ɲ w a
2197-10										dʒ a l a
2828-10										s i n a
1095-10										l i m a
1755-10										n ɛ
3207-10										b ʊ l a
3519-10										t ʊ m a
448-10										n u n i
630-10										b ɛ ɛ l ɛ
1216-10										ɔ a b a
1418-10										s i m a
2775-10										b u m b a
3397-10										b ɔ l a
4373-10										l i m i
4384-10										ɛ n ɔ
84-10										d ʊ l ʊ̀
1083-10										l i l a
1122-10										b i n a
