COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t o t									
56-1	o m i									
96-1	a t a tʃ									
99-1	t i k o n									
114-1	t o k o tʃ i									
115-1	z i tʃ i ʔ									
133-1	t i p a tʃ									
144-1	t o w a									
150-1	k a w ʔ									
234-1	k o m									
236-1	p a k o n									
241-1	a w i n									
249-1	tʃ i									
1-1	w a t a									
2-1	w o m									
65-1	i w i ʔ									
74-1	p a n a									
106-1	t o n									
128-1	p o k o									
147-1	t i m i tʃ i									
231-1	p a n a w o									
232-1	o p i o									
239-1	m a n									
266-1	i t i t i m ʔ									
51-1	w i ʔ									
97-1	m o p i									
109-1	o p i tʃ									
121-1	k a p i k o n									
149-1	t o k									
160-1	t i k									
163-1	o p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k o w									
134-1	t i p a t									
139-1	m o n o									
142-1	p a s a m a tʃ i									
145-1	k a t a z i tʃ i ʔ									
148-1	t a w a w a n									
162-1	i n									
166-1	u m i									
179-1	t a									
201-1	p i									
21-1	t a n									
24-1	t o k o n									
52-2		t e								
56-2		o m e								
96-2		a t a s								
99-2		a r e t e								
114-2		t o k e t e k i l i p a s i								
115-2		i r e								
133-2		t r a p a s i								
144-2		a t r e								
150-2		k a w								
234-2		k o m								
236-2		p i k i n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a ʔ								
93-2		t o p a r e n								
95-2		a w i s								
106-2		t o i s								
119-2		p i t								
128-2		p i s i								
147-2		t i m i s i								
231-2		p a n a w o								
232-2		o p i ã								
239-2		n a m a k a n								
266-2		p i s i k i n i s i								
51-2		w e								
55-2		i a m								
97-2		n a m a p								
121-2		k a p i ã								
163-2		o p i n								
167-2		p a								
259-2		t o a								
66-2		k a r a k a w								
112-2		t r a p a s i								
116-2		t o a p a s i								
125-2		i k i m a s i								
135-2		t i m a s i								
139-2		i l i p i s i								
142-2		p a p a s i								
148-2		t r a p a s i								
162-2		i n j i n								
166-2		i m i								
179-2		t a								
52-3			t y t							
56-3			o m i							
96-3			a t a s a							
99-3			p a r i							
114-3			t u k a i v a tʃ e							
115-3			n a v i r i							
133-3			t a p u i t a k a r							
144-3			n a v i r i							
150-3			k a w							
234-3			k u m							
236-3			p a k o n							
241-3			a w i n							
249-3			n s e							
1-3			w a t a							
2-3			j u m							
65-3			i w i							
93-3			t u p a r i d n							
95-3			n a v i s e k e							
106-3			t u n a w i							
119-3			j t i t o							
128-3			a u k							
