COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	ɲ i ŋ							
4-1	tʰ ɛ k							
6-1	n a ŋ							
15-1	b i							
55-1	l u							
56-1	u							
60-1	ɕ i							
61-1	kʰ u ŋ							
80-1	tɕʰ ɔ k							
87-1	tɕʰ a							
86-1	pʰ u							
92-1	pʰ a							
102-1	m a							
106-1	pʰ ɔ k							
108-1	d a							
107-1	h a							
112-1	pʰ a m							
115-1	ɕ a							
114-1	t ɔ m							
120-1	t a							
124-1	u							
125-1	tʰ ɔ k							
132-1	h i ŋ							
131-1	r i ŋ							
136-1	m a							
134-1	kʰ a k							
137-1	u							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɔi							
149-1	h i k							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	h i s							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	t u ŋ							
183-1	r ɛi							
185-1	m a							
188-1	kʰ u n							
189-1	ts u n							
193-1	h ɛ							
196-1	m a n							
199-1	ɕ ɛi							
200-1	kʰ ɛ n							
201-1	kʰ i							
202-1	kʰ u							
203-1	tʰ ɔ ŋ							
204-1	b ɔ p							
206-1	ɲ a m							
117-1	b ɔ p							
146-1	kʰ i p							
219-1	h u							
218-1	kʰ i							
224-1	m a							
240-1	tɕʰ a k							
244-1	j a t							
255-1	t a s							
260-1	b a							
263-1	l a							
269-1	dʑ j ɛ ŋ							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m ɛ m							
278-1	b u ŋ							
135-1	d a							
284-1	m ɔ p							
797-1	u							
290-1	l i ŋ							
289-1	k i k							
296-1	h i							
310-1	ɕ i							
319-1	ɔ							
325-1	r ɛ							
327-1	tʰ e							
331-1	k u							
337-1	b a ŋ							
338-1	ɲ u ŋ							
339-1	a							
350-1	kʰ u							
349-1	t u ŋ							
357-1	tɕʰ a							
355-1	u							
363-1	m a n							
361-1	tʰ oː							
365-1	s a ɹ							
364-1	g ɛ s							
375-1	l u k							
379-1	ɕ ɛ t							
380-1	kʰ u							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ u m							
409-1	l j ɛ k							
410-1	h i k							
415-1	p a							
416-1	p a							
101-1	ɲ a							
37-1	kʰ a							
424-1	h ɔi							
434-1	tɕʰ a m							
445-1	p u							
446-1	ɕ ɔ							
451-1	t ɔ							
457-1	n a m							
456-1	p a							
464-1	pʰ i ŋ							
473-1	ɕ ɔ							
474-1	ɔ ŋ							
479-1	s i ŋ							
489-1	j ɔ							
490-1	h a ŋ							
494-1	ɕ a							
503-1	kʰ u s							
502-1	s a ŋ							
235-1	n u ŋ							
519-1	l ɔ							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ							
544-1	w a m							
850-1	u							
554-1	b a							
553-1	d u ŋ							
558-1	kʰ a m							
561-1	ts a ŋ							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	u							
582-1	l e							
585-1	a t							
589-1	k u m							
593-1	d ɛ n							
594-1	l a ŋ							
595-1	tʰ u ŋ							
596-1	ɲ ɔ k							
598-1	ʑ a							
599-1	d ɛ m							
602-1	ʑ ɛi							
603-1	l a p							
606-1	s u m							
605-1	b a p							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ u							
646-1	r j ɛ ŋ							
168-1	h ɛ k							
658-1	h ɔ ŋ							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ n							
493-1	ʑ ɔ p							
693-1	ɕ a							
694-1	m a							
702-1	tɕʰ u m							
704-1	m a							
176-1	l a							
709-1	ɕ a m							
710-1	t ɔ p							
714-1	m a t							
718-1	kʰ u							
719-1	tɕʰ a m							
22-1	m u							
723-1	ɕ i ŋ							
726-1	b j ɛ ŋ							
729-1	p u							
730-1	t i							
739-1	pʰ l ɔ							
740-1	b u							
741-1	kʰ ɔ p							
744-1	u							
743-1	h a n							
746-1	pʰ ɔ ŋ							
748-1	d ɛ k							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t a							
762-1	m ɛ n							
764-1	h ɛ n							
765-1	b i							
788-1	h u m							
615-1	l a k							
803-1	ɕ a							
802-1	m a k							
808-1	b a							
809-1	ʨ i							
819-1	d u k							
821-1	ɕ a							
820-1	b ɛi							
828-1	ɕ a k							
827-1	p u							
835-1	h a s							
308-1	d u							
844-1	ʑ i							
848-1	m a							
705-1	l a							
613-1	u							
649-1	h j ɛ k							
876-1	ɕ u							
878-1	j ɔ ŋ							
889-1	h a m							
898-1	h u k							
902-1	h a ŋ							
910-1	u ɲ							
916-1	r ɔ							
919-1	r ɛi							
922-1	ɕ i s							
930-1	ɕ u							
933-1	kʰ i s							
939-1	d j ɛ k							
947-1	w ɛ n							
948-1	n ɔ							
963-1	ʑ a							
967-1	ɕ u k							
969-1	ɕ a							
970-1	k ɔ k							
972-1	ɲ i ŋ							
731-1	m ɔ p							
973-1	b i ŋ							
974-1	h a s							
979-1	tɕ a ŋ							
182-1	kʰ u							
993-1	ɲ i ŋ							
994-1	j ɔ p							
1001-1	ɕ ɛi							
1002-1	d ɔ k							
1005-1	tɕʰ u							
1009-1	kʰ u							
1022-1	ɕ u							
1021-1	j k							
1043-1	w ɔ ŋ							
1049-1	t ɛi							
1065-1	kʰ i ŋ							
1068-1	j u							
1077-1	n u ŋ							
1081-1	r a m							
1084-1	h i ŋ							
1092-1	m ɛi							
1091-1	dʑ ɔ							
1096-1	ɲ i ŋ							
1097-1	h ɔ							
1102-1	ɲ ɔi							
1104-1	tʰ u ŋ							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	p a							
1116-1	ɕ a n							
722-1	kʰ u							
1141-1	j a ŋ							
1147-1	pʰ u							
1146-1	z u							
1150-1	kʰ a ŋ							
1151-1	ɔ m							
1158-1	h a k							
1159-1	pʰ u m							
1164-1	tʰ ɔ							
1163-1	l a							
1167-1	s a ŋ							
1171-1	l ɔi							
1177-1	tɕʰ i ɹ							
1187-1	kʰ ɛi							
1189-1	ɲ i s							
52-1	kʰ a							
1195-1	ʑ ɔ p							
1203-1	t u p							
1211-1	j u							
329-1	w a t							
1217-1	m a							
72-1	kʰ a							
1218-1	ɕ i k							
1222-1	tɕʰ u ɹ							
1229-1	dʑ a m							
1238-1	d a ŋ							
1249-1	ɲ i							
1252-1	j a							
1254-1	ɲ i ŋ							
1253-1	ɕ u m							
1257-1	kʰ u l							
1263-1	dʑ ɛ							
1266-1	dʑ a k							
584-1	t ɔ m							
7-1	w ɔi							
1191-1	n a ŋ							
13-1	tɕʰ a							
18-1	b i							
33-1	h a m							
74-1	t a							
81-1	ɕ a ŋ							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ i							
122-1	kʰ u s							
121-1	m a							
154-1	tɕʰ u							
159-1	ɕ a							
161-1	kʰ ɔ							
170-1	g ɛ t							
91-1	u							
181-1	n u							
186-1	tɕʰ a							
191-1	ɕ a							
217-1	k a							
221-1	ɲ u							
252-1	tɕʰ ɛ ŋ							
253-1	r j ɛ ŋ							
261-1	b a							
262-1	j ɔ							
281-1	ts j ɛ k							
287-1	n u							
288-1	l a							
292-1	d ɔ k							
297-1	kʰ ɔ k							
311-1	t ɔ							
332-1	b a							
358-1	j ɔ ŋ							
366-1	k i							
378-1	tɕʰ a s							
382-1	m ɔi							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m a							
477-1	d a							
478-1	l u							
481-1	dʑ a p							
483-1	ʑ ɛ n							
511-1	kʰ u							
525-1	tɕʰ ɔ							
542-1	d ɔ ŋ							
638-1	n ɔ							
656-1	z a							
657-1	d ɔ ŋ							
659-1	d a							
711-1	tɕʰ ɔ ŋ							
745-1	ɲ a m							
818-1	tʰ ɛ k							
825-1	tʰ e							
839-1	tɕʰ ɛi							
841-1	j a							
894-1	b ɹ							
932-1	ɕ i							
1-2		g uː						
5-2		n a						
4-2		tʰ e						
6-2		n a ŋ						
15-2		dʑ i						
55-2		r ɔ						
56-2		a						
60-2		z aː						
61-2		k y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ ɐ						
86-2		pʰ a						
92-2		pʰ a						
102-2		m a						
106-2		pʰ u k						
108-2		d ə						
107-2		pʰ l a						
112-2		pʰ a ŋ						
115-2		s a						
114-2		t u ŋ						
120-2		t u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r ɛ̃ĩː						
136-2		m u						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː ŋ						
147-2		h ɛː						
149-2		m i k						
153-2		s a						
152-2		k ɛ n						
158-2		h i k						
163-2		r ə						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
