COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g ă															
241-1	ʔ u t															
2163-1	h u n															
2181-1	n ă m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m ɛ															
2017-1	h e															
1004-1	t a															
614-1	p ou̯ h															
686-1	b l e															
88-1	g ă k															
872-1	n a															
1891-1	d a															
68-1	s i m															
631-1	p ə̆ h															
594-1	g a															
1759-1	h ă n															
805-1	g ɨ n															
1859-2		ŋ ai̯														
175-2		k e n														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n ɔ m														
2060-2		ʔ oː m														
410-2		ɗ aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d eː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k o k														
872-2		n ɨ ŋ														
1891-2		ɗ eː														
68-2		s iː m														
631-2		b u n														
594-2		g aː n														
1759-2		h a n														
805-2		k a n														
1859-3			ŋ r ɔ													
175-3			k a													
241-3			ʔ uː ʔ													
2163-3			h o r													
2181-3			n a m													
2060-3			ʔ oː m													
410-3			ɗ aːi̯													
1841-3			m aːu̯													
2017-3			h i													
1004-3			d aː													
614-3			b o h													
686-3			b l iː													
88-3			k a ʔ													
872-3			n u ŋ													
1891-3			ɗ a													
68-3			s i m													
631-3			b r a n													
594-3			g aː n													
1759-3			h i ɲ													
805-3			k i n													
1859-4				ŋ ai̯												
175-4				k a t												
241-4				ʔ uː ʔ												
2163-4				kʰ uː												
2181-4				n ɔː m												
2060-4				ʔ oː m												
410-4				t aːi̯												
1841-4				m aːu̯												
2017-4				h ɔi̯												
1004-4				d ɛː												
614-4				p o h												
686-4				b l iː												
88-4				k a k												
872-4				n ɨ ŋ												
1891-4				t a												
68-4				s iː m												
631-4				p a uː												
594-4				k ɛː												
1759-4				h a n												
805-4				k ə n												
1859-5					ŋ iː l											
175-5					k ə n											
241-5					ʔ uː ʔ											
2163-5					h uː r											
2181-5					n a m											
2060-5					ʔ oː m											
410-5					ɗ aːi̯											
1841-5					m aːu̯											
2017-5					h ei̯											
1004-5					l̥ aː											
614-5					p au̯ h											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n ou̯ ŋ											
1891-5					ɗ a											
68-5					s i m											
631-5					b r uː											
594-5					k aː n											
1759-5					h ai̯ ɲ											
805-5					k i ɲ											
1859-6						ŋ iː										
175-6						k ə n										
241-6						ʔ uː t										
2163-6						k uː r										
2181-6						n a m										
2060-6						ʔ oː m										
410-6						ɗ iː										
1841-6						m aːu̯										
2017-6						h ei̯										
1004-6						l̥ a										
614-6						p o h										
686-6						b l ei̯										
88-6						k a t										
872-6						n ə ŋ										
1891-6						ɗ a										
68-6						s i m										
631-6						p a n										
594-6						ʔ a n										
1759-6						h e ɲ										
805-6						k i ɲ										
1859-7							ŋ ai̯									
175-7							k a									
241-7							ʔ uː ʔ									
2163-7							kʰ uː									
2181-7							n ɔ m									
2060-7							ʔ o m									
410-7							t aːi̯									
1841-7							m aːu̯									
2017-7							h ɔːi̯									
1004-7							d ɛː									
614-7							p o h									
686-7							b l ɔːi̯									
88-7							k ɔː ʔ									
872-7							n ɨ ŋ									
1891-7							t ɛː									
68-7							s i m									
631-7							p ə n									
594-7							k aː									
1759-7							h ɔ n									
805-7							k ə n									
1859-8								ŋ ai̯								
175-8								g a								
241-8								ʔ uː t								
2163-8								h o n								
2181-8								n a m								
2060-8								ʔ ɔː m								
410-8								ɗ aːi̯								
1841-8								m ɔː								
2017-8								h ei̯								
1004-8								t ɛː								
614-8								p o h								
686-8								b l eː								
88-8								g a ʔ								
872-8								n u ŋ								
1891-8								t ɛː								
68-8								s i m								
631-8								p r								
594-8								g ɛː								
1759-8								h a n								
805-8								g i n								
1859-9									ŋ ai̯							
175-9									k ɔ n							
241-9									ʔ u ʔ							
2163-9									h u r							
2181-9									n a m							
2060-9									ʔ u m							
410-9									ɗ aːi̯							
1841-9									m oː							
2017-9									h iː							
1004-9									l ɛː							
614-9									p o h							
686-9									b l i							
88-9									g ɔ ʔ							
872-9									n u ŋ							
1891-9									d ɛː							
68-9									s i m							
631-9									b r iː							
594-9									k ɛː							
1759-9									h i ŋ							
805-9									k i n							
1859-10										ŋ iː r						
175-10										k ə n						
241-10										ʔ u ʔ						
2163-10										k u r						
2181-10										n a m						
2060-10										ʔ ɔː m						
410-10										ɗ aːi̯						
1841-10										m iː						
2017-10										h e						
1004-10										r̥ a m						
614-10										b ɔ h						
686-10										b l e						
88-10										k ɔ ʔ						
872-10										n a ŋ						
1891-10										ɗ a						
68-10										s i m						
631-10										b aː n						
594-10										k aː n						
1759-10										h ɛ ŋ						
805-10										k ɨ ŋ						
1859-11											ŋ ai̯ ʔ					
175-11											k a n					
241-11											ʔ uː ʔ					
2163-11											k uː n					
2181-11											n a m					
2060-11											ʔ oː m					
410-11											t aːi̯					
1841-11											m aːu̯					
2017-11											h ɔi̯					
1004-11											d aː					
614-11											b o h					
686-11											b l ei̯					
88-11											k a k					
872-11											n ɨ ŋ					
1891-11											t a					
68-11											tɕʰ iː m					
631-11											b a uː					
594-11											k aː n					
1759-11											h a ɲ					
805-11											k ə n					
1859-12												ŋ ɛ				
175-12												g ă				
241-12												ʔ u ʔ				
2163-12												g u n				
2181-12												n ă m				
2060-12												ʔ o m				
410-12												d ai̯				
1841-12												m ɛ				
2017-12												h e				
1004-12												t a				
614-12												p ou̯ h				
686-12												b a				
88-12												g ă k				
872-12												n a				
1891-12												d a				
68-12												s i m				
631-12												b ə̆ n				
594-12												g a				
1759-12												h ă ɲ				
805-12												g i ɲ				
1859-13													ŋ ɛ			
175-13													g ă			
