COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ a ⁵⁵								
495-1	n au ³⁵								
838-1	ˀn ɔ ⁵⁵								
438-1	l ə ⁵⁵								
334-1	l a ʔ ⁵⁵								
360-1	l i ³¹								
394-1	n i ³¹								
221-1	ə au ⁵⁵								
202-1	k au ³¹								
935-1	k ⁵⁵								
93-1	ts i ³¹								
7-1	p ə n ³¹								
664-1	ɔ ə ŋ ⁵⁵								
246-1	x a ʔ ⁵⁵								
547-1	ʃ ə k ⁵⁵								
555-1	ə n ⁵⁵								
464-1	m au ³¹								
119-1	ts i ŋ ⁵⁵								
835-1	ˀn a p ⁵⁵								
79-1	t ɔ ³¹								
693-1	ŋ au ⁵⁵								
477-1	ˀn a p ⁵⁵								
891-1	tʰ a ŋ ³⁵								
528-1	ʐ ɔ ⁵⁵								
797-1	x ʐ ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ a t ⁵⁵								
452-1	ŋ ʐ ʔ ⁵⁵								
580-1	ŋ a ʔ ⁵⁵								
833-1	ˀn o̱ ⁵⁵								
390-1	a n ⁵⁵								
696-1	ŋ ə ⁵⁵								
86-1	s au ŋ ⁵⁵								
384-1	m̥ ə n ³⁵								
61-1	ʈʂ a n ⁵⁵								
536-1	s a ʔ ⁵⁵								
731-1	s a ³¹								
779-1	s a ⁵⁵								
589-1	m̥ a ŋ ⁵⁵								
658-1	ɔ a n ⁵⁵								
456-1	m̥ ʐ a ŋ ³¹								
183-1	k ʐ i ³¹								
785-1	x a ⁵⁵								
714-1	au n ⁵⁵								
331-1	k ɔ ³¹								
930-1	ŋ a ʔ ⁵⁵								
161-1	k a ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ ʔ ⁵⁵								
194-1	ʐ a ʔ ⁵⁵								
727-1	ɔ a ŋ ⁵⁵								
260-1	m̥ a a ʔ ⁵⁵								
144-1	k ə m ⁵⁵								
53-1	p a n ⁵⁵								
59-1	t a ʔ ⁵⁵								
506-1	pʰ ə ʔ ⁵⁵								
29-1	p ə k ⁵⁵								
316-1	tʰ ə k ⁵⁵								
389-1	m ʐ a ŋ ⁵⁵								
118-1	m a ³⁵								
312-1	m̥ ɔ ⁵⁵								
490-1	ŋ ə ³⁵								
436-1	l a ŋ ³¹								
927-1	ŋ a ŋ ⁵⁵								
