COGID	Albanian	English	French	German	Latin
560-1	w j a				
438-1	u r				
1222-1	o w				
353-1	p u ɟ k u				
201-1	f uː n				
20-1	f a r				
503-1	f l a n				
957-1	u ə				
728-1	l u n g a				
244-1	n a m				
289-1	n u k d				
911-1	w u r ɟ u				
724-1	d r u r				
145-1	d u a				
992-1	k u				
1181-1	k j a n				
741-1	f u k a				
1150-1	s u r d				
585-1	t uː				
814-1	w o r				
916-1	ʃ t				
1079-1	b w a				
630-1	j ŋ				
343-1	w w a i				
8-1	k r a				
385-1	r ə				
683-1	k ə t				
650-1	k ə a l				
612-1	f uː m a				
871-1	d r w t				
667-1	l a w o				
527-1	w ai d ə r				
499-1	n ə				
1029-1	w ə				
336-1	p a r ɟ				
198-1	m ð r				
164-1	n ə m r o				
560-2		w j ɪ			
438-2		au r i j			
1222-2		u ɛ s			
353-2		p ɪ s k ɪ			
201-2		p ɛ k ə ɛ			
20-2		f ɔ r			
503-2		f ai l i			
957-2		ɪ n			
728-2		l ai ŋ g			
244-2		ɪ m ə ɪ			
289-2		n a d			
911-2		r ə t ɪ n			
724-2		d r ɪ			
145-2		θ au ai			
992-2		w ɪ			
706-2		au g ə l ai			
106-2		p a d r			
741-2		p ɛ k			
421-2		f l o			
227-2		p ɪ ɪ			
920-2		h ɪ r			
1083-2		h ai r n ʊ			
1066-2		ɪ f			
1125-2		g ɪ n ʊ			
1197-2		m au r			
473-2		n ai w i l			
284-2		n ɪ s ə			
661-2		ʊ			
701-2		r au v r ai			
315-2		r au θ			
1169-2		s a l			
1150-2		k au r d ə r			
982-2		s ɪ θ ɪ			
987-2		s n			
1055-2		ɪ d ɪ a l			
1130-2		s ʊ ɛ			
433-2		s o l i j			
625-2		l au ŋ ə			
1186-2		ð ɛ n			
416-2		w			
1233-2		w ɪ n d ai			
884-2		w i r m ɪ			
1016-2		ɛ n iː m a l			
952-2		ɛ			
78-2		f l ɪ s			
514-2		v r ɪ l ɛ			
116-2		ɛ θ ɪ			
188-2		p r ai			
745-2		p ɪ n ə r			
1100-2		f r au ɪ d			
47-2		h m i n			
111-2		l ɛ h			
1061-2		m a n			
24-2		n e n			
232-2		n ʊ n			
671-2		r ɪ f d			
385-2		s			
945-2		s ɪ m ɪ n			
644-2		h ʊ s			
1041-2		s d ɪ			
492-2		d ɪ n au ɪ			
1209-2		w o m iː			
527-2		au j			
14-2		g ɛ l v			
1-2		a l			
915-2		au n d			
271-2		a s ə			
711-2		v ai t			
1112-2		v l ʊ d			
205-2		v r au t d			
301-2		l au ə			
72-2		k o l d			
162-2		k ʊ			
238-2		d e g			
560-3			w s		
438-3			u r ɛ		
1222-3			e s		
353-3			f ɛ s k ɛ		
201-3			f ɛ s		
20-3			f ɔ r		
503-3			f u l		
957-3			ɛ n		
728-3			s a ŋ		
244-3			e ɑ̃ r		
289-3			n a t		
911-3			r a s		
