COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ʈʂ ə˞ ²¹									
93-1	k ə ²¹									
216-1	s w a ⁴⁴									
236-1	ts o ³³									
267-1	tɕ j e n ⁴⁴									
316-1	p ɯ ³³									
327-1	x ɯ ³³									
348-1	tɕ i ⁴⁴									
400-1	z u ²¹									
452-1	k ə˞ ²¹									
463-1	k a ⁴⁴									
512-1	d a ⁴²									
534-1	tɕ u ⁴⁴									
556-1	kʰ m ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	p ɯ ³⁵									
656-1	k o ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m i ⁴⁴									
775-1	p j ɛ̃ ⁴²									
786-1	k i ⁵⁵									
820-1	tɕ i ³¹									
839-1	t ɯ ²¹									
863-1	k w o ³³									
896-1	k ə˞ ³⁵									
929-1	t ɯ ³¹									
1015-1	ʂ u ⁵⁵									
1035-1	tɕ i ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	s i ³³									
1195-1	s i ³³									
1241-1	m i ²¹									
1252-1	l o ²¹									
1294-1	k a ŋ ²¹									
1326-1	tɕ i ³³									
1348-1	tɕ i ³¹									
1401-1	s e n ⁴²									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ i ⁴⁴									
1532-1	k ɯ ⁵⁵									
1543-1	ʂ ɯ ³³									
1575-1	s ə̃˞ ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	s i ⁴⁴									
1731-1	s o ŋ ³⁵									
1762-1	s w a ⁴²									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	ʐ ɯ ⁴²									
1816-1	ʂ u ³³									
1862-1	ʈʂ i ⁵⁵									
1885-1	ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	s i ⁵⁵									
2018-1	ts o ²¹									
2029-1	k a ŋ ³⁵									
2051-1	tɕ o ²¹									
2074-1	k u ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	t u ⁴²									
2269-1	m i ³³									
2280-1	ʂ u ³¹									
2291-1	s ə̃˞ ³¹									
2316-1	tɕ i ⁴⁴									
2364-1	ʐ ə˞ ³³									
2395-1	tʰ ə˞ ⁵⁵									
2406-1	tɕʰ j ə˞ ⁵⁵									
2417-1	k o ⁴²									
2428-1	k a ŋ ⁵⁵									
2450-1	t o ²¹									
2484-1	ɕʰ i ⁴⁴									
2495-1	k u ²¹									
2565-1	tɕ i ⁵⁵									
2611-1	j ou ⁴²									
2632-1	w a ⁴⁴									
2644-1	w a ⁴⁴									
2674-1	m õ ³³									
2698-1	ʂ u ³³									
2709-1	n e ²¹									
2720-1	tɕ i ³¹									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ j ə˞ ³⁵									
2837-1	ʈʂ e n ³⁵									
2859-1	ʂ i ⁵⁵									
2889-1	tɕ i ³³									
2900-1	k o ³³									
2928-1	tsʰ o ŋ ⁵⁵									
2941-1	k ɯ ⁵⁵									
2998-1	ʈʂ i ³³									
3031-1	tʰ u ³³									
3052-1	d ɯ ⁴²									
3064-1	t a ²¹									
3084-1	tʰ j ə˞ ⁴⁴									
3117-1	ʐ ə˞ ⁴²									
3128-1	k ə˞ ⁴²									
3150-1	t e ⁴²									
3161-1	t ɯ ³³									
3172-1	ʈʂ i ³³									
3263-1	j a ⁴⁴									
3274-1	k ə˞ ⁴²									
3308-1	k e ³⁵									
3340-1	ts u ⁴⁴									
3362-1	ʈʂ ə̃˞ ³⁵									
3409-1	m i ³³									
3454-1	k u ²¹									
3493-1	s ou ⁴⁴									
3536-1	ʂ o ³⁵									
3548-1	f ʯ ⁴²									
3645-1	ʂ u ⁵⁵									
3678-1	tɕʰ i ⁴⁴									
3757-1	l u ²¹									
3779-1	k o ⁴²									
3813-1	x ə˞ ³⁵									
3835-1	s ə̃˞ ³⁵									
3855-1	p ə̃˞ ²¹									
3885-1	s w e ⁴⁴									
3907-1	p ə˞ ³⁵									
3942-1	ts i ³³									
3953-1	tʰ ə˞ ³³									
4023-1	s j ə˞ ³⁵									
4034-1	t ɯ ²¹									
4143-1	t u ⁴²									
4185-1	m o ⁴⁴									
4227-1	tsʰ ə̃˞ ⁵⁵									
4238-1	tɕ j o ²¹									
4249-1	k a ²¹									
4271-1	ʐ ə˞ ⁴²									
4304-1	tɕ j u ⁴²									
4315-1	t o ³³									
4336-1	t i ⁴²									
4400-1	s o ŋ ³⁵									
4411-1	x e ³⁵									
4441-1	l u ²¹									
4557-1	k u ⁵⁵									
4591-1	j o ³³									
4602-1	ɣ ɯ ⁴²									
4687-1	x e ⁵⁵									
4720-1	k i ²¹									
4731-1	t e ⁴²									
4763-1	t ɯ ²¹									
4918-1	ʈʂʰ ɯ									
4976-1	t ɯ ⁴⁴									
4998-1	ʂ u ³³									
5037-1	t ɯ ⁴⁴									
5048-1	ts ɯ ⁵⁵									
5100-1	m õ ²¹									
5111-1	p ə˞ ⁴²									
5122-1	kʰ w a ⁴⁴									
5163-1	tɕ i ³³									
5192-1	tɕ i ²¹									
5225-1	n u ⁴²									
5236-1	tʰ e ³³									
247-1	p i ²¹									
289-1	ʂ i ⁴⁴									
338-1	k w e ⁴²									
378-1	t j ɯ ⁴²									
621-1	k w a ⁴⁴									
632-1	n o ³³									
645-1	p a ⁴²									
742-1	k ə˞ ⁴⁴									
752-1	ŋ ɯ ²¹									
763-1	tʰ o ŋ ³³									
809-1	p a ⁴²									
853-1	kʰ o ŋ ⁵⁵									
916-1	ts o ¹³									
960-1	m i ⁵⁵									
1001-1	k ɯ ⁵⁵									
1074-1	x u ⁵⁵									
1130-1	pʰ a ⁴²									
1184-1	ʂ ə̃˞ ⁵⁵									
1230-1	k w ə˞ ³³									
1263-1	m ɯ ⁴²									
1423-1	k o ŋ ⁵⁵									
1433-1	m ɯ ²¹									
1462-1	w ẽ ³³									
1629-1	f ʯ ⁵⁵									
1682-1	ɕʰ o ŋ ³⁵									
1706-1	tɕ j a ⁴²									
1925-1	tɕ i ³³									
1991-1	tɕ o ³³									
2040-1	p o ³³									
2107-1	x u ⁴²									
2118-1	p u ³³									
2141-1	ʂ o ²¹									
2540-1	tɕ j u ²¹									
2576-1	m i ³³									
2664-1	m ɯ ⁴⁴									
2753-1	j o ŋ ³⁵									
2848-1	tɕ i ³¹									
2870-1	ɣ ɯ ³³									
2871-1	s w a ⁴⁴									
2952-1	w a ⁴⁴									
3020-1	p u ³³									
3214-1	p ə̃˞ ³³									
3285-1	tʰ a ⁴⁴									
3373-1	tʰ ə˞ ⁴⁴									
3397-1	j a ⁴⁴									
3443-1	k ə ²¹									
3566-1	k ə˞ ⁴⁴									
3590-1	s o ⁴⁴									
3601-1	k ə˞ ⁴²									
3634-1	tɕ o ³³									
3689-1	k ə˞ ³³									
3964-1	x ə˞ ³⁵									
4056-1	t a ⁴²									
4102-1	ʈʂʰ u									
4326-1	k ɯ ³³									
4412-1	m ə˞ ²¹									
4511-1	tɕ j ə˞ ⁴⁴									
4581-1	k ɯ ⁵⁵									
4676-1	ʈʂʰ u ⁵⁵									
4688-1	m ə˞ ²¹									
4708-1	ou ⁴⁴									
4814-1	ʈʂ ə˞ ⁴²									
4844-1	tsʰ o ³³									
4854-1	k o ³³									
4929-1	j ɯ ²¹									
4940-1	t w e n ³⁵									
