COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m i tʃ + i								
2-1	tɬ a x + tɬ i								
8-1	w eː j								
16-1	e s + tɬ i								
24-1	i s t e								
32-1	m i k i								
51-1	t oː n + t i								
52-1	w a k + t o k								
53-1	n a k a s + tɬ								
54-1	tɬ a l + l i n								
55-1	k w aː + tɬ								
60-1	iː x + t oː l o l oː								
83-1	tɬ a + tɬ i								
87-1	p a tɬ a n i								
92-1	m a k a								
103-1	m a +								
106-1	k a k i								
138-1	n a ʔ w								
139-1	m i k + tɬ i								
142-1	m a tɬ i								
145-1	m o + t e k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː s + tɬ i								
186-1	k tʃ								
190-1	j a k + tɬ								
194-1	iː eː								
220-1	o ʔ + tɬ i								
231-1	ʔ t a								
240-1	k tʃ i								
283-1	t eː + tɬ								
293-1	i n + oː n								
314-1	k w a i + tɬ								
315-1	oː m e								
322-1	t w a m + tɬ								
323-1	tɬ a n								
9-1	t oː t o + tɬ								
17-1	oː m i + tɬ								
22-1	tɬ a t i								
30-1	w iː ts								
88-1	i h t e								
158-1	w eː j a k								
159-1	a t i n								
177-1	m i j a k								
184-1	t oː k w a + tɬ								
187-1	j a n k w + k								
227-1	x aː l + l i								
235-1	m o + tɬ a l i n								
249-1	tʃ oː k + tɬ i								
251-1	m o + k e k ts								
289-1	k w i tɬ a tʃ i l								
294-1	t a ʔ w								
296-1	n eː n e p i l								
313-1	tɬ a n + t i								
316-1	n e ʔ + n e m i								
318-1	t oː t oː n k								
320-1	a + tɬ								
324-1	tʃ s t aː k								
326-1	a tʃ + tɬ i								
1-2		n u tʃ u							
2-2		t a x u w i + t							
8-2		w e j u							
16-2		j s + t i							
24-2		i s t i							
32-2		n i k i							
51-2		h uː n i							
52-2		o k + t i k							
53-2		n a k a s + t i							
54-2		t a l + t i							
55-2		k o k o i t							
60-2		iː x + r e l u l u							
83-2		t iː h t i							
87-2		tʃ a t n i							
92-2		n a k a							
103-2		n a j							
106-2		k a k u							
138-2		n e h w a + t							
139-2		m u k + t i							
142-2		m a t i							
145-2		n + t e k a							
176-2		t a b t i							
