COGID	dutch	english	french	german
1469-1	x ɑ n t			
2047-1	x iː n			
2054-1	d iː n eː			
1375-1	l ɛ x			
760-1	w ɛ n t			
756-1	s n eː			
726-1	m ɔ d ə r			
1351-1	r ɛ s t + f aː d ə r			
1353-1	ɡ r aː n + m uː n			
412-1	v ə r + d øː t ə r			
406-1	s x oː n + l uː t ə r			
1005-1	s t iː v + f aː d ə r			
1012-1	s t iː v + ɔ t ɛ r			
1016-1	w aː t ə r			
1069-1	ɪ k			
509-1	v ɔ l ə			
693-1	m ɑu w			
2179-1	n eː t			
1753-1	v w ɑ s t			
1131-1	w ɔ l f			
1198-1	b ɑ r t			
2032-1	h iː r			
2241-1	n aː x			
2244-1	l ɪ p			
610-1	k n ɔ			
945-1	h ɛ r t			
1534-1	l ə k			
384-1	z ɛ k			
1650-1	n w ɑ			
1663-1	x ɑ l t			
2279-1	l ɛɪ n			
471-1	x ɛ m			
1385-1	x aː d ɛ s			
792-1	ɔ iː k			
1111-1	m ɑ s t			
197-1	z uː t ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v l iː			
1230-1	d r w ɑ			
2017-1	n œy f			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h eː l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z eː ɡ ə			
1832-1	r ɔ x			
-1816-1	oː t eː aː n			
-335-1	l ɑ ɣ ə			
1043-1	s t r ɔ m			
1469-2		s æ n d		
2047-2		s ɔː n		
2054-2		d ɔː n d ə r		
1375-2		l aɪ m		
760-2		w aɪ n d		
756-2		s n eɪ w		
726-2		m aʊ z d ə r		
1351-2		ɡ r ɛ s t + f ɪ n		
1353-2		ɡ r ɔː s t ʀ		
412-2		ʃ ʌ p ə r + ɪ n + l ɔː		
406-2		ʃ m iː d		
1005-2		s t ɛ f + aʊ t ə r		
1012-2		s t ɛ d + aʊ t ə r		
1016-2		w ɛ d əʊ		
1069-2		ɪ k		
509-2		f ɪ l		
693-2		m aʊ l		
2179-2		n ɛ s t		
1753-2		f w æ s		
1131-2		w ʊ l f		
1198-2		b ɑː r d		
2032-2		h ɔː r		
2241-2		n iː z		
2244-2		l ɪ p		
610-2		k n iː		
945-2		h ɑː k		
1534-2		l ɪ k		
384-2		s aʊ t		
1650-2		n w t		
1663-2		s əʊ l d		
2279-2		l aɪ n		
471-2		s iː m		
1385-2		s iː d		
792-2		ʌ ɪ k		
1111-2		m æ s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		h uː n d		
1970-2		f ɔː l		
1230-2		d r ɪ d		
2017-2		n eɪ f		
968-2		w iː l d		
1674-2		l æ n d		
1671-2		h aɪ v l̩		
829-2		k l aɪ p		
1025-2		w ɛ ð ə r		
1027-2		s eɪ		
1832-2		r aɪ		
-1816-2		ʌ t eɪ n		
-335-2		l æ aʊ n		
1043-2		s t r ɛ m		
1469-3			ʃ a n t	
2047-3			ʃ u n	
2054-3			t u n t e ʀ	
1375-3			l ɪ x	
760-3			v ɪ n d	
756-3			n u v	
726-3			j t e ʀ	
1351-3			ɡ ʀ a t ʀ	
1353-3			ɡ ʀ a ɛ̃ i ʀ	
412-3			p ə ʀ o t ʀ	
406-3			ʃ v iː ɡ ə r	
1005-3			t ə p p aː t ʀ	
1012-3			t ɔ p ʀ	
1016-3			v i t ɡ ə ʀ	
1069-3			i k	
509-3			p e l e	
693-3			au l p ɔ ʀ l	
2179-3			n ə t	
1753-3			p ɪ	
1131-3			v u l p	
1198-3			b aː ʀ t	
2032-3			ʃ a ʀ	
2241-3			n u ʃ	
2244-3			l ɪ p	
610-3			k n ə	
945-3			ʃ a ʀ t	
1534-3			l ə k	
384-3			ʃ au ɡ ə	
1650-3			n u t	
1663-3			ʃ a l t	
2279-3			l aɪ n	
471-3			ʃ u e	
1385-3			ʃ aː t	
792-3			ʊ t	
1111-3			a s t	
197-3			ʃ ɡ t e	
2020-3			l a ŋ	
867-3			ʃ j ɛ̃ t ʀ ɛ t	
1970-3			p u l	
1230-3			t ʀ i t	
2017-3			n yː v	
1469-4				x a n t
2047-4				x iː n
2054-4				t u n t ə r
1375-4				l uː m
760-4				v ɪ n d ə
756-4				ʃ n iː v
726-4				m oː d ə r
1351-4				ɡ r aː n + f aː t ə r
1353-4				ɡ r aː n + m uː t ə r
412-4				ʃ ɛ d ə r + b oː x
406-4				ʃ uː s t ə r + m ʊ t ə r
1005-4				ʃ t iː f + f ɔ t ə r
1012-4				ʃ t iː f + m uː t ə r
1016-4				v aː t ə r
1069-4				ɪ k
509-4				f ɔ l n
693-4				m au l
2179-4				n a s t ə n
1753-4				f v a ʃ
1131-4				v ɔ l f
1198-4				b oː r t
2032-4				h oː r n
2241-4				n a x ə
2244-4				l ə f r
610-4				k n iː ɔ
945-4				h a r t
1534-4				l ə h ə
384-4				ʃ a ɡ ə n
1650-4				n v a
1663-4				x a l t
2279-4				l ɪ n ɪ x
471-4				x aː ʊ
1385-4				x aː t ɛ
792-4				ʊ ʏ k
1111-4				m a s t
197-4				ʃ uː t ə n
2020-4				l a ŋ ə
867-4				h uː n t r e t
1970-4				f l n
1230-4				t ɛ r t ə n
2017-4				n ɔ v
968-4				v ɛ l t ə n
1674-4				l a n t
1671-4				h ʏ f ə l
829-4				k l ɪ f
1025-4				v aː d ə r
1027-4				z iː
1832-4				r ɔy v
-1816-4				oː ʃ ə
-335-4				l aː ɡ ʊ n ə
1043-4				ʃ t r ɔy m
