COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	n a							
4-1	tʰ ɛ k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	a							
60-1	ɕ ɛ							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ a							
92-1	pʰ l a							
102-1	m a							
106-1	pʰ ɔ k							
108-1	d u							
107-1	pʰ l a							
112-1	pʰ a m							
115-1	ɕ a							
114-1	t ɔ m							
120-1	t ɔ							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	l i ŋ							
136-1	b a							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	b ɔi							
149-1	m i k							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	kʰ u k							
163-1	l i							
164-1	n u							
167-1	pʰ a ŋ							
171-1	ŋ u ŋ							
172-1	b u k							
173-1	tʰ ɔ							
183-1	l ɔi							
185-1	m a							
188-1	kʰ a n							
189-1	ts i ŋ							
193-1	h ɛ							
196-1	m a l							
199-1	tɕʰ ɔi							
200-1	kʰ ɛ n							
201-1	kʰ i							
202-1	kʰ a n							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	n a m							
117-1	b u							
146-1	kʰ eˀ							
219-1	h a							
218-1	kʰ i							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a t							
255-1	n a s							
260-1	b a							
263-1	r u							
269-1	dʑ ɛ ŋ							
271-1	tʰ a k							
209-1	kʰ u							
277-1	m a							
278-1	b ɔ ŋ							
135-1	d i							
284-1	m u							
797-1	a							
290-1	l a ŋ							
289-1	kʰ i k							
296-1	l i							
310-1	ɕ i							
319-1	iː							
325-1	l ɛ							
327-1	tʰ i							
331-1	k u							
337-1	b ɛ n							
338-1	ŋ i ŋ							
339-1	a l							
350-1	kʰ a							
349-1	tʰ u ŋ							
357-1	tɕʰ ɔ							
355-1	a							
363-1	m a n							
361-1	tʰ u							
365-1	ɕ a ɹ							
1-2		g uː						
5-2		n ɛː						
4-2		tʰ ɛ k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		r ɔ						
56-2		a						
60-2		s ɛː						
61-2		kʰ y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ a						
86-2		pʰ l u						
92-2		pʰ l yː						
102-2		m aː						
106-2		pʰ u k						
108-2		d ə						
107-2		l ɐ						
112-2		pʰ a m						
115-2		s a						
114-2		tʰ u ŋ						
120-2		t u						
124-2		a						
125-2		tʰ ɔ k						
132-2		n ə						
131-2		r ĩː ŋ						
136-2		m ə						
134-2		kʰ a k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ a k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		h i k						
153-2		s a						
152-2		kʰ ɛ n						
158-2		kʰ i k						
163-2		r i						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ øː						
183-2		r ɛː						
185-2		m a						
188-2		kʰ ə						
189-2		tɕ i ŋ						
193-2		h ɛ						
196-2		m ɔ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ a n						
201-2		tɕʰ i						
202-2		kʰ ə						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n a m						
117-2		b yː						
146-2		tɕʰ eˀ						
219-2		n ə						
218-2		tɕʰ ɛː						
224-2		m ɔ̃ː ŋ						
240-2		tɕʰ ɐ k						
244-2		j ɔ						
255-2		n ɐ̃						
260-2		b a						
263-2		r oː						
269-2		dʑ ɛ ŋ						
271-2		tʰ ɐ k						
209-2		kʰ eˀ						
277-2		m ə						
278-2		b u ŋ						
135-2		d ə						
284-2		m yː						
797-2		a						
290-2		l ə						
289-2		k i k						
296-2		r ə						
310-2		s ə						
319-2		iː						
325-2		r ɛ						
327-2		tʰ ɛː						
331-2		k oː						
337-2		b ɛ n						
338-2		n i ŋ						
339-2		ɐ̃ː						
350-2		kʰ ə						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b ə						
361-2		tʰ oː						
365-2		s a ɹ						
1-3			g a					
5-3			n a					
4-3			tʰ i k					
6-3			n a ŋ					
15-3			dʑ i					
55-3			l ɔ					
56-3			a					
60-3			ɕ e					
61-3			kʰ u ŋ					
80-3			tɕʰ ɔ k					
87-3			tɕʰ a					
86-3			pʰ l a					
92-3			pʰ l a					
102-3			m ei					
106-3			pʰ a k					
108-3			d a					
107-3			pʰ a					
112-3			pʰ a m					
115-3			ɕ a					
114-3			tʰ a m					
120-3			d a					
124-3			a					
125-3			tʰ ɔ k					
132-3			ɕ i					
131-3			l i ŋ					
136-3			b a					
134-3			kʰ a k					
137-3			a					
138-3			d ɔ k					
140-3			h a					
143-3			tɕʰ a k					
145-3			tɕʰ a m					
147-3			h ei					
149-3			b i k					
153-3			ɕ a					
152-3			kʰ ɛ n					
158-3			kʰ u k					
163-3			l i					
164-3			ŋ u					
167-3			pʰ a ŋ					
171-3			ŋ u ŋ					
172-3			b u k					
173-3			tʰ ɔ n					
183-3			l ei					
185-3			m a					
188-3			kʰ i n					
189-3			tɕ i ŋ					
193-3			h ɛ					
196-3			m a					
199-3			tɕʰ ei					
200-3			kʰ ɛ n					
201-3			tɕʰ i					
202-3			kʰ a n					
203-3			tʰ a ŋ					
204-3			b u					
206-3			ŋ a m					
117-3			b u					
146-3			kʰ u					
219-3			h a					
218-3			tɕʰ ei					
224-3			m a ŋ					
240-3			tɕʰ a k					
244-3			j a					
255-3			n a s					
260-3			b a					
263-3			l a					
269-3			dʑ ɛ ŋ					
271-3			tʰ a k					
209-3			kʰ u p					
277-3			m ɛ m					
278-3			b a ŋ					
135-3			d a					
284-3			m u					
797-3			a					
290-3			l i n					
289-3			tɕʰ i k					
296-3			n i					
310-3			ɕ i					
319-3			iː					
325-3			l ɛ					
327-3			tʰ ei					
331-3			k a					
337-3			b ɛ n					
338-3			ŋ i ŋ					
339-3			a					
350-3			kʰ a					
349-3			tʰ u ŋ					
357-3			tɕʰ a					
355-3			a					
363-3			b a n					
361-3			tʰ a					
365-3			ɕ a					
1-4				g uː				
5-4				n aː				
4-4				tʰ ɛ k				
6-4				n a ŋ				
15-4				dʑ i				
55-4				r ɔ				
56-4				a				
60-4				ʂ aː				
61-4				kʰ y ŋ				
80-4				tsʰ ɔ k				
87-4				tsʰ a				
86-4				pʰ a				
92-4				pʰ l yː				
102-4				m a				
106-4				pʰ u k				
108-4				d ə				
107-4				l ɐ				
112-4				pʰ ɔ m				
115-4				s a				
114-4				tʰ u ŋ				
120-4				t a				
124-4				a				
125-4				tʰ ɔ k				
132-4				h ə				
131-4				r ɛ̃ː ŋ				
136-4				m ə				
134-4				kʰ a k				
137-4				a				
138-4				d ɔ k				
140-4				h uː				
143-4				tsʰ a k				
145-4				tsʰ ɔ̃ː				
147-4				b aː				
149-4				h i k				
153-4				ʂ a				
152-4				kʰ ɛ n				
158-4				h i k				
163-4				r i				
164-4				n yː				
167-4				pʰ a ŋ				
171-4				n y ŋ				
172-4				b y k				
173-4				tʰ øː				
183-4				r aː				
185-4				m uː				
188-4				kʰ ə				
189-4				ts i ŋ				
193-4				h ɛ				
196-4				m ɐ̃ː				
199-4				tsʰ aː				
200-4				kʰ ɛ n				
201-4				tɕʰ i				
202-4				kʰ a n				
203-4				tʰ u ŋ				
204-4				b yː				
206-4				n a m				
117-4				b yː				
146-4				tɕʰ eː				
219-4				b ə				
218-4				tɕʰ aː				
