COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	ŋ au n ³⁵								
838-1	n̥ ə n ⁵⁵								
438-1	ŋ ɔ ʔ ⁵⁵								
334-1	l o ʔ ⁵⁵								
360-1	l i ³¹								
394-1	m i n ³¹								
221-1	u p ³¹								
202-1	x au ³¹								
935-1	o ʔ ³¹								
93-1	ts ə k ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	ʐ ɔ ʔ ⁵⁵								
547-1	s i ʔ ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	ts i ŋ ⁵⁵								
835-1	n̥ a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n i ʔ ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ u ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	tʃʰ i t ⁵⁵								
452-1	m u ʔ ⁵⁵								
580-1	ŋ̊ ui ʔ ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m a ŋ ³¹								
696-1	ŋ ui ⁵⁵								
86-1	tʃʰ u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	ʈʂʰ a n ⁵⁵								
536-1	s ɔ n ⁵⁵								
731-1	ɕ i ³¹								
779-1	tʰ i ʔ ⁵⁵								
589-1	tʰ a ŋ ⁵⁵								
658-1	a m ⁵⁵								
456-1	m a ŋ ³¹								
183-1	k ʐ i ³¹								
785-1	kʰ ɔ ³¹								
714-1	ʃ o m ⁵⁵								
331-1	l ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		ŋ ui ⁵⁵							
838-2		n i m ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		m j i n ²¹							
221-2		j u p ²¹							
202-2		k ui ²¹							
935-2		v u ʔ ²¹							
93-2		ts i ŋ ²¹							
7-2		p a n ²¹							
664-2		v a ŋ ⁵¹							
246-2		kʰ j o̱ ʔ ⁵⁵							
547-2		s i ʔ ⁵⁵							
555-2		j o̱ m ⁵¹							
464-2		m ui ²¹							
119-2		ts j e ŋ ⁵¹							
835-2		n a̱ ʔ ⁵⁵							
79-2		t o ²¹							
693-2		ŋ ui ⁵¹							
477-2		m j e n ²¹							
891-2		t i ŋ ⁵⁵							
528-2		v o ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i ʔ ²¹							
217-2		j a p ²¹							
896-2		ts u̱ t ⁵⁵							
452-2		ŋ j u ʔ ²¹							
580-2		ŋ u̱ t ⁵⁵							
833-2		n o̱ ŋ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ j ui ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		ts a ŋ ⁵¹							
536-2		s o̱ ʔ ⁵⁵							
731-2		s e ʔ ²¹							
779-2		tʰ o ⁵¹							
589-2		tʰ a ŋ ⁵¹							
680-2		ŋ u̱ ʔ ⁵⁵							
658-2		v a m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ²¹							
714-2		ʃ u̱ m ⁵¹							
331-2		l o ²¹							
665-3			ŋ a ⁵⁵						
495-3			ŋ au ³⁵						
838-3			n a̱i ʔ ³¹						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l i ³⁵						
394-3			m j ai k ³¹						
221-3			j ɔ̱ ʔ ³¹						
202-3			k au ³¹						
935-3			a ʔ ³¹						
93-3			t a ŋ ³¹						
7-3			p a n ³¹						
664-3			v ɔ̃ ⁵⁵						
246-3			kʰ j a̱ ʔ ⁵⁵						
547-3			s a ʔ ⁵⁵						
555-3			j a̱ m ⁵⁵						
464-3			m au ³¹						
119-3			t j i̱ ŋ ⁵⁵						
835-3			n ɛ̱ ʔ ⁵⁵						
79-3			t a ʔ ³¹						
693-3			ŋ u ⁵⁵						
477-3			m j i n ³¹						
891-3			t a ŋ ³⁵						
528-3			ɣ a ⁵⁵						
797-3			k j ɔ̱ ʔ ⁵⁵						
493-3			n a ʔ ³¹						
217-3			j ɛ ʔ ³¹						
896-3			n ɔ̱ t ⁵⁵						
452-3			ŋ j au ʔ ³¹						
580-3			ŋ a t ⁵⁵						
833-3			n a̱ ŋ ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ j a n ⁵⁵						
86-3			t a ŋ ⁵⁵						
384-3			m a n ³⁵						
61-3			n ɛ̃ n ⁵⁵						
536-3			s a n ⁵⁵						
779-3			t a ʔ ⁵⁵						
589-3			j ɔ̃ ⁵⁵						
680-3			ŋ a̱ ʔ ⁵⁵						
456-3			j ɔ̃ ³¹						
183-3			k j a ³¹						
785-3			kʰ a ³¹						
331-3			l a ³¹						
665-4				ŋ ɔː ³¹					
495-4				ŋ aːu ⁵⁵					
838-4				l ə k ³¹					
438-4				ŋ j ɔː ʔ ³¹					
334-4				l ɔː ʔ ³¹					
360-4				l ei ⁵⁵					
394-4				m j ei ⁵⁵					
221-4				j ə̱ː t ³¹					
202-4				k ou ⁵⁵					
935-4				uː ʔ ⁵⁵					
93-4				t a ⁵⁵					
7-4				p ə n ⁵⁵					
664-4				w aː ŋ ³¹					
246-4				kʰ j ɔ̱ ŋ ⁵⁵					
547-4				ʃ əː ʔ ⁵⁵					
555-4				j ə̱ː m ³¹					
464-4				m aːu ⁵⁵					
119-4				tʃ ɔ ŋ ³¹					
835-4				n a̱ː ʔ ⁵⁵					
79-4				t uː ⁵⁵					
693-4				ŋ aːu ³¹					
477-4				ŋ j ei n ³¹					
891-4				t ə̱ː ŋ ⁵⁵					
528-4				j uː ³¹					
797-4				kʰ j uː ʔ ⁵⁵					
493-4				n ə̱ː k ³¹					
217-4				j ɛː p ³¹					
896-4				ts ei t ⁵⁵					
452-4				m j uː ʔ ³¹					
580-4				ŋ ə̱ː k ⁵⁵					
833-4				n ɔ̱ ŋ ³¹					
390-4				m aː ŋ ⁵⁵					
696-4				ŋ j ei n ³¹					
86-4				t ɔ ŋ ³¹					
384-4				m a n ⁵⁵					
61-4				t a n ³¹					
536-4				s ɔː ʔ ⁵⁵					
731-4				ʃ ei ʔ ³¹					
779-4				ʃ ɔ ʔ ³¹					
589-4				tʰ a ŋ ³¹					
680-4				ŋ ɔ̱ ʔ ⁵⁵					
658-4				w a m ³¹					
456-4				m j aː ŋ ⁵⁵					
183-4				k j ə̱ː ⁵⁵					
785-4				kʰ ɔː ⁵⁵					
714-4				ʃ a̱ː m ³¹					
331-4				l ɔː ⁵⁵					
665-5					ŋ ɔ ³¹				
495-5					ŋ u̱ ⁵⁵				
838-5					n a ʔ ³¹				
438-5					m j ɔ ʔ ³¹				
334-5					l ɔ ʔ ³¹				
360-5					l a ³⁵				
394-5					m j a n ³⁵				
221-5					j a̱ p ⁵⁵				
202-5					k u̱ ³⁵				
935-5					v u ʔ ³⁵				
93-5					ts a ŋ ³⁵				
7-5					p ɛ̃ n ³⁵				
664-5					v ɔ̃ ³¹				
246-5					kʰ j ɔ̱ ʔ ⁵⁵				
547-5					s a ʔ ⁵⁵				
555-5					j ɔ̱ m ³¹				
464-5					m u̱ ³⁵				
119-5					ts j a ŋ ³¹				
835-5					n ɛ̱ ʔ ⁵⁵				
79-5					t ɔ ʔ ³⁵				
693-5					ŋ u̱ ³¹				
477-5					m j i ʔ ³¹				
891-5					t a ŋ ⁵⁵				
528-5					ɣ ɔ ³¹				
797-5					k j u̱ ʔ ⁵⁵				
493-5					n a ʔ ³¹				
217-5					j ɛ ʔ ³¹				
896-5					ts u t ⁵⁵				
452-5					ŋ j au ʔ ³¹				
580-5					ŋ ɔ̱ t ⁵⁵				
833-5					n ɔ̱ ŋ ³¹				
390-5					m ɔ̃ ³⁵				
696-5					ŋ j a n ³¹				
86-5					tsʰ ɔ ŋ ³¹				
384-5					m ɛ̃ n ⁵⁵				
61-5					tʃʰ ɛ̃ n ³¹				
536-5					s ɔ̱ ʔ ⁵⁵				
731-5					k a ʔ ³¹				
779-5					t ɔ ʔ ³¹				
589-5					tʰ ɔ̃ k ³¹				
680-5					ŋ ɔ̱ ʔ ⁵⁵				
658-5					v a m ³¹				
456-5					m j ɔ̃ ³⁵				
785-5					kʰ ɔ ³⁵				
714-5					k j u m ³¹				
331-5					l ɔ ³⁵				
665-6						ɲ a			
495-6						ŋ ui̯ n			
838-6						nʰ j a k			
438-6						m j a k			
334-6						l a k			
360-6						l i ⁵			
394-6						m j i k ⁵			
221-6						j u p			
202-6						k ui̯ ⁵			
935-6						r u ʔ ⁵			
93-6						c a ɲ ⁵			
7-6						p a n ⁵			
664-6						w a ŋ			
246-6						kʰ j a k			
547-6						ʃ a k			
555-6						j a m			
464-6						m ui̯ ⁵			
119-6						c j i ɲ			
835-6						nʰ a p			
79-6						t ʊ ʔ ⁵			
693-6						ŋ ui̯			
477-6						m j i k			
891-6						tʰ a ŋ			
528-6						k r ʊ			
797-6						kʰ j ɔ k			
493-6						n a k			
217-6						j a p			
896-6						tʃʰ ʊ t			
452-6						m j ɔ k			
580-6						ɲ a t			
833-6						nʰ a ɲ			
390-6						m w a ŋ ⁵			
696-6						ŋ a n			
86-6						tʃʰ ui̯ ŋ			
731-6						tʃʰ i ʔ			
680-6						ɲ a k			
658-6						w a m			
183-6						k r a ⁵			
714-6						p j u m			
665-7							ŋ a ¹		
495-7							ŋ u ³		
838-7							ˀn j i k ⁴		
438-7							ŋ j a k ³		
334-7							l a k ⁴		
360-7							l i ²		
394-7							m i ²		
221-7							j i p ⁴		
202-7							ˀk u ²		
935-7							ʊ ²		
93-7							dz i ²		
7-7							b i n ²		
664-7							w a ŋ ¹		
246-7							k j a ŋ ⁴		
547-7							ʃ i k ⁴		
555-7							j ai m ¹		
464-7							m u ²		
119-7							dz i ŋ ³		
835-7							ˀn a p ⁴		
79-7							d a ²		
693-7							ŋ u ¹		
477-7							m j i ³		
891-7							ˀt i ŋ ³		
528-7							r a ³		
797-7							ˀk r u k ⁴		
493-7							n i k ⁴		
217-7							j a p ⁴		
896-7							ˀts a t ⁴		
452-7							m j u k ⁴		
580-7							ˀŋ a t ⁴		
833-7							ˀn a ŋ ¹		
390-7							m a ŋ ²		
696-7							ŋ i ¹		
86-7							dz a ŋ ¹		
384-7							m a n ³		
61-7							dz a n ¹		
536-7							ˀr a n ³		
731-7							ʃ i k ⁴		
779-7							ˀt a ¹		
589-7							t a ŋ ⁴		
680-7							ˀŋ a k ⁴		
658-7							w a m ¹		
456-7							m j a ŋ ²		
183-7							g r i ²		
785-7							k a ²		
714-7							ʃ a m ¹		
331-7							l a ³		
665-8								ɛ ²²	
495-8								ŋ o ⁵⁵	
838-8								n̥ o ʔ ⁴	
438-8								l ɛ ʔ ⁴	
334-8								l ɛ ʔ ⁴	
360-8								l e ⁵⁵	
394-8								m o ⁵⁵	
221-8								j u ʔ ⁴	
202-8								tɕ o ⁵⁵	
935-8								u ⁵⁵	
93-8								t ɛ ⁵⁵	
7-8								p ɑ ⁵⁵	
664-8								w ĩ ²²	
246-8								kʰ ɑ ʔ ⁴	
547-8								t o ʔ ⁴	
555-8								j ɑ m ²²	
464-8								o ⁵⁵	
119-8								t e ²²	
835-8								n̥ ɑ ʔ ⁴	
79-8								t ɛ ⁵⁵	
693-8								o ²²	
477-8								m j i ʔ ⁴	
891-8								tʰ o ²²	
528-8								j ɛ ²²	
797-8								kʰ j u ʔ ⁴	
493-8								n o ʔ ⁴	
217-8								j ɑ ʔ ⁴	
896-8								sʰ ɑ ʔ ⁴	
452-8								m j ɑu ʔ ⁴	
580-8								n̥ ɑ ʔ ⁴	
833-8								n̥ ɑ ²²	
390-8								ɔ ⁵⁵	
696-8								ɛ n ²²	
86-8								sʰ u ²²	
384-8								m ɑ ⁵⁵	
61-8								sʰ ɑ̃ ⁵⁵	
536-8								s ɑ ⁴	
731-8								t e ⁵⁵	
779-8								ɕ ɑ ʔ ²²	
589-8								t e ²²	
680-8								n̥ ɑ ʔ ⁴	
658-8								w ɑ m ²²	
456-8								ɛ ⁵⁵	
183-8								tɕ ɛ ⁵⁵	
785-8								kʰ ɛ ⁵⁵	
714-8								t ɑ m ²²	
331-8								l ɛ ⁵⁵	
665-9									ŋ ɔ ⁵⁵
495-9									n au ³⁵
838-9									n̥ ɯ ʔ ⁵⁵
438-9									l ɔ ʔ ⁵⁵
334-9									l ɔ ʔ ⁵⁵
360-9									l i ³¹
394-9									m i ³¹
221-9									u p ⁵⁵
202-9									k au ³¹
935-9									o ³¹
93-9									ts ɯ ³¹
7-9									p ɯ n ³¹
664-9									ɔ ŋ ⁵⁵
246-9									kʰ ʐ ɔ ʔ ⁵⁵
547-9									s ɯ ʔ ⁵⁵
555-9									ɔ m ⁵⁵
464-9									m au ³¹
119-9									ts i ŋ ⁵⁵
835-9									n̥ a ʔ ⁵⁵
79-9									t o ³¹
693-9									ŋ au ⁵⁵
477-9									m i n ⁵⁵
891-9									tʰ ɯ ŋ ³⁵
528-9									ʐ i ⁵⁵
797-9									kʰ ʐ u ʔ ⁵⁵
493-9									n ɯ ʔ ⁵⁵
217-9									j a p ⁵⁵
896-9									tʃʰ ɔ t ⁵⁵
452-9									m u ʔ ⁵⁵
580-9									s ui t ⁵⁵
833-9									n̥ a ŋ ⁵⁵
390-9									m ɔ ŋ ³¹
696-9									ŋ ɯ n ⁵⁵
86-9									ʈʂʰ u ŋ ⁵⁵
384-9									m a n ⁵⁵
61-9									t a m ⁵⁵
536-9									s ɔ n ⁵⁵
731-9									s i ³¹
779-9									ç ɔ ʔ ⁵⁵
589-9									tʰ ɔ ŋ ⁵⁵
680-9									ŋ̊ ɔ ʔ ⁵⁵
658-9									ɔ m ⁵⁵
456-9									m ɔ ŋ ³¹
183-9									k ʐ ɯ ³¹
785-9									kʰ ɔ ³¹
714-9									u t ⁵⁵
331-9									l ɔ ³¹
