COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m ə l a																		
112-1	d a m ə r a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ u l																		
381-1	ʔ a t																		
417-1	r u z																		
451-1	s ə b a t																		
454-1	ʔ a n tʃʼ ɨ r																		
484-1	s ɨ dː ɨ t																		
535-1	ʔ a sː ɨ r																		
543-1	s ə l																		
593-1	ʔ a mː u s																		
640-1	m a n																		
1-1	d ə bː ə l ə																		
65-1	tʼ ɨ b																		
212-1	ʔ e n																		
244-1	ʔ a r b ə t																		
248-1	m ɨ lː u																		
293-1	f ə r ə z																		
373-1	kʼ ɨ m a l																		
408-1	b a r																		
414-1	d ɨ bː a l																		
601-1	ʔ ə r o																		
642-1	ʔ ɨ n f																		
60-1	n ə f ə s																		
115-1	ʔ ə n a																		
209-1	s ɨ mː u t																		
242-1	ʔ a mː ɨ t																		
415-1	z ɨ l a m																		
450-1	z ə r																		
490-1	tʼ ə bː ə																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m l																	
112-2		d a m ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ u l																	
381-2		ʔ a d																	
417-2		r u z																	
451-2		s ə w a d																	
454-2		ʔ a n tʃ ɨ r																	
484-2		s ɨ d ɨ d																	
535-2		ʔ a s ɨ r																	
543-2		s ə l																	
593-2		k a m u s																	
640-2		m a ɲː																	
1-2		d ə m ə l ə																	
65-2		tʼ ɨ w																	
163-2		s ə tʃ ə																	
212-2		ʔ e n																	
244-2		ʔ a r																	
248-2		m ɨ l a																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b ə l a																	
414-2		d ɨ m a l																	
642-2		k ɨ n f																	
60-2		n ə f ə																	
115-2		ʔ a m																	
209-2		s ɨ m u d																	
242-2		ʔ a m ɨ d																	
415-2		z ɨ l a																	
450-2		z ə r																	
490-2		d ə m w ə																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m																
112-3			d a mː ə n a																
331-3			n ɨ g u s																
377-3			b ə kʼ u r																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a n tʃʼ ɨ r																
484-3			s ɨ d ɨ t																
535-3			ʔ a sː ɨ r																
543-3			s e ʃ t																
593-3			ʔ a mː u s																
640-3			m w a n																
1-3			d ə p ə r ə m																
65-3			tʼ ɨ b																
163-3			s ə tʃʼ ə																
212-3			g e n																
244-3			ʔ a r b ə t																
248-3			m u lː ʔ a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b ə r																
414-3			d ɨ b a l																
601-3			ʔ ə r b																
642-3			ʔ ɨ n f																
60-3			n ə f ə																
115-3			ʔ a n																
209-3			s ɨ mː u t																
242-3			ʔ a mː ɨ t																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼ ə p a m																
61-4				d ə m															
63-4				ʔ a tʼ ɨ m															
107-4				g a m															
112-4				d ə kː ə n a															
331-4				n ɨ g u s															
377-4				b ə kʼ u l															
381-4				ʔ a t															
417-4				r u z															
451-4				s ə b a t															
454-4				ʔ a n tʃʼ ɨ r															
484-4				s ɨ tː ɨ s															
535-4				ʔ a s ɨ r															
543-4				s ə l															
593-4				ʔ a mː u s															
640-4				m a n															
1-4				d ə bː ə r ə m															
65-4				tʼ ɨ w															
163-4				s ə tʃʼ ə															
408-4				b a r															
414-4				d ɨ b a l															
601-4				ʔ a n															
642-4				ʔ ɨ n f															
60-4				n ə f ə															
115-4				ʔ a n															
450-4				z ə r															
490-4				d ə b ə															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m ə l a														
112-5					d ə bː ə r a														
331-5					n ɨ g u s														
377-5					b ə kʼ u r														
381-5					ʔ a tː														
417-5					r u z														
451-5					s ə b a t														
